WORLD REGION OF RESIDENCE,NUMBER OF ARRIVALS,2016 SHARE,% CHANGE FROM 2015
WESTERN EUROPE,"736,448",27.8,7.4
EASTERN EUROPE,"72,701",2.7,4.8
ASIA,"944,216",35.7,16.2
MIDDLE EAST,"123,803",4.7,3.4
AFRICA,"34,745",1.3,7.6
OCEANIA,"128,100",4.8,9.1
SOUTH AMERICA,"437,436",16.5,-7.7
CENTRAL AMERICA,"87,917",3.3,22.9
CARIBBEAN,"79,983",3,8.9
