Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates
23783,02/10/2010 08:00:00 AM,Wednesday,Auto,Auto,,JFK St,MOUNT AUBURN ST," JFK St & MOUNT AUBURN ST Cambridge, MA",42.372565999999999,-71.120144999999994,"(42.372566, -71.120145)"
23786,02/11/2010 02:35:00 PM,Thursday,Auto,Auto,,Broadway,Antrim St," Broadway & Antrim St Cambridge, MA",42.370398999999999,-71.103763999999998,"(42.370399, -71.103764)"
23787,02/11/2010 12:00:00 AM,Thursday,Auto,Parked Vehicle,1572,Massachusetts Ave,,"1572 Massachusetts Ave Cambridge, MA",42.378926999999997,-71.120662999999993,"(42.378927, -71.120663)"
23788,02/11/2010 01:12:00 AM,Thursday,Auto,Fixed Object,78,Coolidge Ave,,"78 Coolidge Ave Cambridge, MA",42.371730999999997,-71.140039999999999,"(42.371731, -71.14004)"
23789,02/11/2010 05:29:00 PM,Thursday,Auto,Parked Vehicle,89,Inman St,,"89 Inman St Cambridge, MA",42.371389999999998,-71.102151000000006,"(42.37139, -71.102151)"
31774,02/11/2010 04:54:00 PM,Tuesday,Auto,Pedestrian,,Broadway,PRESCOTT ST," Broadway & PRESCOTT ST Cambridge, MA",42.374367999999997,-71.113637999999995,"(42.374368, -71.113638)"
23790,02/12/2010 06:40:00 AM,Friday,Auto,Auto,,MASON ST,PHILLIPS PL," MASON ST & PHILLIPS PL Cambridge, MA",42.376261,-71.123608000000004,"(42.376261, -71.123608)"
23791,02/12/2010 10:15:00 AM,Friday,Auto,Auto,,LINNAEAN ST,Avon Hill St," LINNAEAN ST & Avon Hill St Cambridge, MA",42.383474999999997,-71.123636000000005,"(42.383475, -71.123636)"
23792,02/12/2010 12:30:00 PM,Friday,Auto,Auto,,MACARELLI WAY,MARION ST," MACARELLI WAY & MARION ST Cambridge, MA",42.372557999999998,-71.088881000000001,"(42.372558, -71.088881)"
23793,02/12/2010 03:10:00 PM,Friday,Auto,Bicycle,,Appleton St,HIGHLAND AVE," Appleton St & HIGHLAND AVE Cambridge, MA",42.379134999999998,-71.133842000000001,"(42.379135, -71.133842)"
23794,02/12/2010 04:34:00 PM,Friday,Auto,Auto,,SMITH PL,," SMITH PL &  Cambridge, MA",,,
24096,04/23/2010 03:40:00 PM,Friday,Auto,Bicycle,,Massachusetts Ave,," Massachusetts Ave &  Cambridge, MA",,,
23795,02/13/2010 11:28:00 AM,Saturday,Auto,Taxi,77,Massachusetts Ave,,"77 Massachusetts Ave Cambridge, MA",42.359127999999998,-71.093339,"(42.359128, -71.093339)"
23796,02/13/2010 11:29:00 AM,Saturday,Auto,Auto,,KIRKLAND ST,MYRTLE AVE," KIRKLAND ST & MYRTLE AVE Cambridge, MA",42.377966999999998,-71.107827999999998,"(42.377967, -71.107828)"
23797,02/13/2010 09:55:00 PM,Saturday,Auto,Bicycle,,Massachusetts Ave,DOUGLASS ST," Massachusetts Ave & DOUGLASS ST Cambridge, MA",42.363897000000001,-71.101190000000003,"(42.363897, -71.10119)"
