Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates
23785,01/11/2010 09:14:00 AM,Thursday,Auto,Auto,,Broadway,FELTON ST," Broadway & FELTON ST Cambridge, MA",42.373967,-71.112780000000001,"(42.373967, -71.11278)"
23678,01/12/2010 08:15:00 AM,Tuesday,Auto,Auto,,STANDISH ST,HURON AVE," STANDISH ST & HURON AVE Cambridge, MA",42.381166,-71.138779999999997,"(42.381166, -71.13878)"
23684,01/12/2010 12:00:00 AM,Saturday,Auto,Parked Vehicle,24,Walker St,,"24 Walker St Cambridge, MA",42.379902000000001,-71.123853999999994,"(42.379902, -71.123854)"
23685,01/12/2010 11:55:00 PM,Saturday,Auto,Parked Vehicle,122,SPRING ST,Sixth St,"122 SPRING ST Cambridge, MA",42.369345000000003,-71.083860000000001,"(42.369345, -71.08386)"
23681,01/13/2010 02:17:00 AM,Wednesday,Auto,Auto,,Cambridge St,QUINCY ST," Cambridge St & QUINCY ST Cambridge, MA",42.375473999999997,-71.114321000000004,"(42.375474, -71.114321)"
23687,01/13/2010 08:29:00 AM,Wednesday,Taxi,Pedestrian,,PEARL ST,Franklin St," PEARL ST & Franklin St Cambridge, MA",42.363650999999997,-71.103735,"(42.363651, -71.103735)"
23713,01/13/2010 12:00:00 AM,Wednesday,Auto,Parked Vehicle,147,Richdale Ave,,"147 Richdale Ave Cambridge, MA",42.389274,-71.126525000000001,"(42.389274, -71.126525)"
23688,01/14/2010 03:30:00 PM,Thursday,Auto,Auto,,Magee St,Putnam Ave," Magee St & Putnam Ave Cambridge, MA",42.366393000000002,-71.113560000000007,"(42.366393, -71.11356)"
23689,01/14/2010 03:30:00 PM,Thursday,Auto,Parked Vehicle,65,Winter St,,"65 Winter St Cambridge, MA",42.372763999999997,-71.081451000000001,"(42.372764, -71.081451)"
23690,01/14/2010 12:00:00 AM,Thursday,Auto,Parked Vehicle,1,Bennett St,,"1 Bennett St Cambridge, MA",42.371983,-71.122510000000005,"(42.371983, -71.12251)"
23695,01/15/2010 12:00:00 AM,Friday,Auto,Parked Vehicle,3,Cogswell Ave,,"3 Cogswell Ave Cambridge, MA",42.391680999999998,-71.124037000000001,"(42.391681, -71.124037)"
23696,01/15/2010 03:00:00 PM,Friday,Auto,Auto,,OXFORD AVE,Wendell St," OXFORD AVE & Wendell St Cambridge, MA",42.381554000000001,-71.116331000000002,"(42.381554, -71.116331)"
23706,01/15/2010 05:10:00 PM,Friday,Auto,Auto,,Alewife Brook Pky,Whittemore Ave," Alewife Brook Pky & Whittemore Ave Cambridge, MA",42.398907000000001,-71.140972000000005,"(42.398907, -71.140972)"
23692,01/16/2010 03:00:00 PM,Saturday,Taxi,Parked Vehicle,14,HOWARD ST,,"14 HOWARD ST Cambridge, MA",42.364052999999998,-71.110552999999996,"(42.364053, -71.110553)"
23693,01/16/2010 07:48:00 PM,Saturday,Auto,Bicycle,,Hampshire St,ELM ST," Hampshire St & ELM ST Cambridge, MA",42.370480000000001,-71.096879000000001,"(42.37048, -71.096879)"
23697,01/16/2010 11:49:00 PM,Saturday,Auto,Parked Vehicle,,MAGAZINE ST,," MAGAZINE ST &  Cambridge, MA",,,
23733,01/16/2010 12:00:00 AM,Saturday,Auto,Parked Vehicle,175,HOLWORTHY ST,,"175 HOLWORTHY ST Cambridge, MA",42.379327000000004,-71.151405999999994,"(42.379327, -71.151406)"
23691,01/17/2010 02:19:00 PM,Sunday,Auto,Auto,,Putnam Ave,PLEASANT ST," Putnam Ave & PLEASANT ST Cambridge, MA",42.360131000000003,-71.112776999999994,"(42.360131, -71.112777)"
23694,01/17/2010 12:14:00 AM,Sunday,Auto,Parked Vehicle,153,FLORENCE ST,MAGAZINE ST,"153 FLORENCE ST Cambridge, MA",42.359073000000002,-71.113890999999995,"(42.359073, -71.113891)"
23698,01/17/2010 12:00:00 AM,Sunday,Auto,Auto,,MAGAZINE ST,Upton St," MAGAZINE ST & Upton St Cambridge, MA",42.362281000000003,-71.107592999999994,"(42.362281, -71.107593)"
23699,01/17/2010 03:59:00 AM,Sunday,Auto,Taxi,,GARDEN ST,Concord Ave," GARDEN ST & Concord Ave Cambridge, MA",42.378324999999997,-71.123709000000005,"(42.378325, -71.123709)"
23700,01/17/2010 02:00:00 PM,Sunday,Auto,Parked Vehicle,274,Windsor St,,"274 Windsor St Cambridge, MA",42.367998,-71.094936000000004,"(42.367998, -71.094936)"
23701,01/18/2010 02:23:00 AM,Monday,Auto,Pedestrian,,Massachusetts Ave,HANCOCK ST," Massachusetts Ave & HANCOCK ST Cambridge, MA",42.368380000000002,-71.108783000000003,"(42.36838, -71.108783)"
23702,01/18/2010 10:21:00 AM,Monday,Auto,Pedestrian,,Massachusetts Ave,Sidney St," Massachusetts Ave & Sidney St Cambridge, MA",42.362949999999998,-71.099580000000003,"(42.36295, -71.09958)"
23703,01/18/2010 09:45:00 AM,Monday,Truck,Fixed Object,589,MOUNT AUBURN ST,Brattle St,"589 MOUNT AUBURN ST Cambridge, MA",42.375281999999999,-71.145695000000003,"(42.375282, -71.145695)"
23704,01/19/2010 08:22:00 AM,Tuesday,Auto,Parked Vehicle,620,Vassar St,MEMORIAL DR,"620 Vassar St Cambridge, MA",42.354987999999999,-71.105234999999993,"(42.354988, -71.105235)"
23705,01/19/2010 12:30:00 PM,Tuesday,Auto,Auto,,Columbia St,Cambridge St," Columbia St & Cambridge St Cambridge, MA",42.372911999999999,-71.094511999999995,"(42.372912, -71.094512)"
23707,01/19/2010 12:00:00 AM,Tuesday,Auto,Parked Vehicle,,MERCER CIR,Sparks St," MERCER CIR & Sparks St Cambridge, MA",,,
23708,01/19/2010 09:30:00 PM,Tuesday,Truck,Taxi,,Binney St,," Binney St &  Cambridge, MA",,,
23709,01/20/2010 05:48:00 PM,Wednesday,Auto,Auto,100,Hampshire St,,"100 Hampshire St Cambridge, MA",42.369078000000002,-71.095393999999999,"(42.369078, -71.095394)"
23712,01/21/2010 11:29:00 PM,Thursday,Auto,Fixed Object,,Massachusetts Ave,Washburn Ave," Massachusetts Ave & Washburn Ave Cambridge, MA",42.398823999999998,-71.131961000000004,"(42.398824, -71.131961)"
23714,01/21/2010 09:59:00 PM,Thursday,Auto,Parked Vehicle,90,Washington Ave,,"90 Washington Ave Cambridge, MA",42.363875,-71.093283,"(42.363875, -71.093283)"
23715,01/22/2010 08:19:00 PM,Friday,Auto,Auto,20,Sacramento St,,"20 Sacramento St Cambridge, MA",42.382444999999997,-71.117788000000004,"(42.382445, -71.117788)"
23717,01/22/2010 01:15:00 PM,Friday,Auto,Bicycle,,Vassar St,Massachusetts Ave," Vassar St & Massachusetts Ave Cambridge, MA",42.360154000000001,-71.094881999999998,"(42.360154, -71.094882)"
23720,01/22/2010 03:00:00 PM,Friday,Auto,Auto,14,SUMNER RD,,"14 SUMNER RD Cambridge, MA",42.376185,-71.112382999999994,"(42.376185, -71.112383)"
23724,01/22/2010 11:36:00 PM,Friday,Auto,Auto,55,Columbia St,,"55 Columbia St Cambridge, MA",42.364918000000003,-71.099151000000006,"(42.364918, -71.099151)"
23716,01/23/2010 07:28:00 PM,Saturday,Auto,Auto,,Dewolfe St,GRANT ST," Dewolfe St & GRANT ST Cambridge, MA",42.369895,-71.116821999999999,"(42.369895, -71.116822)"
23719,01/24/2010 01:18:00 PM,Sunday,Auto,Fixed Object,,HURON AVE,Chilton St," HURON AVE & Chilton St Cambridge, MA",42.381244000000002,-71.138114000000002,"(42.381244, -71.138114)"
23721,01/25/2010 10:44:00 AM,Monday,Auto,Parked Vehicle,730,MEMORIAL DR,,"730 MEMORIAL DR Cambridge, MA",42.357376000000002,-71.114491999999998,"(42.357376, -71.114492)"
23722,01/25/2010 03:20:00 PM,Monday,Auto,Pedestrian,,KIRKLAND ST,," KIRKLAND ST &  Cambridge, MA",,,
23723,01/25/2010 10:09:00 PM,Monday,Auto,Fixed Object,1,Hampshire St,,"1 Hampshire St Cambridge, MA",42.365231999999999,-71.090064999999996,"(42.365232, -71.090065)"
23734,01/25/2010 06:00:00 PM,Monday,Auto,Parked Vehicle,186,Alewife Brook Pky,,"186 Alewife Brook Pky Cambridge, MA",42.391032000000003,-71.141350000000003,"(42.391032, -71.14135)"
23755,01/25/2010 04:57:00 PM,Monday,Auto,Auto,,Cambridge St,Windsor St," Cambridge St & Windsor St Cambridge, MA",42.372750000000003,-71.093288000000001,"(42.37275, -71.093288)"
23725,01/26/2010 07:11:00 AM,Tuesday,Auto,School Bus,,Massachusetts Ave,Albany St," Massachusetts Ave & Albany St Cambridge, MA",42.360827999999998,-71.096012000000002,"(42.360828, -71.096012)"
23726,01/26/2010 07:38:00 AM,Tuesday,Auto,Auto,,Massachusetts Ave,Landsdowne St," Massachusetts Ave & Landsdowne St Cambridge, MA",42.361745999999997,-71.097555999999997,"(42.361746, -71.097556)"
23727,01/26/2010 08:45:00 AM,Tuesday,Auto,Auto,,Walden St,Wood St," Walden St & Wood St Cambridge, MA",42.386817000000001,-71.129168000000007,"(42.386817, -71.129168)"
23728,01/26/2010 03:00:00 PM,Tuesday,Auto,Parked Vehicle,302,Cambridge St,,"302 Cambridge St Cambridge, MA",42.372861,-71.094549999999998,"(42.372861, -71.09455)"
23729,01/26/2010 06:59:00 PM,Tuesday,Auto,Pedestrian,,Binney St,Broadway," Binney St & Broadway Cambridge, MA",42.364795999999998,-71.089417999999995,"(42.364796, -71.089418)"
23730,01/26/2010 08:29:00 PM,Tuesday,Auto,Parked Vehicle,,Third St,Otis St," Third St & Otis St Cambridge, MA",42.370320999999997,-71.080010000000001,"(42.370321, -71.08001)"
23735,01/26/2010 06:30:00 AM,Tuesday,Auto,Pedestrian,,OXFORD AVE,EVERETT ST," OXFORD AVE & EVERETT ST Cambridge, MA",42.379809999999999,-71.116491999999994,"(42.37981, -71.116492)"
24066,04/17/2010 09:27:00 AM,,,,,,,"  &  Cambridge, MA",,,
24343,02/05/2010 06:20:00 PM,,Auto,Truck,,Broadway,PROSPECT ST," Broadway & PROSPECT ST Cambridge, MA",42.369317000000002,-71.101021000000003,"(42.369317, -71.101021)"
23756,01/26/2010 11:39:00 AM,Tuesday,Truck,Pedestrian,,Western Ave,Massachusetts Ave," Western Ave & Massachusetts Ave Cambridge, MA",42.365574000000002,-71.103990999999994,"(42.365574, -71.103991)"
23736,01/27/2010 08:19:00 AM,Wednesday,Auto,Parked Vehicle,49,White St,Porter Sq,"49 White St Cambridge, MA",42.389702999999997,-71.118303999999995,"(42.389703, -71.118304)"
23737,01/27/2010 06:18:00 PM,Wednesday,Auto,Auto,1,White St,,"1 White St Cambridge, MA",42.389237999999999,-71.119527000000005,"(42.389238, -71.119527)"
23738,01/28/2010 03:20:00 PM,Thursday,Auto,Fixed Object,105,Windsor St,,"105 Windsor St Cambridge, MA",42.364051000000003,-71.096704000000003,"(42.364051, -71.096704)"
23739,01/28/2010 05:10:00 PM,Thursday,Auto,Parked Vehicle,73-7,Lawn St,,"73-7 Lawn St Cambridge, MA",42.378298000000001,-71.154921000000002,"(42.378298, -71.154921)"
23740,01/29/2010 09:00:00 PM,Friday,Auto,Auto,,Jackson St,DUDLEY ST," Jackson St & DUDLEY ST Cambridge, MA",42.395701000000003,-71.135265000000004,"(42.395701, -71.135265)"
23741,01/29/2010 12:00:00 AM,Friday,Auto,Auto,1,Broadway,,"1 Broadway Cambridge, MA",42.362729999999999,-71.084013999999996,"(42.36273, -71.084014)"
23742,01/29/2010 01:54:00 PM,Friday,Auto,Auto,,MOUNT AUBURN ST,Putnam Ave," MOUNT AUBURN ST & Putnam Ave Cambridge, MA",42.370091000000002,-71.113336000000004,"(42.370091, -71.113336)"
23928,01/30/2010 12:00:00 AM,Saturday,Auto,Parked Vehicle,26,Alpine St,,"26 Alpine St Cambridge, MA",42.384165000000003,-71.137978000000004,"(42.384165, -71.137978)"
23743,01/30/2010 12:00:00 PM,Saturday,Auto,Auto,,Broadway,Galileo Galilei Way," Broadway & Galileo Galilei Way Cambridge, MA",42.364812000000001,-71.089386000000005,"(42.364812, -71.089386)"
23744,01/30/2010 10:50:00 AM,Saturday,Auto,Auto,,Raymond St,HURON AVE," Raymond St & HURON AVE Cambridge, MA",42.385389000000004,-71.126371000000006,"(42.385389, -71.126371)"
23745,01/31/2010 04:30:00 PM,Sunday,Auto,Auto,58,OXFORD AVE,,"58 OXFORD AVE Cambridge, MA",42.378252000000003,-71.155376000000004,"(42.378252, -71.155376)"
23746,01/31/2010 11:15:00 PM,Sunday,Auto,Auto,,MASON ST,GARDEN ST," MASON ST & GARDEN ST Cambridge, MA",42.376564000000002,-71.122185000000002,"(42.376564, -71.122185)"
23747,01/31/2010 11:15:00 AM,Sunday,Auto,Auto,,Concord Ave,Buckingham St," Concord Ave & Buckingham St Cambridge, MA",42.38111,-71.128816999999998,"(42.38111, -71.128817)"
23752,01/31/2010 03:37:00 PM,Sunday,Auto,Auto,,Massachusetts Ave,Waterhouse St," Massachusetts Ave & Waterhouse St Cambridge, MA",42.377870000000001,-71.120647000000005,"(42.37787, -71.120647)"
23748,02/01/2010 07:44:00 AM,Monday,Auto,Parked Vehicle,,SCIARAPPA ST,Otis St," SCIARAPPA ST & Otis St Cambridge, MA",42.370531999999997,-71.081654999999998,"(42.370532, -71.081655)"
23749,02/01/2010 02:25:00 PM,Monday,Auto,Pedestrian,,Broadway,Galileo Galilei Way," Broadway & Galileo Galilei Way Cambridge, MA",42.364812000000001,-71.089386000000005,"(42.364812, -71.089386)"
23750,02/01/2010 05:23:00 PM,Monday,Auto,Pedestrian,,Galileo Galilei Way,Broadway," Galileo Galilei Way & Broadway Cambridge, MA",42.364801999999997,-71.089412999999993,"(42.364802, -71.089413)"
23753,02/01/2010 06:14:00 PM,Monday,Auto,Auto,,SHERMAN ST,Cadbury Rd," SHERMAN ST & Cadbury Rd Cambridge, MA",42.387115999999999,-71.131619999999998,"(42.387116, -71.13162)"
24026,04/09/2010 03:50:00 PM,Friday,Auto,Pedestrian,,Church St,," Church St &  Cambridge, MA",,,
23751,02/02/2010 07:34:00 AM,Tuesday,Auto,Auto,,MAGAZINE ST,Auburn St," MAGAZINE ST & Auburn St Cambridge, MA",42.363987000000002,-71.105711999999997,"(42.363987, -71.105712)"
23754,02/02/2010 09:00:00 AM,Tuesday,Auto,Parked Vehicle,,ESSEX ST,Bishop Allen Dr," ESSEX ST & Bishop Allen Dr Cambridge, MA",42.365853000000001,-71.102331000000007,"(42.365853, -71.102331)"
23759,02/02/2010 06:00:00 PM,Wednesday,Auto,Parked Vehicle,,Lawn St,OXFORD AVE," Lawn St & OXFORD AVE Cambridge, MA",42.378304,-71.155325000000005,"(42.378304, -71.155325)"
23757,02/03/2010 08:00:00 AM,Wednesday,Auto,Pedestrian,,Cambridge St,ELM ST," Cambridge St & ELM ST Cambridge, MA",42.373016999999997,-71.095346000000006,"(42.373017, -71.095346)"
23758,02/03/2010 05:00:00 PM,Wednesday,Auto,Parked Vehicle,1220,Cambridge St,,"1220 Cambridge St Cambridge, MA",42.373241,-71.097773000000004,"(42.373241, -71.097773)"
23760,02/04/2010 08:15:00 AM,Thursday,Auto,Auto,,ELIOT ST,JFK St," ELIOT ST & JFK St Cambridge, MA",42.371416000000004,-71.121105,"(42.371416, -71.121105)"
23761,02/04/2010 09:00:00 AM,Thursday,Taxi,Bus (Other),,QUINCY ST,HARVARD ST," QUINCY ST & HARVARD ST Cambridge, MA",42.372304999999997,-71.115146999999993,"(42.372305, -71.115147)"
23762,02/04/2010 03:49:00 PM,Thursday,Auto,Pedestrian,,Windsor St,Cambridge St," Windsor St & Cambridge St Cambridge, MA",42.372750000000003,-71.093288000000001,"(42.37275, -71.093288)"
23763,02/04/2010 06:30:00 PM,Thursday,Auto,Auto,,MAGAZINE ST,Allston St," MAGAZINE ST & Allston St Cambridge, MA",42.359834999999997,-71.110290000000006,"(42.359835, -71.11029)"
23764,02/04/2010 08:06:00 PM,Thursday,Auto,Bicycle,,Broadway,Ware St," Broadway & Ware St Cambridge, MA",42.373832999999998,-71.112443999999996,"(42.373833, -71.112444)"
23765,02/05/2010 04:09:00 PM,Friday,Auto,Truck,168,Hampshire St,,"168 Hampshire St Cambridge, MA",42.372025999999998,-71.098958999999994,"(42.372026, -71.098959)"
23768,02/06/2010 03:45:00 PM,Saturday,Auto,Auto,535,Windsor St,,"535 Windsor St Cambridge, MA",42.368747999999997,-71.094873000000007,"(42.368748, -71.094873)"
23766,02/07/2010 02:07:00 PM,Sunday,Auto,Fixed Object,575,MEMORIAL DR,,"575 MEMORIAL DR Cambridge, MA",42.354227999999999,-71.105316000000002,"(42.354228, -71.105316)"
23769,02/07/2010 06:00:00 PM,Sunday,Auto,Auto,20,SUFFOLK ST,,"20 SUFFOLK ST Cambridge, MA",42.366185000000002,-71.099648999999999,"(42.366185, -71.099649)"
23770,02/08/2010 08:39:00 AM,Monday,Auto,Pedestrian,1,Cambridge Ctr,Broadway,"1 Cambridge Ctr Cambridge, MA",42.367719999999998,-71.074383999999995,"(42.36772, -71.074384)"
23771,02/08/2010 11:29:00 AM,Monday,Auto,Auto,,GARDEN ST,LINNAEAN ST," GARDEN ST & LINNAEAN ST Cambridge, MA",42.382061,-71.126735999999994,"(42.382061, -71.126736)"
23772,02/08/2010 04:37:00 PM,Monday,Truck,Pedestrian,78,MOUNT AUBURN ST,,"78 MOUNT AUBURN ST Cambridge, MA",42.372075000000002,-71.119129000000001,"(42.372075, -71.119129)"
23773,02/08/2010 06:10:00 PM,Monday,Auto,Parked Vehicle,1,Porter Sq,,"1 Porter Sq Cambridge, MA",42.388578000000003,-71.118688000000006,"(42.388578, -71.118688)"
23774,02/09/2010 12:24:00 AM,Tuesday,Auto,Auto,,Massachusetts Ave,Vassar St," Massachusetts Ave & Vassar St Cambridge, MA",42.360154000000001,-71.094881999999998,"(42.360154, -71.094882)"
23775,02/09/2010 08:10:00 AM,Tuesday,Auto,Auto,,Massachusetts Ave,Hollis St," Massachusetts Ave & Hollis St Cambridge, MA",42.394652999999998,-71.127155000000002,"(42.394653, -71.127155)"
23776,02/09/2010 09:01:00 AM,Tuesday,Auto,Auto,,Third St,HURLEY ST," Third St & HURLEY ST Cambridge, MA",42.368299999999998,-71.080573999999999,"(42.3683, -71.080574)"
23777,02/09/2010 12:00:00 PM,Tuesday,Auto,Auto,,MOUNT AUBURN ST,Massachusetts Ave," MOUNT AUBURN ST & Massachusetts Ave Cambridge, MA",42.369846000000003,-71.112641999999994,"(42.369846, -71.112642)"
23778,02/09/2010 07:27:00 PM,Tuesday,Auto,Auto,,HARVARD ST,HANCOCK ST," HARVARD ST & HANCOCK ST Cambridge, MA",42.370049999999999,-71.106890000000007,"(42.37005, -71.10689)"
23779,02/09/2010 06:30:00 PM,Tuesday,Auto,Auto,110,MOUNT AUBURN ST,Bennett St,"110 MOUNT AUBURN ST Cambridge, MA",42.372889999999998,-71.121973999999994,"(42.37289, -71.121974)"
23784,02/09/2010 09:00:00 AM,Tuesday,Auto,Pedestrian,221,MOUNT AUBURN ST,Sparks St,"221 MOUNT AUBURN ST Cambridge, MA",42.374868999999997,-71.129949999999994,"(42.374869, -71.12995)"
23780,02/10/2010 10:02:00 AM,Wednesday,Auto,Auto,397,Walden St,SAVILLE ST,"397 Walden St Cambridge, MA",42.383257,-71.134913999999995,"(42.383257, -71.134914)"
23781,02/10/2010 11:49:00 AM,Wednesday,Auto,Auto,,Second St,Charles St," Second St & Charles St Cambridge, MA",42.367443999999999,-71.079381999999995,"(42.367444, -71.079382)"
23782,02/10/2010 06:59:00 PM,Wednesday,Auto,Parked Vehicle,15,Inman St,,"15 Inman St Cambridge, MA",42.367449000000001,-71.104926000000006,"(42.367449, -71.104926)"
