"","artist","genre","museums","born","firstName","nationality","medium","century"
"584","Nicolas Cordier","Baroque Era","Louvre Museum Graphic Art Database, Courtauld Institute of Art",1565,"Nicolas","French","Sculptor",15
"585","Belisario Corenzio","Baroque Era","Fine Arts Museums of San Francisco, Fitzwilliam Museum at the University of Cambridge, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, Courtauld Institute of Art, Drawings from the Biblioteca Ambrosiana, MacKenzie Art Gallery, Princeton University Art Museum, Statens Museum for Kunst (National Gallery of Denmark), Joconde Database of French Museum Collections, UK National Inventory of Continental European Paintings (NICE)",1560,"Belisario","Italian","Painter",15
"586","Bartolomeo Coriolano","Baroque Era","Art Institute of Chicago, Fine Arts Museums of San Francisco, Metropolitan Museum of Art, Metropolitan Museum of Art , National Gallery of Art, Rijksmuseum, Cleveland Museum of Art, Hunterian Museum and Art Gallery, Los Angeles County Museum of Art, Minneapolis Institute of Arts, Philadelphia Museum of Art, Smart Museum of Art at the University of Chicago, Valtion Taidemuseo (Finnish National Gallery)",1599,"Bartolomeo","Italian","Painter",15
"587","Fernand Cormon","Academic","Louvre Museum Graphic Art Database, Metropolitan Museum of Art, Musée d'Orsay, Musée d'Orsay, Musée d'Orsay, Museum of Fine Arts, Réunion des Musées Nationaux, Cleveland Museum of Art, Musée des Augustins, Musée des Beaux-Arts de Quimper, Musée des Beaux-Arts de Rennes, Museum Collection Database for the Region of Haute-Normandie, France, Philadelphia Museum of Art, Joconde Database of French Museum Collections",1845,"Fernand","French","Painter",18
"588","Jean-Baptiste Corneille","Baroque Era","Fine Arts Museums of San Francisco, Hermitage Museum, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, Harvard University Art Museums, Minneapolis Institute of Arts, Philadelphia Museum of Art, The Albertina Graphic Art Databank",1649,"Jean-Baptiste","French","Painter",16
"589","Corneille de Lyon","Northern Renaissance","Art Institute of Chicago, Fine Arts Museums of San Francisco, Hermitage Museum, Kunsthistorisches Museum Databank, Louvre Museum Database, Metropolitan Museum of Art, Museum of Fine Arts, National Galleries of Scotland, National Gallery, National Gallery of Art, Rijksmuseum, Beaverbrook Art Gallery, Cleveland Museum of Art, Harvard University Art Museums, Indianapolis Museum of Art, Le Musée Ingres, Memorial Art Gallery of the University of Rochester, Philadelphia Museum of Art, Rijksmuseum Twenthe, State Museums of Florence Digital Archive, The Wallace Collection, Thyssen-Bornemisza Museum, Flemish Art Collection Database, Joconde Database of French Museum Collections, UK National Inventory of Continental European Paintings (NICE)",1500,"Corneille","Dutch","Painter",15
"590","Peter von Cornelius","Realist","Art Institute of Chicago, National Gallery of Art, Neue Pinakothek, Städel Museum, Hamburger Kunsthalle, Haus der Kunst, Kunstmuseum Basel",1783,"Peter","German","Painter",17
"591","Paul Cornoyer","Impressionist","Dallas Museum of Art, Joslyn Art Museum, Museum of the City of New York, North Carolina Museum of Art, Westmoreland Museum of American Art, Smithsonian American Art Museum National Art Inventories",1864,"Paul","American","Painter",18
"592","Jean-Baptiste-Camille Corot","Realist","Art Institute of Chicago, Dallas Museum of Art, Detroit Institute of Arts, Fine Arts Museums of San Francisco, Fitzwilliam Museum at the University of Cambridge, Hermitage Museum, J. Paul Getty Museum, Louvre Museum, Louvre Museum, Louvre Museum, Louvre Museum, Louvre Museum, Louvre Museum, Louvre Museum Database, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, Musée d'Orsay, Museum of Fine Arts, Museum of Fine Arts, Museum of Fine Arts, Museum of Fine Arts, Museum of Fine Arts, National Galleries of Scotland, National Gallery, National Gallery of Art, National Gallery of Australia, National Gallery of Australia, National Gallery of Canada, Neue Pinakothek, Norton Simon Museum, Réunion des Musées Nationaux, Rijksmuseum, Smithsonian American Art Museum, Yale University Art Gallery, Amgueddfa Cymru - National Museum Wales, Art Collection of the Biblioteca Luis Ángel Arango, Art Gallery of Greater Victoria, Arthur Ross Gallery at the University of Pennsylvania, Ashmolean Museum at the University of Oxford, Birmingham Museum of Art, Bowdoin College Museum of Art, Bowes Museum, Brooklyn Museum, Carnegie Museum of Art, Chazen Museum of Art at the University of Wisconsin, Chi-Mei Museum, Christchurch Art Gallery / Te Puna O Waiwhetu, Chrysler Museum, Cincinnati Art Museum, Clark Art Institute, Clark Art Institute, Clark Art Institute, Cleveland Museum of Art, Corcoran Gallery of Art, Courtauld Institute of Art, Currier Gallery of Art, Dalhousie University Art Gallery, Davis Museum and Cultural Center, Dublin City Gallery | The Hugh Lane, E.G. Bührle Collection, Fred Jones Jr. Museum of Art at the University of Oklahoma, Frick Collection, Groninger Museum, Harvard University Art Museums, High Museum of Art, Hunterian Museum and Art Gallery, Indianapolis Museum of Art, Indianapolis Museum of Art, Joslyn Art Museum, Kimbell Art Museum, Kunstmuseum Basel, Kunstmuseum St.Gallen, Lauren Rogers Museum of Art, Le Musée de la Chartreuse de Douai, Los Angeles County Museum of Art, Maier Museum of Art at Randolph-Macon Woman's College, Manchester City Art Gallery, Memorial Art Gallery of the University of Rochester, Mildred Lane Kemper Art Museum, Minneapolis Institute of Arts, Mohamed Mahmoud Khalil and Wife Museum, Musée cantonal des Beaux-Arts, Musée des Augustins, Musée des Beaux-Arts de Bordeaux, Musée des Beaux-Arts de Lyon, Musée des Beaux-Arts de Quimper, Musée des Beaux-Arts de Rennes, Musée des Beaux-Arts de Rouen, Musée des Beaux-Arts de Rouen, Musée des Beaux-Arts, Marseilles, Musee Jenisch, Musee Jenisch, Musee Magnin, Museo del Corso, Museo Nacional de Bellas Artes, Museu de Arte de São Paulo, Museum Collection Database for the Region of Haute-Normandie, France, National Gallery of Victoria, National Museum of Western Art, National Museums Liverpool, New Art Gallery, New Carlsberg Glyptotek, New-York Historical Society, Oglethorpe University Museum, Oskar Reinhart Collection, Österreichische Galerie Belvedere, Palazzo dei Diamanti, Philadelphia Museum of Art, Philbrook Museum of Art, Phoenix Art Museum, Phoenix Art Museum, Princeton University Art Museum, Pushkin Museum of Fine Arts, Royal Museums of Fine Arts of Belgium Catalogue, Saint Louis Art Museum, San Diego Museum of Art, Santa Barbara Museum of Art, Snite Museum of Art at the University of Notre Dame, Southampton City Art Gallery, State Museums of Florence Digital Archive, Statens Museum for Kunst (National Gallery of Denmark), Studio Esseci, Teylers Museum, The Albertina Graphic Art Databank, The British Museum, The Essence of Line: French Drawings from Ingres to Degas, The Huntington Library, The Ordrupgaard Collection, The Wallace Collection, The Walters Art Museum, Thyssen-Bornemisza Museum, Timken Museum of Art, Tweed Museum of Art at the University of Minnesota, University of Iowa Museum of Art, Valtion Taidemuseo (Finnish National Gallery), Valtion Taidemuseo (Finnish National Gallery), Victoria and Albert Museum Catalogue, Von der Heydt-Museum, Wake Forest University, Wallraf-Richartz-Museum, Winnipeg Art Gallery, Art Fund for UK Museums, Flemish Art Collection Database, Joconde Database of French Museum Collections, UK National Inventory of Continental European Paintings (NICE)",1796,"Jean-Baptiste-Camille","French","Painter",17
"593","Antonio Corradini","Rococo Era","Louvre Museum Database, Metropolitan Museum of Art, Ca' Rezzonico - Museo del Settecento Veneziano, Courtauld Institute of Art, Museo Correr",1668,"Antonio","Italian","Sculptor",16
"594","Correggio","Mannerist","Art Institute of Chicago, Detroit Institute of Arts, Fine Arts Museums of San Francisco, Fitzwilliam Museum PHAROS Website, Hermitage Museum, J. Paul Getty Museum, Kress Foundation Collection, Kunsthistorisches Museum, Kunsthistorisches Museum Databank, Louvre Museum, Louvre Museum, Louvre Museum Database, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, Metropolitan Museum of Art , Museum of Fine Arts, National Gallery, National Gallery of Art, Prado Museum Database, Rijksmuseum, Smithsonian American Art Museum, The Royal Collection, Bowdoin College Museum of Art, Cleveland Museum of Art, Courtauld Institute of Art, Galleria Borghese, Galleria Doria Pamphilj, Harvard University Art Museums, Le Musée Ingres, Los Angeles County Museum of Art, Musée des Beaux-Arts de Rennes, National Gallery of Australia, Philadelphia Museum of Art, State Museums of Florence Digital Archive, Statens Museum for Kunst (National Gallery of Denmark), Teylers Museum, The Albertina Graphic Art Databank, The British Museum, The Walters Art Museum, Thyssen-Bornemisza Museum, Virtual Uffizi, Art Fund for UK Museums, Joconde Database of French Museum Collections, UK National Inventory of Continental European Paintings (NICE)",1489,"Correggio","Italian","Painter",14
"595","Jean-Pierre Cortot","Academic","Louvre Museum, Louvre Museum Database, Louvre Museum Graphic Art Database, Courtauld Institute of Art",1787,"Jean-Pierre","French","Sculptor",17
"596","Francesco del Cossa","Early Renaissance","Kress Foundation Collection, Museum of Fine Arts, National Gallery, National Gallery of Art, Palazzo dei Diamanti, Pinacoteca Nazionale di Bologna, Staatsgalerie Stuttgart, The Walters Art Museum, Thyssen-Bornemisza Museum",1435,"Francesco","Italian","Painter",14
"597","Jan Cossiers","Baroque Era","Detroit Institute of Arts, Fine Arts Museums of San Francisco, Hermitage Museum, J. Paul Getty Museum, Louvre Museum Database, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, National Gallery of Art, Prado Museum Database, Rijksmuseum, Dulwich Picture Gallery, Hunterian Museum and Art Gallery, National Gallery of Armenia, Poznan National Museum, Universalmuseum Joanneum, Valtion Taidemuseo (Finnish National Gallery), Flemish Art Collection Database, Joconde Database of French Museum Collections, UK National Inventory of Continental European Paintings (NICE)",1600,"Jan","Flemish","Painter",16
"598","Lorenzo Costa","High Renaissance","Art Institute of Chicago, Hermitage Museum, J. Paul Getty Museum, Kress Foundation Collection, Louvre Museum, Louvre Museum Database, Louvre Museum Graphic Art Database, Museum of Fine Arts, National Gallery, National Gallery of Art, Rijksmuseum, The Royal Collection, Brooklyn Museum, Currier Gallery of Art, Minneapolis Institute of Arts, Musée des Beaux-Arts de Lyon, Museum Collection Database for the Region of Haute-Normandie, France, North Carolina Museum of Art, Philadelphia Museum of Art, Pinacoteca Nazionale di Bologna, State Museums of Florence Digital Archive, The Albertina Graphic Art Databank, The Walters Art Museum, Thyssen-Bornemisza Museum, Virtual Uffizi, Joconde Database of French Museum Collections",1460,"Lorenzo","Italian","Painter",14
"599","Richard Cosway","Rococo Era","Art Institute of Chicago, Fine Arts Museums of San Francisco, Fitzwilliam Museum at the University of Cambridge, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, National Galleries of Scotland, National Gallery of Art, Royal Academy of Arts Collection, Tate Gallery, The Royal Collection, Cincinnati Art Museum, Cleveland Museum of Art, Courtauld Institute of Art, Denver Art Museum / Berger Collection, Drawings from the Biblioteca Ambrosiana, Harvard University Art Museums, Los Angeles County Museum of Art, National Library of Australia, National Portrait Gallery, Philadelphia Museum of Art, Pierpont Morgan Library, State Museums of Florence Digital Archive, Statens Museum for Kunst (National Gallery of Denmark), The Albertina Graphic Art Databank, The Huntington Library, The Wallace Collection, Art Fund for UK Museums, D'Outre Manche Database of British Art in French Public Collections",1742,"Richard","English","Miniaturist",17
"600","Colijn de Coter","Northern Renaissance","Art Institute of Chicago, Fine Arts Museums of San Francisco, Bilbao Fine Arts Museum, Bob Jones University Museum & Gallery, Chazen Museum of Art at the University of Wisconsin, Regional Museum of Messina, Royal Museums of Fine Arts of Belgium Catalogue, Wallraf-Richartz-Museum, Flemish Art Collection Database, Joconde Database of French Museum Collections",1446,"Colijn","Netherlandish","Painter",14
"601","Pierre-Auguste Cot","Academic","Metropolitan Museum of Art, Metropolitan Museum of Art , Musée d'Orsay, Chi-Mei Museum, Chi-Mei Museum, UK National Inventory of Continental European Paintings (NICE)",1837,"Pierre-Auguste","French","Painter",18
"602","John Sell Cotman","Romantic","Art Institute of Chicago, Birmingham Museums & Art Gallery, Fine Arts Museums of San Francisco, Fitzwilliam Museum at the University of Cambridge, Metropolitan Museum of Art, Museum of Fine Arts, National Gallery of Art, Tate Gallery, Bolton Art Gallery, Cleveland Museum of Art, Courtauld Institute of Art, Harvard University Art Museums, Indianapolis Museum of Art, Los Angeles County Museum of Art, Manchester City Art Gallery, Norwich Museums, Philadelphia Museum of Art, Pierpont Morgan Library, Princeton University Art Museum, The British Museum, The Huntington Library, Victoria and Albert Museum Catalogue, Whitworth Art Gallery, Art Fund for UK Museums, D'Outre Manche Database of British Art in French Public Collections",1782,"John","English","Painter",17
"603","Charles Cottet","Realist","Art Institute of Chicago, Fine Arts Museums of San Francisco, Hermitage Museum, Louvre Museum Graphic Art Database, Musée d'Orsay, Musée d'Orsay, Musée d'Orsay, National Gallery of Art, Smithsonian American Art Museum, Bilbao Fine Arts Museum, Dublin City Gallery | The Hugh Lane, Harvard University Art Museums, Musée des Beaux-Arts de Quimper, Musée des Beaux-Arts de Rennes, Museum Collection Database for the Region of Haute-Normandie, France, National Museum of Western Art, Valtion Taidemuseo (Finnish National Gallery), Flemish Art Collection Database",1863,"Charles","French","Painter",18
"604","Robert Cottingham","Photorealist","Art Institute of Chicago, Guggenheim Museum, Metropolitan Museum of Art, National Gallery of Art, Smithsonian American Art Museum, Ball State Museum of Art, Brauer Museum of Art at Valparaiso University, Centraal Museum Database, Chazen Museum of Art at the University of Wisconsin, Cleveland Museum of Art, Currier Gallery of Art, DePaul University Museum, Figge Art Museum, Harvard University Art Museums, Hirshhorn Museum and Sculpture Garden, Indianapolis Museum of Art, Mildred Lane Kemper Art Museum, Museum of the National Academy of Design, Orlando Museum of Art, Pomona College Museum of Art, Seavest Collection of Contemporary American Realism, Smart Museum of Art at the University of Chicago, University of Virginia Art Museum, Wichita Art Museum",1935,"Robert","American","Painter",19
"605","Louis-Charles-Auguste Couder","Romantic","Fine Arts Museums of San Francisco, Hermitage Museum, Louvre Museum Database, Louvre Museum Graphic Art Database, Réunion des Musées Nationaux, State Museums of Florence Digital Archive, The Essence of Line: French Drawings from Ingres to Degas, The Walters Art Museum",1790,"Louis-Charles-Auguste","French","Painter",17
"606","Jean Cousin the Elder","High Renaissance","Hermitage Museum, Jean Cousin  at the Louvre Museum, Jean Cousin  at the Louvre Museum, Louvre Museum Database, Louvre Museum Graphic Art Database, Metropolitan Museum of Art , National Gallery of Art, Cleveland Museum of Art, Musee Magnin, Teylers Museum",1495,"Jean","French","Painter",14
"607","Guillaume Courtois","Baroque Era","Art Institute of Chicago, Detroit Institute of Arts, Fine Arts Museums of San Francisco, J. Paul Getty Museum, Kunsthistorisches Museum Databank, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, National Gallery of Art, Prado Museum Database, Rijksmuseum, Courtauld Institute of Art, Galleria Doria Pamphilj, Palazzo Braschi, Royal Museums of Fine Arts of Belgium Catalogue, Statens Museum for Kunst (National Gallery of Denmark), Teylers Museum, The Albertina Graphic Art Databank",1628,"Guillaume","Italian","Painter",16
"608","Jacques Courtois","Baroque Era","Detroit Institute of Arts, Fine Arts Museums of San Francisco, Kunsthistorisches Museum Databank, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, Prado Museum Database, Rijksmuseum, Bowdoin College Museum of Art, Brooklyn Museum, Courtauld Institute of Art, Los Angeles County Museum of Art, Musee Magnin, New Art Gallery, Royal Museums of Fine Arts of Belgium Catalogue, State Museums of Florence Digital Archive, Statens Museum for Kunst (National Gallery of Denmark), Teylers Museum, The Wallace Collection, Flemish Art Collection Database, Joconde Database of French Museum Collections, UK National Inventory of Continental European Paintings (NICE)",1621,"Jacques","French","Painter",16
"609","Nicolas Coustou","Baroque Era","Louvre Museum, Louvre Museum, Louvre Museum Database, Louvre Museum Graphic Art Database, Sculptures of Versailles, Joconde Database of French Museum Collections",1658,"Nicolas","French","Sculptor",16
"610","Gustave Courbet","Realist","Art Institute of Chicago, Dallas Museum of Art, Detroit Institute of Arts, Fine Arts Museums of San Francisco, Fitzwilliam Museum at the University of Cambridge, Hermitage Museum, J. Paul Getty Museum, J. Paul Getty Museum, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, Musée d'Orsay, Museum of Fine Arts, Museum of Fine Arts, Museum of Fine Arts, National Galleries of Scotland, National Gallery, National Gallery of Art, National Gallery of Australia, National Gallery of Australia, National Gallery of Australia, National Gallery of Canada, Neue Pinakothek, Norton Simon Museum, Réunion des Musées Nationaux, Rijksmuseum, Städel Museum, Ackland Art Museum at the University of North Carolina, Albright-Knox Art Gallery, Allen Art Museum at Oberlin College, Amgueddfa Cymru - National Museum Wales, Art Gallery of New South Wales, Art Gallery of Ontario, Ashmolean Museum at the University of Oxford, Bowes Museum, Bristol Museum and Art Gallery, Brooklyn Museum, Carnegie Museum of Art, Centraal Museum, Chateau Musée, Clark Art Institute, Cleveland Museum of Art, Dublin City Gallery | The Hugh Lane, E.G. Bührle Collection, Fondation de l'Hermitage, GAM - Galleria Civica d'Arte Moderna e Contemporanea, Harvard University Art Museums, Indianapolis Museum of Art, Joslyn Art Museum, Kimbell Art Museum, Kunstmuseum Basel, Kunstmuseum St.Gallen, McLean Museum and Art Gallery, McMaster Museum of Art, Memorial Art Gallery of the University of Rochester, Milwaukee Art Museum, Minneapolis Institute of Arts, Musée des Augustins, Musée des Beaux Arts et d'Archéologie de Besançon, Musée des Beaux-Arts, Marseilles, Musee Jenisch, Museo d'Arte della Città di Ravenna, Museo Nacional de Bellas Artes, Museum Collection Database for the Region of Haute-Normandie, France, National Gallery of Armenia, National Gallery of Victoria, National Museum of Art of Romania, National Museum of Western Art, National Museums Liverpool, New Carlsberg Glyptotek, Oklahoma City Museum of Art, Oskar Reinhart Collection, Österreichische Galerie Belvedere, Palais des Beaux-Arts de Lille, Philadelphia Museum of Art, Philadelphia Museum of Art, Phoenix Art Museum, Phoenix Art Museum, Rijksmuseum Twenthe, Royal Museums of Fine Arts of Belgium Catalogue, Saint Louis Art Museum, San Diego Museum of Art, Smith College Museum of Art, Southampton City Art Gallery, Statens Museum for Kunst (National Gallery of Denmark), The Albertina Graphic Art Databank, The Ordrupgaard Collection, The Walters Art Museum, Thyssen-Bornemisza Museum, Van Gogh Museum, Victoria and Albert Museum Catalogue, Von der Heydt-Museum, Wadsworth Atheneum Museum of Art, Wallraf-Richartz-Museum, Wallraf-Richartz-Museum, Worcester Art Museum, Yale University Art Gallery, Art Fund for UK Museums, Flemish Art Collection Database, Joconde Database of French Museum Collections, UK National Inventory of Continental European Paintings (NICE)",1819,"Gustave","French","Painter",18
"611","Guillaume Coustou the Elder","Baroque Era","Hermitage Museum, Guillaume Coustou  at the Louvre Museum, Louvre Museum Database, Metropolitan Museum of Art, Courtauld Institute of Art, National Gallery of Armenia, Sculptures of Versailles, Statens Museum for Kunst (National Gallery of Denmark)",1677,"Guillaume","French","Sculptor",16
"612","Lucie Cousturier","Pointillist","Musée d'Orsay, Indianapolis Museum of Art",1870,"Lucie","French","Painter",18
"613","Thomas Couture","Academic","Art Institute of Chicago, Detroit Institute of Arts, Fine Arts Museums of San Francisco, Fitzwilliam Museum at the University of Cambridge, Hermitage Museum, Louvre Museum Database, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, Musee d'Art Roger-Quilliot, Musée d'Orsay, Musée d'Orsay, Museum of Fine Arts, National Gallery of Art, Norton Simon Museum, Réunion des Musées Nationaux, Rijksmuseum, Brooklyn Museum, Canton Museum of Art, Cleveland Museum of Art, Dahesh Museum, Harvard University Art Museums, Joslyn Art Museum, Memorial Art Gallery of the University of Rochester, Minneapolis Institute of Arts, Musée des Augustins, Musée des Beaux-Arts de Bordeaux, Musée des Beaux-Arts de Caen, Musée des Beaux-Arts de Rouen, Musee Magnin, Philadelphia Museum of Art, The Essence of Line: French Drawings from Ingres to Degas, The Huntington Library, The Wallace Collection, The Walters Art Museum, Valtion Taidemuseo (Finnish National Gallery), Van Gogh Museum, Von der Heydt-Museum, Art Fund for UK Museums, Flemish Art Collection Database, Joconde Database of French Museum Collections, UK National Inventory of Continental European Paintings (NICE)",1815,"Thomas","French","Painter",18
"614","Frank Cowper","Pre-Raphaelite","Royal Academy of Arts Collection, Tate Gallery, Cheltenham Art Gallery and Museum",1877,"Frank","English","Painter",18
"615","John Rogers Cox","Regionalist","Dallas Museum of Art, Fine Arts Museums of San Francisco, National Gallery of Art, Cleveland Museum of Art",1915,"John","American","Painter",19
"616","Kenyon Cox","Academic","Fine Arts Museums of San Francisco, Metropolitan Museum of Art, National Gallery of Art, Smithsonian American Art Museum, Addison Gallery of American Art, Bowdoin College Museum of Art, Bowdoin College Museum of Art, Brooklyn Museum, Brooklyn Museum/Luce Center for American Art, Canton Museum of Art, Chazen Museum of Art at the University of Wisconsin, Cleveland Museum of Art, Harvard University Art Museums, Museum of the National Academy of Design, Pennsylvania Academy of the Fine Arts, Princeton University Art Museum, Saint-Gaudens National Historic Site, Smithsonian Archives of American Art, The Huntington Library, Smithsonian American Art Museum National Art Inventories",1856,"Kenyon","American","Painter",18
"617","Michiel van Coxcie","Northern Renaissance","Art Institute of Chicago, Hermitage Museum, Kunsthistorisches Museum Databank, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, National Gallery, Prado Museum Database, Rijksmuseum, Allen Art Museum at Oberlin College, Courtauld Institute of Art, Harvard University Art Museums, Los Angeles County Museum of Art, Musées de Lorraine, Museo de Bellas Artes de Valencia, Museo de Bellas Artes de Valencia, Teylers Museum, Flemish Art Collection Database",1499,"Michiel","Netherlandish","Painter",14
"618","Antoine Coypel","Baroque Era","Art Institute of Chicago, Fine Arts Museums of San Francisco, J. Paul Getty Museum, Louvre Museum, Louvre Museum Database, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, National Gallery of Art, Prado Museum Database, Réunion des Musées Nationaux, Smithsonian American Art Museum, Allen Art Museum at Oberlin College, Christchurch Art Gallery / Te Puna O Waiwhetu, Cleveland Museum of Art, Courtauld Institute of Art, Drawings from the Biblioteca Ambrosiana, Harvard University Art Museums, Indianapolis Museum of Art, Le Musée des Beaux-Arts de Tours, Los Angeles County Museum of Art, Philadelphia Museum of Art, Princeton University Art Museum, State Museums of Florence Digital Archive, Statens Museum for Kunst (National Gallery of Denmark), Teylers Museum, The Albertina Graphic Art Databank, Tver Art Gallery, Flemish Art Collection Database, Joconde Database of French Museum Collections",1661,"Antoine","French","Painter",16
"619","Charles-Antoine Coypel","Rococo Era","Art Institute of Chicago, Hermitage Museum, J. Paul Getty Museum, Louvre Museum Database, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, National Gallery of Art, Bilbao Fine Arts Museum, Harvard University Art Museums, Philadelphia Museum of Art, The Wallace Collection, Virginia Museum of Fine Arts, Joconde Database of French Museum Collections",1694,"Charles-Antoine","French","Painter",16
"620","Noël Coypel","Baroque Era","Louvre Museum Database, Louvre Museum Graphic Art Database, Harvard University Art Museums, Musée des Beaux-Arts de Rennes, Musée des Beaux-Arts de Rennes, Musée des Beaux-Arts de Rennes, Philadelphia Museum of Art, Statens Museum for Kunst (National Gallery of Denmark), Joconde Database of French Museum Collections",1628,"Noël","French","Designer",16
"621","Antoine Coysevox","Baroque Era","Hermitage Museum, Louvre Museum, Louvre Museum, Louvre Museum, Louvre Museum, Louvre Museum Database, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, National Gallery of Art, The Royal Collection, Château de Versailles, Courtauld Institute of Art, Frick Collection, Indianapolis Museum of Art, Musée des Beaux-Arts de Rennes, National Portrait Gallery, Sculptures of Versailles, Statens Museum for Kunst (National Gallery of Denmark), The Huntington Library, The Wallace Collection, Joconde Database of French Museum Collections",1640,"Antoine","French","Sculptor",16
"622","John Robert Cozens","Romantic","Art Institute of Chicago, Birmingham Museums & Art Gallery, Fine Arts Museums of San Francisco, Metropolitan Museum of Art, Metropolitan Museum of Art , National Gallery of Art, Tate Gallery, Cleveland Museum of Art, Courtauld Institute of Art, Denver Art Museum / Berger Collection, Harvard University Art Museums, Indianapolis Museum of Art, Pierpont Morgan Library, The British Museum, The Huntington Library, Victoria and Albert Museum Catalogue, Whitworth Art Gallery, Art Fund for UK Museums, D'Outre Manche Database of British Art in French Public Collections",1752,"John","English","Painter",17
"623","Giacomo Cozzarelli","Early Renaissance","Courtauld Institute of Art",1453,"Giacomo","Italian","Sculptor",14
"624","Guidoccio Cozzarelli","Early Renaissance","Kress Foundation Collection, Metropolitan Museum of Art, Museum of Fine Arts, Allen Art Museum at Oberlin College, Lowe Art Museum at the University of Miami, Philadelphia Museum of Art, The Walters Art Museum",1450,"Guidoccio","Italian","Painter",14
"625","Marmaduke Cradock","Baroque Era","Tate Gallery, Dulwich Picture Gallery",1660,"Marmaduke","British","Painter",16
"626","Josse van Craesbeeck","Baroque Era","Hermitage Museum, J. Paul Getty Museum, Kunsthistorisches Museum Databank, Liechtenstein Museum, Louvre Museum Database, Louvre Museum Graphic Art Database, Prado Museum Database, Rijksmuseum, The Royal Collection, Bowes Museum, Bowes Museum, CODART - Dutch and Flemish paintings in the Brukenthal Museum, Sibiu, Regional Art Gallery in Liberec, Statens Museum for Kunst (National Gallery of Denmark), Flemish Art Collection Database, UK National Inventory of Continental European Paintings (NICE)",1605,"Josse","Flemish","Painter",16
"627","Lucas Cranach the Younger","Northern Renaissance","Fine Arts Museums of San Francisco, Hermitage Museum, Kress Foundation Collection, Kunsthistorisches Museum Databank, Mauritshuis Royal Picture Gallery, Metropolitan Museum of Art, Museum of Fine Arts, National Gallery of Art, Rijksmuseum, The Royal Collection, Carnegie Museum of Art, Chi-Mei Museum, Haggerty Museum of Art at Marquette University, Harvard University Art Museums, Indianapolis Museum of Art, North Carolina Museum of Art, Philadelphia Museum of Art, State Museums of Florence Digital Archive, Statens Museum for Kunst (National Gallery of Denmark), The Albertina Graphic Art Databank, Thyssen-Bornemisza Museum, Art Fund for UK Museums, Flemish Art Collection Database",1515,"Lucas","German","Painter",15
