"","artist","genre","museums","born","firstName","nationality","medium","century"
"14","Agostino Veneziano","High Renaissance","Art Institute of Chicago, Fine Arts Museums of San Francisco, Hermitage Museum, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, Metropolitan Museum of Art , National Galleries of Scotland, National Gallery of Art, Rijksmuseum, Ball State Museum of Art, Cleveland Museum of Art, Harvard University Art Museums, Hunterian Museum and Art Gallery, Indianapolis Museum of Art, Indianapolis Museum of Art, Los Angeles County Museum of Art, Philadelphia Museum of Art, Pomona College Museum of Art, Pomona College Museum of Art, Staatsgalerie Stuttgart, Teylers Museum, Valtion Taidemuseo (Finnish National Gallery), Victoria and Albert Museum Catalogue",1490,"Agostino","Italian","Engraver",14
"15","Ivan Aivazovsky","Academic","Hermitage Museum, Metropolitan Museum of Art, National Gallery of Armenia, National Gallery of Armenia, Muzeum Sztuki, Philadelphia Museum of Art, Sakip Sabanci Museum, Schleswig-Holstein Museums, State Museums of Florence Digital Archive, State Russian Museum, Tver Art Gallery, Virtual Museum of Canada",1817,"Ivan","Armenian","Painter",18
"16","Francesco Albani","Baroque Era","Art Institute of Chicago, Fine Arts Museums of San Francisco, Hermitage Museum, Kunsthistorisches Museum Databank, Louvre Museum Database, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, Museum of Fine Arts, National Gallery of Art, Prado Museum Database, The Royal Collection, Amgueddfa Cymru - National Museum Wales, Art Gallery of Greater Victoria, Courtauld Institute of Art, Dulwich Picture Gallery, Five College Museums Collections Database, Harvard University Art Museums, Le Musée Ingres, Museo Poldi Pezzoli, Museum Collection Database for the Region of Haute-Normandie, France, Palazzo Colonna Gallery, Philadelphia Museum of Art, Pinacoteca Nazionale di Bologna, Princeton University Art Museum, Ringling Museum of Art, Royal Museums of Fine Arts of Belgium Catalogue, State Museums of Florence Digital Archive, Statens Museum for Kunst (National Gallery of Denmark), Strossmayer's Old Master Gallery, Teylers Museum, The Wallace Collection, The Walters Art Museum, Art Fund for UK Museums, Joconde Database of French Museum Collections, UK National Inventory of Continental European Paintings (NICE)",1578,"Francesco","Italian","Painter",15
"17","Mariotto Albertinelli","Early Renaissance","Hermitage Museum, Kress Foundation Collection, Kunsthistorisches Museum Databank, Louvre Museum Database, Louvre Museum Graphic Art Database, Yale University Art Gallery, Yale University Art Gallery, Brooklyn Museum, Courtauld Institute of Art, Harvard University Art Museums, Museo Poldi Pezzoli, Philadelphia Museum of Art, San Diego Museum of Art, State Museums of Florence Digital Archive, Strossmayer's Old Master Gallery, Joconde Database of French Museum Collections, UK National Inventory of Continental European Paintings (NICE)",1474,"Mariotto","Italian","Painter",14
"18","Ivan Albright","Magic Realist","Art Institute of Chicago, Dallas Museum of Art, Fine Arts Museums of San Francisco, Metropolitan Museum of Art, Museum of Modern Art, National Gallery of Art, Smithsonian American Art Museum, Brauer Museum of Art at Valparaiso University, Carnegie Museum of Art, Cleveland Museum of Art, Currier Gallery of Art, DePaul University Museum, Fred Jones Jr. Museum of Art at the University of Oklahoma, Harvard University Art Museums, Hirshhorn Museum and Sculpture Garden, Hofstra University Museum, Hood Museum of Art, Hunter Museum of American Art, Indianapolis Museum of Art, Los Angeles County Museum of Art, Museum of the National Academy of Design, Philadelphia Museum of Art, State Museums of Florence Digital Archive, Terra Foundation for American Art, The Huntington Library, The Renaissance Society at The University of Chicago, University of Iowa Museum of Art, Westmoreland Museum of American Art, Wichita Art Museum, Smithsonian American Art Museum National Art Inventories",1897,"Ivan","American","Painter",18
"19","Heinrich Aldegrever","Northern Renaissance","Art Institute of Chicago, Dallas Museum of Art, Detroit Institute of Arts, Fine Arts Museums of San Francisco, J. Paul Getty Museum, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, Museum of Fine Arts, National Gallery of Art, Norton Simon Museum, Rijksmuseum, Art Gallery of Greater Victoria, Beaverbrook Art Gallery, Blanton Museum of Art at the University of Texas, Block Museum of Art at Northwestern University, Cleveland Museum of Art, David Winton Bell Gallery at Brown University, Harvard University Art Museums, Indianapolis Museum of Art, Los Angeles County Museum of Art, Mildred Lane Kemper Art Museum, Minneapolis Institute of Arts, National Brukenthal Museum, National Gallery of Victoria, Philadelphia Museum of Art, Princeton University Art Museum, Schleswig-Holstein Museums, Statens Museum for Kunst (National Gallery of Denmark), Teylers Museum, The British Museum, Université de Liège Collections, Valtion Taidemuseo (Finnish National Gallery), Vejle Kunstmuseum, Flemish Art Collection Database",1502,"Heinrich","German","Engraver",15
"20","William Van Alen","Art Deco","Courtauld Institute of Art",1883,"William","American","Architect",18
"21","Leon Baptista Alberti","Early Renaissance","National Gallery of Art, Courtauld Institute of Art, Statens Museum for Kunst (National Gallery of Denmark)",1404,"Leon","Italian","Architect",14
"22","Alessandro Algardi","Baroque Era","Art Institute of Chicago, Detroit Institute of Arts, Hermitage Museum, J. Paul Getty Museum, Kunsthistorisches Museum Databank, Liechtenstein Museum, Louvre Museum Database, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, Metropolitan Museum of Art , National Gallery of Art, Prado Museum Database, Art Gallery of South Australia, Cleveland Museum of Art, Courtauld Institute of Art, Drawings from the Biblioteca Ambrosiana, Frick Collection, Galleria Doria Pamphilj, Harvard University Art Museums, Los Angeles County Museum of Art, Loyola University Museum of Art, Manchester City Art Gallery, Musei Capitolini, Museo Poldi Pezzoli, National Gallery of Victoria, Smart Museum of Art at the University of Chicago, Statens Museum for Kunst (National Gallery of Denmark), Teylers Museum, The Wallace Collection, Victoria and Albert Museum Catalogue, Art Fund for UK Museums",1598,"Alessandro","Italian","Sculptor",15
"23","Christophe-Gabriel Allegrain","Rococo Era","Louvre Museum, Louvre Museum Database, The Hepworth Wakefield, The Huntington Library",1710,"Christophe-Gabriel","French","Sculptor",17
