"ABBREV","ACCF_RATE","ACCF_CNT","ACCF_ECNT","ACCM_RATE","ACCM_CNT","ACCM_ECNT","BLAF_RATE","BLAF_CNT","BLAF_ECNT","BLAM_RATE","BLAM_CNT","BLAM_ECNT","BRAF_RATE","BRAF_CNT","BRAF_ECNT","BRAM_RATE","BRAM_CNT","BRAM_ECNT","BREF_RATE","BREF_CNT","BREF_ECNT","CERF_RATE","CERF_CNT","CERF_ECNT","COLF_RATE","COLF_CNT","COLF_ECNT","COLM_RATE","COLM_CNT","COLM_ECNT","ESOF_RATE","ESOF_CNT","ESOF_ECNT","ESOM_RATE","ESOM_CNT","ESOM_ECNT","KIDF_RATE","KIDF_CNT","KIDF_ECNT","KIDM_RATE","KIDM_CNT","KIDM_ECNT","LEUF_RATE","LEUF_CNT","LEUF_ECNT","LEUM_RATE","LEUM_CNT","LEUM_ECNT","LGBF_RATE","LGBF_CNT","LGBF_ECNT","LGBM_RATE","LGBM_CNT","LGBM_ECNT","LUNF_RATE","LUNF_CNT","LUNF_ECNT","LUNM_RATE","LUNM_CNT","LUNM_ECNT","NHLF_RATE","NHLF_CNT","NHLF_ECNT","NHLM_RATE","NHLM_CNT","NHLM_ECNT","ORAF_RATE","ORAF_CNT","ORAF_ECNT","ORAM_RATE","ORAM_CNT","ORAM_ECNT","OTHF_RATE","OTHF_CNT","OTHF_ECNT","OTHM_RATE","OTHM_CNT","OTHM_ECNT","OVAF_RATE","OVAF_CNT","OVAF_ECNT","PANF_RATE","PANF_CNT","PANF_ECNT","PANM_RATE","PANM_CNT","PANM_ECNT","PROM_RATE","PROM_CNT","PROM_ECNT","RECF_RATE","RECF_CNT","RECF_ECNT","RECM_RATE","RECM_CNT","RECM_ECNT","STOF_RATE","STOF_CNT","STOF_ECNT","STOM_RATE","STOM_CNT","STOM_ECNT","UTEF_RATE","UTEF_CNT","UTEF_ECNT","ACCT_RATE","ACCT_CNT","ACCT_ECNT","BLAT_RATE","BLAT_CNT","BLAT_ECNT","BRAT_RATE","BRAT_CNT","BRAT_ECNT","BRET_RATE","BRET_CNT","BRET_ECNT","CERT_RATE","CERT_CNT","CERT_ECNT","COLT_RATE","COLT_CNT","COLT_ECNT","ESOT_RATE","ESOT_CNT","ESOT_ECNT","KIDT_RATE","KIDT_CNT","KIDT_ECNT","LEUT_RATE","LEUT_CNT","LEUT_ECNT","LGBT_RATE","LGBT_CNT","LGBT_ECNT","LUNT_RATE","LUNT_CNT","LUNT_ECNT","NHLT_RATE","NHLT_CNT","NHLT_ECNT","ORAT_RATE","ORAT_CNT","ORAT_ECNT","OTHT_RATE","OTHT_CNT","OTHT_ECNT","OVAT_RATE","OVAT_CNT","OVAT_ECNT","PANT_RATE","PANT_CNT","PANT_ECNT","PROT_RATE","PROT_CNT","PROT_ECNT","RECT_RATE","RECT_CNT","RECT_ECNT","STOT_RATE","STOT_CNT","STOT_ECNT","UTET_RATE","UTET_CNT","UTET_ECNT","REGION"
"AK",140.96,2846,2963,199.36,3696,4330,2.32,37,29,6.29,107,97,3.68,89,100,4.59,151,168,26.41,600,658,2.22,64,92,13.55,238,265,17.58,298,368,1.35,24,23,5.8,105,106,1.67,36,47,4.12,89,112,5.17,119,125,5.66,126,211,2.41,44,62,4.58,89,95,35.44,689,546,68.99,1318,1481,3.47,67,101,5.02,116,176,1.36,26,28,2.99,62,89,11.93,228,200,17.4,316,308,7.88,168,187,6.58,114,124,8.64,166,203,23.81,286,281,1.77,33,44,3.15,48,80,2.6,45,60,6.57,113,138,3.11,55,69,170.16,6542,7293,4.305,144,126,4.135,240,268,26.41,600,658,2.22,64,92,15.565,536,633,3.575,129,129,2.895,125,159,5.415,245,336,3.495,133,157,52.215,2007,2027,4.245,183,277,2.175,88,117,14.665,544,508,7.88,168,187,7.61,280,327,23.81,286,281,2.46,81,124,4.585,158,198,3.11,55,69,"alaska"
"AL",118.47,59396,64939,212.48,75601,72129,1.24,783,996,5.06,1751,2171,3.47,1629,1543,5.9,2078,1855,20.91,10225,12304,3.91,1731,1414,11.68,6308,7589,14.34,5413,6842,0.99,530,611,3.74,1324,1677,1.87,895,1081,4.08,1497,1706,5.2,2489,2430,9.74,3200,2995,3.17,1558,1703,4.94,1712,1635,19.01,9979,11245,79.64,29371,24341,4.28,2300,2340,5.93,2374,2452,1.22,709,672,3.81,1269,1390,13.84,6048,4957,22.21,7042,5010,6.9,3422,3870,6.04,3242,3434,10.54,3659,3521,19.54,6689,7164,1.52,865,1271,2.4,872,1489,2.57,1387,1721,5.22,1841,2486,2.66,1339,1812,165.475,134997,137068,3.15,2534,3167,4.685,3707,3398,20.91,10225,12304,3.91,1731,1414,13.01,11721,14431,2.365,1854,2288,2.975,2392,2787,7.47,5689,5425,4.055,3270,3338,49.325,39350,35586,5.105,4674,4792,2.515,1978,2062,18.025,13090,9967,6.9,3422,3870,8.29,6901,6955,19.54,6689,7164,1.96,1737,2760,3.895,3228,4207,2.66,1339,1812,"alabama"
"AR",122.44,42125,46252,215.06,56544,55453,1.63,676,741,4.98,1416,1771,3.6,1121,1064,5.52,1339,1310,20.81,6857,8597,3.55,1020,970,13.13,4885,5549,16.69,4556,5383,0.77,301,442,3.11,857,1265,1.87,669,777,4.6,1228,1281,5.11,1735,1734,9.5,2390,2275,3.5,1214,1235,5.16,1341,1265,22.3,7499,7894,84.98,22222,18407,4.35,1574,1678,6.58,1716,1832,1.26,440,479,2.81,759,1038,11.39,3956,3580,16.34,4248,3833,7.15,2379,2724,6.47,2375,2501,10.64,2782,2718,20.2,5484,5964,1.61,633,925,2.73,773,1170,3.19,1085,1263,6.2,1573,1952,2.86,978,1312,168.75,98669,101705,3.305,2092,2512,4.56,2460,2374,20.81,6857,8597,3.55,1020,970,14.91,9441,10932,1.94,1158,1707,3.235,1897,2058,7.305,4125,4009,4.33,2555,2500,53.64,29721,26301,5.465,3290,3510,2.035,1199,1517,13.865,8204,7413,7.15,2379,2724,8.555,5157,5219,20.2,5484,5964,2.17,1406,2095,4.695,2658,3215,2.86,978,1312,"arkansas"
"AZ",123.19,52612,56684,185.34,65038,71321,1.54,752,837,6.1,2099,2177,2.88,1200,1376,4.14,1535,1757,22.73,9647,10665,3.23,1082,1182,11.51,5327,6444,15.48,5714,6817,1.2,537,532,4.64,1476,1650,2.11,859,952,4.74,1521,1664,4.84,2009,2107,7.88,2872,2939,3.79,1346,1455,4.05,1440,1632,21.99,10519,10359,57.59,21280,23983,4.01,1923,2077,6.17,2343,2440,1.39,515,580,2.64,1007,1301,12.52,4556,4308,17.27,5409,4986,6.95,3022,3363,5.94,2797,2989,9.49,3266,3440,21.32,7108,7527,2.02,873,1048,2.97,1076,1416,3.17,1231,1427,6.61,2072,2388,3.26,1275,1555,154.265,117650,128005,3.82,2851,3014,3.51,2735,3133,22.73,9647,10665,3.23,1082,1182,13.495,11041,13261,2.92,2013,2182,3.425,2380,2616,6.36,4881,5046,3.92,2786,3087,39.79,31799,34342,5.09,4266,4517,2.015,1522,1881,14.895,9965,9294,6.95,3022,3363,7.715,6063,6429,21.32,7108,7527,2.495,1949,2464,4.89,3303,3815,3.26,1275,1555,"arizona"
"CA",141.47,449216,432541,213.72,480272,499950,1.69,6702,6783,6.45,15030,15222,3.48,10583,10338,5.05,13142,13040,26.29,84362,82050,3.1,9454,9638,13.88,46448,50949,17.85,42929,47549,1.48,4814,4030,4.81,11144,11495,1.99,6621,7169,4.65,11122,11741,5.45,16435,16557,8.56,21258,21171,3.11,11029,11389,4.33,11476,11332,29.39,85965,73265,65.1,151213,166304,4.63,15937,15532,7.07,17494,17175,1.77,5883,4452,3.54,9708,9531,11.65,32755,33154,14.94,32604,34738,8.32,26827,25548,7.52,24235,22792,9.69,24191,24267,36.12,51786,50668,2.27,8677,8590,3.94,10170,10349,3.16,12586,11646,6.79,18637,17296,3.71,12721,12041,177.595,929488,932491,4.07,21732,22005,4.265,23725,23378,26.29,84362,82050,3.1,9454,9638,15.865,89377,98498,3.145,15958,15525,3.32,17743,18910,7.005,37693,37728,3.72,22505,22721,47.245,237178,239569,5.85,33431,32707,2.655,15591,13983,13.295,65359,67892,8.32,26827,25548,8.605,48426,47059,36.12,51786,50668,3.105,18847,18939,4.975,31223,28942,3.71,12721,12041,"california"
"CO",115.8,44886,50661,170.05,48850,58828,1.42,675,769,5.04,1464,1754,3.09,1202,1253,4.68,1547,1604,22.19,8744,9749,2.43,999,1166,13.6,5294,5844,17.22,4528,5543,1.18,349,460,3.84,1118,1361,2.25,840,833,4.56,1213,1390,4.86,1864,1969,8.3,2394,2546,3.51,1234,1308,4.16,1127,1329,16.74,6683,8664,46.64,14204,19527,3.68,1753,1814,5.72,1814,2058,0.85,426,511,2.39,715,1122,8.91,3243,3853,12.24,3130,4099,7.62,2864,2994,6.65,2544,2620,9.1,2611,2841,23.99,6067,5823,2.52,809,982,2.47,912,1204,2.95,1210,1336,5.98,1829,2026,3.43,1141,1380,142.925,93736,109489,3.23,2139,2523,3.885,2749,2857,22.19,8744,9749,2.43,999,1166,15.41,9822,11387,2.51,1467,1821,3.405,2053,2223,6.58,4258,4515,3.835,2361,2637,31.69,20887,28191,4.7,3567,3872,1.62,1141,1633,10.575,6373,7952,7.62,2864,2994,7.875,5155,5461,23.99,6067,5823,2.495,1721,2186,4.465,3039,3362,3.43,1141,1380,"colorado"
"CT",140.95,72543,69264,212.56,77751,76906,2,1225,1116,7.1,2645,2369,3.2,1495,1596,5.25,1888,1933,28.39,14196,13042,2.34,1097,1508,16.23,8946,8304,22.16,8201,7355,1.46,793,655,5.94,2150,1772,2.14,1087,1150,5.18,1835,1805,5.12,2629,2616,8.21,3062,3176,3.26,1766,1846,4.92,1809,1742,24.13,11641,11616,63.81,23129,25714,4.68,2545,2487,6.65,2565,2584,1.56,811,721,5.02,1892,1486,10.43,5679,5354,15.52,5763,5331,8.62,4247,4087,7.54,4033,3698,10.87,3923,3762,22.84,7975,7855,3.22,1648,1403,5.51,1967,1616,4.07,2317,1902,8.95,3467,2688,4.03,2103,1952,176.755,150294,146170,4.55,3870,3485,4.225,3383,3529,28.39,14196,13042,2.34,1097,1508,19.195,17147,15659,3.7,2943,2427,3.66,2922,2955,6.665,5691,5792,4.09,3575,3588,43.97,34770,37330,5.665,5110,5071,3.29,2703,2207,12.975,11442,10685,8.62,4247,4087,9.205,7956,7460,22.84,7975,7855,4.365,3615,3019,6.51,5784,4590,4.03,2103,1952,"connecticut"
"DE",146.12,11942,10972,228.76,13552,12286,2.04,189,168,8.13,465,363,3.68,258,263,4.81,300,324,28.84,2321,2090,4.09,273,243,16.7,1450,1276,20.36,1276,1155,1.28,113,103,5.84,354,288,2.29,182,181,4.51,279,292,5.47,461,413,9.07,512,511,2.88,265,286,4.44,263,279,26.98,2177,1899,79.6,4739,4165,4.48,357,393,6.99,403,421,1.47,131,114,4.79,302,239,12.17,1022,837,17.02,1022,856,9,677,653,5.97,521,575,10.35,588,598,23.76,1274,1193,3.49,274,215,5.52,316,252,2.71,248,290,6.41,414,420,4.09,325,305,187.44,25494,23258,5.085,654,531,4.245,558,587,28.84,2321,2090,4.09,273,243,18.53,2726,2431,3.56,467,391,3.4,461,473,7.27,973,924,3.66,528,565,53.29,6916,6064,5.735,760,814,3.13,433,353,14.595,2044,1693,9,677,653,8.16,1109,1173,23.76,1274,1193,4.505,590,467,4.56,662,710,4.09,325,305,"delaware"
"FL",128.25,255611,271390,216.05,319913,340170,1.93,4204,4344,6.64,11143,11153,3.99,6215,6030,5.31,7539,7350,21.97,45077,49303,3.69,4641,5226,13.24,29853,32561,17.4,31538,33484,1.26,2717,2631,4.48,6895,7697,2.16,4057,4602,4.29,7057,7740,4.67,8792,9892,8.18,12052,13557,3.13,6229,7284,4.85,7287,7835,29.02,53950,48345,84.06,110915,112554,4.2,9102,10051,6.3,10363,11178,1.82,3349,2804,4.74,6424,6034,8.67,16245,21162,13.36,18745,23659,6.99,14923,15827,5.97,14033,14940,9.35,15706,16528,22.03,35098,39317,2.11,4575,5308,3.11,5686,6985,2.48,6525,7249,5.87,10476,11705,3.12,6580,7700,172.15,575524,611560,4.285,15347,15497,4.65,13754,13380,21.97,45077,49303,3.69,4641,5226,15.32,61391,66045,2.87,9612,10328,3.225,11114,12342,6.425,20844,23449,3.99,13516,15119,56.54,164865,160899,5.25,19465,21229,3.28,9773,8838,11.015,34990,44821,6.99,14923,15827,7.66,29739,31468,22.03,35098,39317,2.61,10261,12293,4.175,17001,18954,3.12,6580,7700,"florida"
"GA",118.42,74842,83186,219.51,93218,89535,1.55,1134,1246,5.53,2262,2587,3.43,1997,2039,5.01,2511,2473,21.29,13577,15982,3.32,1818,1875,11.53,7657,9544,15.28,6669,8356,0.98,704,770,3.84,1828,2105,2.06,1263,1380,4.11,1946,2152,5.29,3050,3149,8.75,3779,3791,2.95,1711,2151,4.96,2002,2025,19.87,13172,14474,87.08,36630,30369,3.99,2707,2983,6.15,2730,3131,1.53,1041,856,4.38,1890,1748,12.14,6937,6304,18.74,7352,6241,7,4479,4972,6.24,4009,4331,10.13,4376,4350,22.21,8693,8402,1.73,1158,1599,2.7,1226,1813,2.55,1633,2164,5.3,2234,3043,2.78,1732,2286,168.965,168060,172721,3.54,3396,3833,4.22,4508,4512,21.29,13577,15982,3.32,1818,1875,13.405,14326,17900,2.41,2532,2875,3.085,3209,3532,7.02,6829,6940,3.955,3713,4176,53.475,49802,44843,5.07,5437,6114,2.955,2931,2604,15.44,14289,12545,7,4479,4972,8.185,8385,8681,22.21,8693,8402,2.215,2384,3412,3.925,3867,5207,2.78,1732,2286,"georgia"
