,category,target,current,percent_complt,people,avg_contrb,shares,days
311,  Sports,3000,1820,39.3333333333,18,101.111111111,103,5
312,  Sports,3000,545,81.8333333333,13,41.9230769231,110,3
313,  Memorials,22800,3844,83.1403508772,116,33.1379310345,1300,4
314,  Sports,3000,1986,33.8,68,29.2058823529,178,7
315,  Memorials,30000,13452,55.16,164,82.0243902439,937,7
316,  Memorials,30000,25280,15.7333333333,587,43.066439523,5400,6
317,  Memorials,15000,15200,1.33333333333,111,136.936936937,539,2
318,  Memorials,30000,8396,72.0133333333,108,77.7407407407,684,2
319,  Memorials,8000,6500,18.75,124,52.4193548387,540,2
320,  Memorials,20000,19600,2.0,142,138.028169014,1200,4
321,  Memorials,50000,35700,28.6,637,56.043956044,3800,6
322,  Memorials,10000,7450,25.5,118,63.1355932203,633,3
323,  Memorials,20000,10845,45.775,115,94.3043478261,1100,2
324,  Emergencies,20000,9785,51.075,58,168.706896552,294,2
326,  Emergencies,12000,7740,35.5,58,133.448275862,161,2
327,  Emergencies,10000,3710,62.9,59,62.8813559322,180,3
328,  Emergencies,6500,4596,29.2923076923,61,75.3442622951,269,3
329,  Emergencies,10000,4373,56.27,61,71.6885245902,605,4
332,  Volunteer,500,150,70.0,5,30.0,45,4
333,  Volunteer,2500,815,67.4,19,42.8947368421,89,14
334,  Volunteer,3000,185,93.8333333333,5,37.0,78,1
335,  Sports,3000,1110,63.0,20,55.5,83,8
336,  Sports,5000,820,83.6,19,43.1578947368,356,12
337,  Education,1500,860,42.6666666667,21,40.9523809524,94,7
338,  Medical,10000,5000,50.0,98,51.0204081633,870,4
339,  Medical,60000,43694,27.1766666667,503,86.8667992048,3300,27
340,  Education,1600,340,78.75,14,24.2857142857,75,14
341,  Medical,10000,5390,46.1,89,60.5617977528,777,4
342,  Medical,7500,6510,13.2,88,73.9772727273,569,4
343,  Medical,6000,3326,44.5666666667,84,39.5952380952,439,3
345,  Sports,2500,260,89.6,6,43.3333333333,71,2
346,  Medical,10000,5135,48.65,87,59.0229885057,933,3
347,  Medical,50000,28228,43.544,417,67.6930455635,1900,7
348,  Medical,15000,7350,51.0,86,85.4651162791,457,2
349,  Medical,10000,2830,71.7,74,38.2432432432,831,2
350,  Medical,50000,18695,62.61,204,91.6421568627,887,10
351,  Volunteer,540,540,0.0,27,20.0,152,7
352,  Medical,20000,18285,8.575,102,179.264705882,316,4
353,  Medical,100000,38598,61.402,363,106.330578512,3500,9
354,  Medical,24000,1320,94.5,78,16.9230769231,506,2
355,  Medical,50000,2776,94.448,77,36.0519480519,303,4
356,  Medical,7500,6510,13.2,74,87.972972973,180,2
357,  Medical,10000,4845,51.55,78,62.1153846154,420,3
358,  Medical,10000,3770,62.3,74,50.9459459459,999,3
362,  Medical,10000,3470,65.3,79,43.9240506329,314,3
365,  Animals,7000,2400,65.7142857143,28,85.7142857143,120,4
366,  Volunteer,5000,80,98.4,5,16.0,34,3
367,  Volunteer,1600,620,61.25,14,44.2857142857,52,26
368,  Volunteer,2000,880,56.0,19,46.3157894737,139,35
369,  Animals,4000,1760,56.0,52,33.8461538462,131,36
370,  Animals,9000,6510,27.6666666667,131,49.6946564885,790,7
371,  Animals,1600,625,60.9375,20,31.25,56,2
372,  Animals,2900,2265,21.8965517241,57,39.7368421053,1000,38
373,  Animals,2000,1245,37.75,21,59.2857142857,290,2
374,  Animals,4000,2915,27.125,64,45.546875,200,5
375,  Animals,1500,735,51.0,21,35.0,30,3
376,  Education,5000,3715,25.7,37,100.405405405,176,25
377,  Education,6000,656,89.0666666667,12,54.6666666667,90,6
378,  Education,1000000,850,99.915,22,38.6363636364,97,8
379,  Education,250000,11000,95.6,11,1000.0,111,8
380,  Education,2000,2073,3.65,38,54.5526315789,214,6
381,  Education,2000,900,55.0,36,25.0,79,21
382,  Education,700,515,26.4285714286,11,46.8181818182,162,3
383,  Education,4300,2375,44.7674418605,11,215.909090909,116,4
386,  Charity,50000,2860,94.28,32,89.375,641,27
387,  Charity,10000,2507,74.93,37,67.7567567568,237,18
388,  Charity,20000,4340,78.3,47,92.3404255319,245,14
389,  Charity,50000,1005,97.99,21,47.8571428571,723,20
390,  Charity,30000,853,97.1566666667,15,56.8666666667,2100,14
391,  Charity,1500,1550,3.33333333333,31,50.0,174,38
392,  Sports,10000,650,93.5,6,108.333333333,46,3
393,  Sports,7500,325,95.6666666667,19,17.1052631579,66,7
394,  Sports,23000,19923,13.3782608696,19,1048.57894737,57,6
395,  Sports,9060,1410,84.4370860927,10,141.0,83,14
396,  Sports,3000,1790,40.3333333333,34,52.6470588235,93,19
397,  Sports,5940,2445,58.8383838384,43,56.8604651163,534,20
398,  Sports,4000,305,92.375,7,43.5714285714,70,26
399,  Memorials,10000,5765,42.35,69,83.5507246377,1100,2
400,  Memorials,5500,6730,22.3636363636,87,77.3563218391,979,4
401,  Memorials,10000,4160,58.4,70,59.4285714286,346,2
402,  Memorials,5000,8680,73.6,115,75.4782608696,925,4
403,  Memorials,250000,6155,97.538,71,86.6901408451,422,1
404,  Memorials,5000,9335,86.7,79,118.164556962,946,4
405,  Memorials,20000,14480,27.6,176,82.2727272727,950,5
406,  Memorials,10000,5615,43.85,74,75.8783783784,699,2
407,  Memorials,15000,5700,62.0,75,76.0,334,3
408,  Memorials,7000,4510,35.5714285714,74,60.9459459459,346,2
411,  Emergencies,50000,3822,92.356,54,70.7777777778,138,3
412,  Emergencies,20000,14235,28.825,53,268.58490566,621,2
413,  Emergencies,25000,3915,84.34,55,71.1818181818,496,3
414,  Emergencies,10000,3030,69.7,72,42.0833333333,321,5
415,  Emergencies,5000,3820,23.6,55,69.4545454545,119,3
416,  Emergencies,10000,7755,22.45,55,141.0,122,3
417,  Volunteer,1000,750,25.0,10,75.0,49,11
418,  Emergencies,6000,4575,23.75,83,55.1204819277,334,4
419,  Emergencies,500,2845,469.0,56,50.8035714286,184,3
420,  Emergencies,15000,8965,40.2333333333,56,160.089285714,155,2
421,  Education,3000,2820,6.0,51,55.2941176471,222,28
422,  Emergencies,10000,7420,25.8,58,127.931034483,809,4
423,  Volunteer,20000,5180,74.1,32,161.875,358,34
424,  Education,700,725,3.57142857143,12,60.4166666667,27,2
425,  Education,3500,3350,4.28571428571,17,197.058823529,49,6
426,  Education,40000,4670,88.325,31,150.64516129,131,6
427,  Education,3700,3429,7.32432432432,66,51.9545454545,144,12
428,  Education,3525,2810,20.2836879433,42,66.9047619048,262,16
429,  Education,600,395,34.1666666667,11,35.9090909091,43,3
430,  Education,19800,5635,71.5404040404,25,225.4,85,6
433,  Charity,500,160,68.0,9,17.7777777778,58,4
434,  Charity,10000,12041,20.41,92,130.880434783,692,19
435,  Charity,4000,570,85.75,10,57.0,45,5
438,  Charity,1000,913,8.7,38,24.0263157895,128,24
439,  Charity,20000,4230,78.85,23,183.913043478,107,13
440,  Charity,5000,4385,12.3,51,85.9803921569,232,29
441,  Charity,5000,1140,77.2,16,71.25,366,12
442,  Animals,6700,3875,42.1641791045,65,59.6153846154,448,15
443,  Animals,1200,875,27.0833333333,21,41.6666666667,65,3
444,  Animals,2409,690,71.3574097136,22,31.3636363636,107,1
445,  Animals,5000,850,83.0,22,38.6363636364,60,2
446,  Animals,9500,950,90.0,22,43.1818181818,182,4
447,  Animals,2300,805,65.0,23,35.0,143,1
449,  Animals,2500,1355,45.8,23,58.9130434783,159,2
450,  Animals,6000,995,83.4166666667,22,45.2272727273,175,3
451,  Memorials,10000,5310,46.9,77,68.961038961,393,3
452,  Animals,1000,635,36.5,24,26.4583333333,172,3
453,  Animals,400,770,92.5,24,32.0833333333,122,4
