,category,target,current,percent_complt,people,avg_contrb,shares,days
627,  Education,1700,251,85.2352941176,10,25.1,81,2
628,  Emergencies,2500,2850,14.0,49,58.1632653061,252,2
629,  Emergencies,10000,4970,50.3,49,101.428571429,305,3
630,  Emergencies,15000,7965,46.9,50,159.3,292,4
632,  Sports,700,220,68.5714285714,8,27.5,58,7
633,  Emergencies,5000,5175,3.5,85,60.8823529412,772,5
635,  Sports,10000,3850,61.5,30,128.333333333,65,11
636,  Sports,500,255,49.0,6,42.5,56,3
637,  Sports,1000,970,3.0,21,46.1904761905,207,28
639,  Emergencies,3000,2015,32.8333333333,52,38.75,115,2
640,  Sports,4500,2535,43.6666666667,14,181.071428571,189,17
641,  Emergencies,10000,4409,55.91,65,67.8307692308,426,4
642,  Sports,12000,425,96.4583333333,12,35.4166666667,214,16
643,  Emergencies,15000,3835,74.4333333333,53,72.358490566,367,1
644,  Emergencies,250000,8853,96.4588,140,63.2357142857,893,4
645,  Emergencies,10000,5005,49.95,53,94.4339622642,144,3
646,  Memorials,2934,3029,3.23790047716,64,47.328125,346,3
647,  Memorials,5000,2640,47.2,65,40.6153846154,362,2
648,  Memorials,3000,4685,56.1666666667,64,73.203125,321,3
649,  Memorials,5000,3330,33.4,64,52.03125,196,1
650,  Memorials,20000,5990,70.05,65,92.1538461538,323,1
651,  Memorials,10000,6346,36.54,66,96.1515151515,287,3
652,  Emergencies,30000,15170,49.4333333333,85,178.470588235,75,5
653,  Memorials,3500,3290,6.0,73,45.0684931507,300,4
654,  Memorials,25000,4070,83.72,67,60.7462686567,196,3
655,  Memorials,10000,1730,82.7,68,25.4411764706,322,2
656,  Animals,10000,775,92.25,15,51.6666666667,77,3
659,  Animals,6000,3107,48.2166666667,35,88.7714285714,156,9
660,  Sports,2200,585,73.4090909091,16,36.5625,124,12
662,  Sports,1650,320,80.6060606061,12,26.6666666667,147,7
663,  Medical,5000,4550,9.0,59,77.1186440678,665,2
664,  Emergencies,20000,7525,62.375,86,87.5,477,4
665,  Emergencies,10000,2602,73.98,43,60.511627907,336,3
666,  Memorials,5000,3975,20.5,49,81.1224489796,308,3
668,  Memorials,15000,6214,58.5733333333,93,66.8172043011,528,5
669,  Education,430,430,0.0,17,25.2941176471,29,12
670,  Emergencies,100000,34169,65.831,84,406.773809524,119,4
671,  Education,1000,350,65.0,8,43.75,91,2
672,  Sports,1200,120,90.0,4,30.0,35,3
674,  Education,4000,720,82.0,24,30.0,257,6
676,  Charity,50000,9257,81.486,53,174.660377358,527,28
677,  Charity,225000,795,99.6466666667,8,99.375,26,11
678,  Memorials,10000,5610,43.9,73,76.8493150685,211,4
679,  Charity,39500,4541,88.5037974684,17,267.117647059,63,6
681,  Charity,3000,375,87.5,6,62.5,26,3
682,  Charity,500,70,86.0,6,11.6666666667,47,2
683,  Charity,5000,455,90.9,7,65.0,163,6
684,  Medical,1200,2365,97.0833333333,58,40.775862069,107,2
685,  Medical,100000,3450,96.55,57,60.5263157895,448,2
686,  Charity,8000,240,97.0,6,40.0,96,2
687,  Medical,300000,6245,97.9183333333,273,22.8754578755,1400,9
688,  Medical,25000,5200,79.2,57,91.2280701754,432,3
690,  Medical,10000,3640,63.6,57,63.8596491228,457,5
691,  Medical,5000,2152,56.96,65,33.1076923077,502,4
692,  Medical,50000,9077,81.846,58,156.5,291,28
693,  Medical,2000,4780,139.0,78,61.2820512821,371,5
694,  Sports,2300,800,65.2173913043,5,160.0,31,3
695,  Sports,1500,175,88.3333333333,4,43.75,112,5
697,  Sports,5000,550,89.0,12,45.8333333333,274,19
698,  Sports,10000,10240,2.4,93,110.107526882,987,18
699,  Medical,15000,5435,63.7666666667,59,92.1186440678,232,2
700,  Medical,50000,15830,68.34,137,115.547445255,604,6
701,  Sports,5000,2115,57.7,19,111.315789474,237,20
702,  Sports,50000,833,98.334,12,69.4166666667,240,8
703,  Animals,7700,7605,1.23376623377,94,80.9042553191,610,21
704,  Animals,2000,970,51.5,23,42.1739130435,63,8
705,  Sports,7000,915,86.9285714286,11,83.1818181818,311,6
706,  Animals,1600,595,62.8125,12,49.5833333333,100,2
707,  Animals,250,145,42.0,14,10.3571428571,357,2
708,  Animals,6000,1790,70.1666666667,45,39.7777777778,256,5
709,  Animals,4000,500,87.5,13,38.4615384615,75,6
712,  Education,1200,900,25.0,16,56.25,104,17
714,  Education,5000,1105,77.9,18,61.3888888889,113,16
716,  Education,450,500,11.1111111111,12,41.6666666667,219,18
717,  Education,7000,4085,41.6428571429,52,78.5576923077,918,28
718,  Animals,220000,1820,99.1727272727,13,140.0,219,3
720,  Memorials,10000,4550,54.5,50,91.0,177,1
721,  Memorials,5000,4700,6.0,50,94.0,407,2
722,  Memorials,5000,1870,62.6,51,36.6666666667,788,2
723,  Memorials,5000,3555,28.9,51,69.7058823529,413,3
724,  Emergencies,10000,2432,75.68,41,59.3170731707,181,3
725,  Memorials,20000,14785,26.075,191,77.4083769634,1100,6
726,  Emergencies,10000,4965,50.35,43,115.465116279,145,2
727,  Memorials,10000,3405,65.95,50,68.1,326,3
728,  Emergencies,7500,4025,46.3333333333,41,98.1707317073,174,3
730,  Emergencies,5000,4775,4.5,42,113.69047619,322,3
731,  Emergencies,5000,3350,33.0,43,77.9069767442,153,2
732,  Emergencies,10000,1825,81.75,42,43.4523809524,709,4
733,  Emergencies,1000000,5500,99.45,61,90.1639344262,921,5
734,  Emergencies,20000,2345,88.275,44,53.2954545455,454,3
735,  Emergencies,50000,9950,80.1,44,226.136363636,156,3
736,  Memorials,7000,2385,65.9285714286,50,47.7,326,3
737,  Emergencies,15000,18965,26.4333333333,98,193.520408163,542,5
738,  Emergencies,20000,13930,30.35,154,90.4545454545,688,5
739,  Emergencies,4000,2905,27.375,53,54.8113207547,396,4
740,  Emergencies,1300,1530,17.6923076923,44,34.7727272727,107,3
741,  Emergencies,7000,3000,57.1428571429,51,58.8235294118,80,4
742,  Volunteer,2000,385,80.75,16,24.0625,1300,16
743,  Volunteer,1200,1100,8.33333333333,15,73.3333333333,144,7
744,  Volunteer,5000,755,84.9,20,37.75,111,10
745,  Emergencies,5000,3480,30.4,52,66.9230769231,345,4
747,  Volunteer,3000,1727,42.4333333333,33,52.3333333333,718,27
748,  Volunteer,2500,1045,58.2,4,261.25,40,2
751,  Animals,2000,775,61.25,13,59.6153846154,56,3
752,  Animals,10000,900,91.0,16,56.25,107,13
753,  Volunteer,2000,1430,28.5,42,34.0476190476,56,37
754,  Animals,5000,648,87.04,13,49.8461538462,38,4
755,  Animals,10000,270,97.3,13,20.7692307692,150,2
756,  Animals,1500,1005,33.0,14,71.7857142857,32,3
759,  Animals,15000,4470,70.2,56,79.8214285714,198,6
760,  Animals,6000,1450,75.8333333333,14,103.571428571,70,3
762,  Sports,750,70,90.6666666667,4,17.5,51,3
763,  Sports,4000,2390,40.25,24,99.5833333333,121,23
764,  Sports,4000,195,95.125,4,48.75,44,3
765,  Sports,3500,340,90.2857142857,8,42.5,246,10
768,  Sports,2500,780,68.8,8,97.5,71,8
769,  Sports,4683,740,84.1981635704,6,123.333333333,82,35
770,  Sports,19000,1195,93.7105263158,13,91.9230769231,119,17
771,  Education,3000,1185,60.5,23,51.5217391304,76,7
772,  Education,1850,580,68.6486486486,8,72.5,74,3
774,  Education,6750,380,94.3703703704,9,42.2222222222,36,15
777,  Education,4400,726,83.5,11,66.0,67,6
778,  Education,2500,2530,1.2,56,45.1785714286,135,33
779,  Sports,350,90,74.2857142857,5,18.0,39,5
780,  Medical,15000,14445,3.7,127,113.74015748,1000,5
781,  Medical,75000,8235,89.02,127,64.842519685,619,4
783,  Medical,7643,4045,47.0757555934,60,67.4166666667,183,3
784,  Medical,5000,9041,80.82,243,37.2057613169,672,25
785,  Medical,10000,6000,40.0,75,80.0,344,4
786,  Medical,15000,10810,27.9333333333,65,166.307692308,326,5
787,  Medical,10000,5405,45.95,60,90.0833333333,152,3
788,  Medical,55000,6835,87.5727272727,61,112.049180328,553,1
789,  Medical,30000,9540,68.2,61,156.393442623,95,1
791,  Charity,4000,2200,45.0,36,61.1111111111,131,8
792,  Charity,25000,1630,93.48,25,65.2,473,21
793,  Charity,2000,1120,44.0,17,65.8823529412,69,10
795,  Charity,2500,2055,17.8,34,60.4411764706,96,32
796,  Charity,20000,5505,72.475,48,114.6875,183,38
797,  Charity,2309,2409,4.33087916847,112,21.5089285714,536,36
798,  Charity,1000,65,93.5,7,9.28571428571,53,16
799,  Sports,5000,3470,30.6,60,57.8333333333,593,31
803,  Sports,8000,10275,28.4375,49,209.693877551,70,32
804,  Memorials,10000,4580,54.2,55,83.2727272727,546,4
805,  Memorials,8000,2420,69.75,52,46.5384615385,620,4
806,  Memorials,15000,3398,77.3466666667,68,49.9705882353,1000,4
807,  Memorials,3000,3170,5.66666666667,56,56.6071428571,736,4
808,  Memorials,10000,3680,63.2,52,70.7692307692,1400,3
809,  Memorials,7000,3145,55.0714285714,53,59.3396226415,753,3
810,  Memorials,6200,3810,38.5483870968,53,71.8867924528,172,3
811,  Memorials,6000,2080,65.3333333333,53,39.2452830189,1100,3
812,  Memorials,10000,3025,69.75,53,57.0754716981,1500,3
813,  Charity,5000,1050,79.0,7,150.0,57,3
814,  Memorials,10000,10530,5.3,171,61.5789473684,896,6
815,  Charity,2000,3538,76.9,143,24.7412587413,133,29
816,  Volunteer,800,945,18.125,24,39.375,111,15
818,  Volunteer,500,120,76.0,4,30.0,35,4
819,  Volunteer,7000,4780,31.7142857143,98,48.7755102041,478,15
820,  Animals,4000,540,86.5,14,38.5714285714,84,4
821,  Animals,5000,225,95.5,15,15.0,53,1
822,  Charity,20000,360,98.2,7,51.4285714286,65,1
823,  Charity,15000,6596,56.0266666667,78,84.5641025641,415,31
824,  Animals,7000,882,87.4,35,25.2,53,11
825,  Animals,2750,2685,2.36363636364,100,26.85,856,30
826,  Animals,900,344,61.7777777778,15,22.9333333333,42,2
827,  Charity,2000,235,88.25,7,33.5714285714,64,1
828,  Animals,1800,565,68.6111111111,15,37.6666666667,87,3
830,  Animals,3000,675,77.5,16,42.1875,61,1
