I/O,Date,Source (1),Source (2),Source Region,Vessel Name,Vessel Size (CBM),Destination (1),Destination (2),Destination (3),Destination (4),Destination (5),Primary Destination Country,Primary Destination Region,C2,C3,C4,iC4,Participant (1),Participant (2),Participant (3),Participant (4),Participant (5),Participant (6),Participant (7),Special Notes
Out of port,06/04/11,United States,"Houston, TX",North America,Maersk Value,"82,000",Dominican Republic,,,,,Dominican Republic,Caribbean,0,"44,364",0,0,Enterprise,Geogas,,,,,,
,06/04/11,Venezuela,Jose,South America,Navigator Gemini,"20,500",Coastal Venezuela,,,,,Venezuela,South America,0,"6,763","5,204",0,Pdvsa,,,,,,,
,06/04/11,Norway,Kaarstoe,North Sea,Maersk Houston,"20,700",Tarragona,,,,,Spain,Mediterranean,0,0,"10,000",0,Petredec,,,,,,,
,06/04/11,Saudi Arabia,Ras Tanura,Middle East,Dynamic Vision,"82,200",Japan,,,,,Japan,Far East,0,"31,356","10,575",0,Statoil,,,,,,,
,06/04/11,United Arab Emirates,Ruwais,Middle East,Benny Princess,"75,198",Taiwan,,,,,Taiwan,Far East,0,"32,000","12,000",0,,,,,,,,
,06/04/11,Malaysia,Tanjung Sulong,Southeast Asia,Annapurna,"22,950",India,,,,,India,India,0,0,"13,000",0,,,,,,,,
,06/05/11,Norway,Kaarstoe,North Sea,BW Hedda,"35,058",Rafnes,,,,,Norway,Northwest Europe,0,"20,000",0,0,Statoil,,,,,,,
,06/05/11,Norway,Mongstad,North Sea,BW Odin,"38,000",Tornio,,,,,Finland,Northwest Europe,0,"20,000",0,0,Statoil,,,,,,,
,06/05/11,United Arab Emirates,Ruwais,Middle East,Maharshi Bhavatreya,"35,639",India,,,,,India,India,0,0,"20,000",0,HPCL,,,,,,,
,06/05/11,United Arab Emirates,Das Island,Middle East,TBN,0,Undetermined,,,,,,,0,"22,000","22,000",0,Astomos,Geogas,,,,,,
,06/05/11,Qatar,Ras Laffan,Middle East,Hellas Nautilus,"82,267",Vietnam,China,,,,Vietnam,Southeast Asia,0,"22,500","22,500",0,Tasweeq,Geogas,,,,,,
,06/06/11,Venezuela,Jose,South America,Dancing Brave,"22,000",Coastal Venezuela,,,,,Venezuela,South America,0,"11,270",0,0,Pdvsa,,,,,,,
,06/06/11,United Arab Emirates,Ruwais,Middle East,Gas Friend,"78,000",Trans-AG,,,,,,Middle East,0,"20,000",0,0,Petredec,,,,,,,
,06/06/11,Algeria,Bethioua,Mediterranean,Hellas Glory,"82,000",Brazil,,,,,Brazil,South America,0,"45,500",0,0,SPC,Petrobras,,,,,,
,06/06/11,Trinidad,Point Lisas,Caribbean,Windsor,"6,505",Caribbean,,,,,,Caribbean,0,0,"4,000",0,,,,,,,,
,06/06/11,Kuwait,Mina Al Ahmadi,Middle East,British Confidence,"83,000",China,,,,,China,Far East,0,"33,000","11,000",0,KPC,,,,,,,
,06/06/11,Saudi Arabia,Ras Tanura,Middle East,Maharshi Mahatreya,"35,639",India,,,,,India,India,0,"5,216","15,559",0,IOC,,,,,,,
,06/06/11,United Arab Emirates,Ruwais,Middle East,Gas Leo,"78,484",South Korea,,,,,South Korea,Far East,0,"22,000","22,000",0,,,,,,,,
,06/06/11,Australia,,Australia,Iris Glory,"83,000",Japan,South Korea,,,,Japan,Far East,0,"22,000","22,000",0,,,,,,,,
Out of port,06/07/11,United States,"Galena Park, TX",North America,Navigator Venus,"22,085",Honduras,Guatemala,,,,Honduras,Central America,0,"10,064",0,0,Targa Resources,Grupo Tomza,,,,,,
,06/07/11,Australia,Bayu Undan,Australia,Linden Pride,"78,000",Japan,,,,,Japan,Far East,0,"22,000","22,000",0,,,,,,,,
,06/07/11,United Arab Emirates,Ruwais,Middle East,Progress,"82,000",Japan,China,,,,Japan,Far East,0,"22,000","22,000",0,Sinopec,,,,,,,
,06/07/11,Qatar,Ras Laffan,Middle East,Lucina Providence,"78,000",Japan,China,,,,Japan,Far East,0,"22,202","22,232",0,Tasweeq,Vitol,,,,,,
Out of port,06/07/11,United States,"Houston, TX",North America,Ocean Prism,"8,046",Mexico,,,,,Mexico,North America,0,0,0,"3,223",Enterprise,PMI,,,,,,
,06/08/11,Saudi Arabia,Ras Tanura,Middle East,Maple 2,"75,353",Japan,,,,,Japan,Far East,0,"19,968",0,0,Iwatani,Astomos,Zennoh,,,,,
,06/08/11,United Kingdom,Braefoot Bay,North Sea,BW Hedda,"35,058",Antwerp,,,,,Belgium,Northwest Europe,0,"20,000",0,0,Statoil,,,,,,,
,06/08/11,Trinidad,Point Lisas,Caribbean,Laperouse,"22,606",Caribbean,,,,,,Caribbean,0,"20,000",0,0,Geogas,,,,,,,
,06/08/11,Trinidad,Point Lisas,Caribbean,Santa Clara B,"7,285",Caribbean,,,,,,Caribbean,0,0,"3,500",0,,,,,,,,
,06/08/11,Nigeria,Oso,West Africa,Rene,"35,000",West Africa,,,,,,West Africa,0,0,"7,000",0,NNPC,Nipco,Geogas,,,,,
,06/08/11,Venezuela,Jose,South America,Navigator Gemini,"20,500",Coastal Venezuela,,,,,Venezuela,South America,0,"9,662","7,435",0,Pdvsa,,,,,,,
,06/08/11,Venezuela,Jose,South America,Paramacay,"14,160",Coastal Venezuela,,,,,Venezuela,South America,0,0,"8,000",0,Pdvsa,,,,,,,
,06/08/11,Saudi Arabia,Yanbu,Middle East,Gaz Fountain,"82,513",Mediterranean,,,,,,Mediterranean,0,"33,000","11,000",0,Naftomar,,,,,,,
,06/08/11,United Arab Emirates,Ruwais,Middle East,G. Forever,"82,000",South Korea,Japan,,,,South Korea,Far East,0,"22,000","22,000",0,,,,,,,,
,06/08/11,Qatar,Ras Laffan,Middle East,Ocean Gas,"80,000",Egypt,,,,,Egypt,Mediterranean,0,"22,500","22,500",0,Tasweeq,AMPTC,,,,,,
,06/08/11,Algeria,Bethioua,Mediterranean,Djanet,"84,000",Morocco,,,,,Morocco,Mediterranean,0,0,"40,000",0,SPC,,,,,,,
,06/09/11,United Kingdom,Fawley,North Sea,Grendon,"5,000",Brest,,,,,France,Northwest Europe,0,"1,600",0,0,Shell,,,,,,,
,06/09/11,Algeria,Bethioua,Mediterranean,Rhourd El Adra,"22,500",Naples,,,,,Italy,Mediterranean,0,"11,500",0,0,SPC,,,,,,,
Out of port,06/09/11,United States,"Houston, TX",North America,BW Prince,"82,000",Mexico,,,,,Mexico,North America,0,"43,156",0,0,Enterprise,Statoil,Vitol,,,,,
,06/09/11,Algeria,Bethioua,Mediterranean,Kent,"34,422",Tunisia,,,,,Tunisia,Mediterranean,0,"2,000","1,600",0,Total,,,,,,,
,06/09/11,Venezuela,Jose,South America,Immanuel Schulte,"20,600",Coastal Venezuela,,,,,Venezuela,South America,0,0,"2,323",0,Pdvsa,,,,,,,
,06/09/11,Algeria,Bethioua,Mediterranean,Brides,"7,255",Coastal Algeria,,,,,Algeria,Mediterranean,0,0,"3,500",0,SPC,,,,,,,
,06/09/11,Algeria,Bethioua,Mediterranean,Jemila,"8,040",Coastal Algeria,,,,,Algeria,Mediterranean,0,0,"4,200",0,SPC,,,,,,,
,06/09/11,Venezuela,Jose,South America,Immanuel Kant,"15,360",Coastal Venezuela,,,,,Venezuela,South America,0,0,"6,041",0,Pdvsa,,,,,,,
,06/10/11,Venezuela,Jose,South America,Yavire,"14,160",Coastal Venezuela,,,,,Venezuela,South America,0,"11,272",0,0,Pdvsa,,,,,,,
,06/10/11,Algeria,Bethioua,Mediterranean,Alrar,"59,364",Antwerp,Terneuzen,,,,Belgium,Northwest Europe,0,"33,300",0,0,SPC,SHV,Glencore,,,,,
,06/10/11,Nigeria,Escravos,West Africa,Clipper Moon,"59,343",Rafnes,,,,,Norway,Northwest Europe,0,"34,000",0,0,Vitol,Ineos,,,,,,
,06/10/11,Qatar,Ras Laffan,Middle East,Gas Diana,"78,888",China,Japan,,,,China,Far East,0,"33,700","11,300",0,Tasweeq,Mabanaft,,,,,,
,06/10/11,United Arab Emirates,Ruwais,Middle East,Maharshi Krishnatreya,"35,639",India,,,,,India,India,0,"5,000","15,000",0,IOC,,,,,,,
