NAME,COMPOUND,POSITIVE,NEUTRAL,NEGATIVE
Tasty Hand Pulled Noodles II,0.9999,0.191,0.767,0.042
Bistecca Fiorentina,1,0.226,0.739,0.035
Trattoria Trecolori,1,0.214,0.748,0.038
Danji,0.9999,0.184,0.763,0.053
Dim Sum Palace,0.9999,0.203,0.741,0.056
Gyu-Kaku Japanese BBQ,1,0.237,0.732,0.031
Amarone Restaurant,0.9998,0.186,0.787,0.027
Feinstein’s/54 Below,1,0.249,0.725,0.027
Joe Allen,0.9999,0.191,0.762,0.047
Toasties,0.9998,0.197,0.773,0.03
Mentoku,0.9999,0.164,0.801,0.035
District M,0.9997,0.149,0.801,0.05
Bea,1,0.235,0.737,0.028
The New York Beer Company,0.9999,0.195,0.739,0.066
Le Bernardin,1,0.202,0.765,0.032
Kiss My Slice,0.9999,0.225,0.744,0.031
Tabata,0.9999,0.191,0.76,0.049
American Kitchen and Bar,0.9999,0.174,0.75,0.076
The Catalina,1,0.226,0.754,0.02
B Side Pizza & Wine Bar,1,0.256,0.692,0.052
Falafel,0.9997,0.164,0.769,0.067
Double Eagle Steak House,1,0.211,0.754,0.035
At nine Restaurant & Bar,0.9999,0.202,0.746,0.052
Thalia,0.9999,0.195,0.757,0.049
Caf Zaiya,0.9998,0.169,0.785,0.045
Takoyaki Bar,0.9998,0.192,0.765,0.043
Victor Cafe,1,0.208,0.759,0.033
Noodles and Grill,0.9999,0.151,0.819,0.031
109.Island Burgers & Shakes,1,0.212,0.754,0.034
Ootoya Times Square,1,0.208,0.761,0.03
Blue Dog Kitchen Bar,0.9999,0.178,0.776,0.046
Etcetera Etcetera,1,0.202,0.764,0.033
Wondee Siam,1,0.197,0.771,0.032
Room Service,0.9999,0.179,0.763,0.057
OBAO,1,0.194,0.774,0.032
Briciola,1,0.203,0.759,0.038
Forno Hells Kitchen,0.9999,0.193,0.764,0.043
Azuki,0.9994,0.2,0.77,0.029
Dos Caminos,0.9999,0.211,0.738,0.052
Glass House Tavern,0.9999,0.199,0.733,0.068
Haven Rooftop,0.9999,0.202,0.75,0.048
Tartina,1,0.25,0.724,0.026
La Pulperia,0.9999,0.266,0.696,0.038
Pret A Manger,0.9998,0.296,0.685,0.019
Sticky Finger Joint,0.9999,0.193,0.758,0.049
Tacuba Hells Kitchen Cantina Mexicana,1,0.222,0.748,0.03
La Masseria,1,0.269,0.695,0.036
Brickyard Gastropub,1,0.198,0.767,0.035
Turco Mediterranean Grill,1,0.195,0.758,0.047
Fresh From Hell,0.9999,0.244,0.704,0.052
Steak Freak,0.9999,0.215,0.757,0.027
Arriba Arriba,0.9999,0.214,0.734,0.052
41.Crisp,1,0.204,0.751,0.045
Sake Bar Hagi,0.9999,0.167,0.775,0.058
Alfies,1,0.239,0.699,0.061
170.Iroha Japanese Restaurant,0.9998,0.179,0.77,0.05
Mother Burger,0.9999,0.174,0.76,0.066
Lukes Lobster,0.9998,0.174,0.797,0.029
Speakeasy Dollhouse - Ziegfelds Midnight Frolic,1,0.204,0.738,0.058
121.Sake Bar Hagi 46,1,0.246,0.733,0.021
Uptown Swirl,0.9999,0.21,0.761,0.029
The Sky Deck,0.9996,0.186,0.781,0.033
Haru,1,0.24,0.729,0.031
Azalea Ristorante,0.9999,0.211,0.745,0.044
Casellula,1,0.231,0.734,0.035
K Rico,1,0.226,0.748,0.026
182.Pret A Manger,0.9997,0.253,0.711,0.036
Shake Shack,0.9999,0.18,0.761,0.059
Hibernia,1,0.248,0.718,0.034
El Centro,1,0.238,0.728,0.034
Annabel,1,0.273,0.707,0.02
Poulette Rotisserie,0.9999,0.195,0.747,0.058
26.Melt Shop,1,0.217,0.747,0.035
Gallaghers Steakhouse,1,0.199,0.774,0.027
Southern Hospitality,0.9999,0.218,0.719,0.063
Chirping Chicken,0.9999,0.256,0.705,0.038
Chimichurri Grill,0.9999,0.192,0.788,0.02
Birdland Jazz Club NYC,0.9999,0.208,0.743,0.049
Becco,1,0.207,0.758,0.035
Sushi Ginza Onodera,0.9999,0.202,0.776,0.023
Bubba Gump Shrimp,1,0.218,0.736,0.046
Chelsea Grill of Hells Kitchen,0.9999,0.178,0.768,0.054
Totto Ramen,1,0.158,0.796,0.046
Medi Winebar,0.9999,0.2,0.734,0.066
China Xiang,0.9997,0.151,0.783,0.066
Napkin Burger,1,0.224,0.732,0.044
Kobeyaki,1,0.191,0.764,0.045
206.HB Burger,0.9999,0.21,0.755,0.035
Medi Winebar,0.9999,0.2,0.734,0.066
Brooklyn Diner Times Square,0.9997,0.141,0.791,0.068
2.Carmine’s,1,0.191,0.754,0.056
Galbi Q,0.9998,0.274,0.695,0.03
The Perfect Pint,0.9999,0.209,0.752,0.039
Braai,0.9999,0.162,0.783,0.055
Casa Agave NYC,1,0.241,0.723,0.036
Jaspers Taphouse + Kitchen,0.9999,0.245,0.724,0.031
Kuro-Obi,0.9999,0.155,0.822,0.023
Maoz Falafel & Grill,0.9999,0.208,0.727,0.065
Juniors Restaurant,0.9998,0.173,0.788,0.039
Pietrasanta,0.9999,0.213,0.747,0.04
Le Bernardin,1,0.202,0.765,0.032
Aria Hells Kitchen,0.9999,0.18,0.766,0.054
Ajisai Japanese Restaurant,0.9999,0.193,0.762,0.045
Vynl,0.9999,0.191,0.754,0.055
Dutch Freds,1,0.255,0.716,0.028
The Long Room,0.9998,0.16,0.78,0.06
Goggan,1,0.219,0.747,0.034
Sangria 46,0.9999,0.189,0.764,0.048
Carve,0.9998,0.171,0.789,0.039
Osteria Al Doge,1,0.253,0.71,0.037
Sushi Seki Hells Kitchen,1,0.203,0.761,0.037
Hells Kitchen,0.9999,0.227,0.74,0.033
Merilu Pizza Al Metro,0.9999,0.182,0.751,0.066
Balkanika,0.9998,0.152,0.792,0.056
Georgios Country Grill,0.9999,0.206,0.742,0.052
Cielo At the Mayfair,0.9999,0.21,0.747,0.043
Patzeria Family & Friends,1,0.236,0.73,0.035
The Jones,1,0.226,0.748,0.026
Riposo 46,0.9999,0.253,0.703,0.043
Mooncake Foods,0.9999,0.209,0.755,0.037
Ippudo Westside,1,0.205,0.772,0.023
Cafe 22,0.9996,0.191,0.755,0.054
Stickys Finger Joint,0.9999,0.193,0.758,0.049
Kung Fu Little Steamed Buns Ramen,0.9999,0.191,0.756,0.052
City Kitchen,0.9999,0.15,0.803,0.047
Adels Famous Halal Food,0.9997,0.144,0.804,0.052
196.Virgil’s Real Barbecue,1,0.213,0.745,0.042
Bar Americain,0.9999,0.241,0.719,0.04
Hello Deli,0.9999,0.213,0.752,0.035
Urban Deli,0.9998,0.273,0.695,0.032
Natsumi,1,0.247,0.735,0.018
Ottos Tacos,0.9999,0.184,0.776,0.04
CoBa 53,0.9999,0.154,0.799,0.047
V{IV} Bar & Restaurant,0.9999,0.204,0.753,0.043
208.Maria Pia,0.9999,0.245,0.725,0.03
Aureole,1,0.198,0.763,0.039
Orso,0.9999,0.191,0.761,0.048
Piccolo Cafe,0.9998,0.18,0.785,0.035
Victors Cafe,1,0.208,0.759,0.033
132.Ocean Prime,1,0.205,0.769,0.026
Esanation,0.9999,0.176,0.772,0.052
Teds Montana Grill,0.9999,0.185,0.759,0.056
172.Brazil Brazil,0.9999,0.216,0.754,0.03
rapido,0.9996,0.191,0.745,0.064
Manting,0.9998,0.131,0.808,0.061
Dafni Greek Taverna,0.9999,0.249,0.721,0.029
115.Shimizu,0.9999,0.24,0.74,0.019
B Squared,0.9999,0.238,0.719,0.043
118.Paul’s On Times Square,0.9999,0.228,0.75,0.022
Leon Bakery Mexican Restaurant,0.9999,0.185,0.785,0.03
Hourglass Tavern,1,0.207,0.761,0.032
Rudys Bar & Grill,0.9999,0.226,0.741,0.032
Mickey Spillanes,0.9999,0.194,0.755,0.052
43.Kellogg’s NYC,1,0.2,0.78,0.021
The Jolly Monk,1,0.198,0.743,0.059
The Hummus & Pita Co,0.9998,0.176,0.751,0.072
AnNam,0.9999,0.213,0.761,0.027
Westway Diner,1,0.202,0.76,0.038
Taqueria Tehuitzingo,0.9998,0.159,0.789,0.052
Dont Tell Mama,0.9999,0.219,0.728,0.053
Shortys,0.9999,0.175,0.771,0.055
Sushi Seki Hells Kitchen,1,0.203,0.761,0.037
Kobeyaki,1,0.191,0.764,0.045
Bareburger,0.9999,0.19,0.771,0.04
Pongsri Thai Restaurant,0.9999,0.228,0.747,0.025
Don Antonio By Starita,0.9999,0.187,0.772,0.041
St. Andrews,0.9999,0.177,0.769,0.054
Torishin,1,0.171,0.784,0.045
Wafels & Dinges,0.9999,0.215,0.76,0.025
94.Capizzi,1,0.247,0.725,0.028
E&E Grill House,0.9999,0.198,0.775,0.027
150.Pietrasanta,0.9999,0.213,0.747,0.04
Heartland Brewery Chophouse,0.9999,0.199,0.766,0.036
Ageha Sushi,0.9999,0.206,0.745,0.048
Amorino,0.9999,0.217,0.755,0.028
Russian Vodka Room,1,0.26,0.715,0.024
The Cannery,1,0.216,0.739,0.045
OLunneys,0.9999,0.227,0.745,0.028
Qi,0.9999,0.176,0.768,0.056
Num Pang Sandwich Shop,0.9999,0.163,0.79,0.047
Blockheads,0.9999,0.224,0.741,0.035
Times Square Diner,0.9998,0.18,0.759,0.061
Pure Thai Cookhouse,1,0.201,0.758,0.041
198.Smokey Burger Organic,0.9998,0.188,0.772,0.04
Green Symphony,1,0.223,0.752,0.025
Tender,0.9999,0.192,0.761,0.047
Johns of Times Square,0.9999,0.178,0.79,0.032
Blossom Du Jour,1,0.228,0.731,0.041
119.Ellen’s Stardust Diner,0.9999,0.22,0.73,0.05
Schnippers Quality Kitchen,0.9999,0.163,0.783,0.054
Margon,0.9999,0.204,0.771,0.025
West End Bar & Grill,0.9999,0.206,0.756,0.038
Nippori,0.9999,0.175,0.792,0.034
169.The Counter,1,0.195,0.772,0.033
Toloache,1,0.191,0.77,0.039
Luckys Famous Burgers,0.9999,0.185,0.753,0.062
Tonys Di Napoli,1,0.209,0.764,0.028
Mastros Steakhouse,1,0.24,0.73,0.029
113.Churrascaria Plataforma,1,0.214,0.761,0.024
Melt Shop,1,0.218,0.749,0.034
Havana Central,0.9999,0.244,0.697,0.059
Hakkasan,1,0.213,0.748,0.039
Istanbul Kebab House,0.9999,0.2,0.756,0.044
14.The Halal Guys,1,0.212,0.749,0.04
Meson Sevilla,0.9999,0.202,0.762,0.036
Green Apple Gourmet Deli,0.9999,0.193,0.766,0.04
Sammys House of BBQ,0.9998,0.227,0.734,0.039
Nizza,0.9999,0.228,0.729,0.043
Hummus Kitchen,0.9999,0.203,0.747,0.05
153.Gleason’s Tavern,0.9981,0.195,0.763,0.042
