"","season","stage","country","league","home_team_long","away_team_long","result","entropy"
"1","2008/2009",1,"England","England Premier League","Manchester United","Newcastle United","D",1.11543376339084
"2","2008/2009",1,"England","England Premier League","Sunderland","Liverpool","A",1.36731200816895
"3","2008/2009",1,"England","England Premier League","West Ham","Wigan","H",1.51113745794057
"4","2008/2009",1,"England","England Premier League","Aston Villa","Manchester City","H",1.52048738794638
"5","2008/2009",1,"England","England Premier League","Everton","Blackburn","A",1.52934160159429
"6","2008/2009",1,"England","England Premier League","Middlesbrough","Tottenham","H",1.56000966187798
"7","2008/2009",1,"England","England Premier League","Bolton","Stoke","H",1.48732827965513
"8","2008/2009",1,"England","England Premier League","Hull","Fulham","H",1.57034793683248
"9","2008/2009",1,"England","England Premier League","Chelsea","Portsmouth","H",1.1503593765285
"10","2008/2009",10,"England","England Premier League","Manchester United","West Ham","H",0.988620096984731
"11","2008/2009",10,"England","England Premier League","Arsenal","Tottenham","D",1.27342569618122
"12","2008/2009",10,"England","England Premier League","Middlesbrough","Manchester City","H",1.56778533445895
"13","2008/2009",10,"England","England Premier League","Bolton","Everton","A",1.56916879510473
"14","2008/2009",10,"England","England Premier League","Hull","Chelsea","A",1.23398301914335
"15","2008/2009",10,"England","England Premier League","Stoke","Sunderland","H",1.56977276234559
"16","2008/2009",10,"England","England Premier League","Liverpool","Portsmouth","H",1.19394004670269
"17","2008/2009",10,"England","England Premier League","Aston Villa","Blackburn","H",1.43578403813088
"18","2008/2009",10,"England","England Premier League","Newcastle United","West Bromwich Albion","H",1.50515578122845
"19","2008/2009",10,"England","England Premier League","Fulham","Wigan","H",1.56758884897718
"20","2008/2009",11,"England","England Premier League","Manchester United","Hull","H",0.925558148602068
"21","2008/2009",11,"England","England Premier League","Tottenham","Liverpool","H",1.54108475570635
"22","2008/2009",11,"England","England Premier League","Everton","Fulham","H",1.44569869095847
"23","2008/2009",11,"England","England Premier League","Middlesbrough","West Ham","D",1.52810983074787
"24","2008/2009",11,"England","England Premier League","Newcastle United","Aston Villa","H",1.5652951294403
"25","2008/2009",11,"England","England Premier League","Bolton","Manchester City","H",1.56184395309444
"26","2008/2009",11,"England","England Premier League","West Bromwich Albion","Blackburn","D",1.56880122303776
"27","2008/2009",11,"England","England Premier League","Portsmouth","Wigan","A",1.51100744302695
"28","2008/2009",11,"England","England Premier League","Stoke","Arsenal","H",1.19347431466784
"29","2008/2009",11,"England","England Premier League","Chelsea","Sunderland","H",0.960343082377067
"30","2008/2009",12,"England","England Premier League","Arsenal","Manchester United","H",1.56342034890658
"31","2008/2009",12,"England","England Premier League","Liverpool","West Bromwich Albion","H",0.980588497158253
"32","2008/2009",12,"England","England Premier League","Sunderland","Portsmouth","A",1.56870718687072
"33","2008/2009",12,"England","England Premier League","West Ham","Everton","A",1.56994205596663
"34","2008/2009",12,"England","England Premier League","Aston Villa","Middlesbrough","A",1.43055182572463
"35","2008/2009",12,"England","England Premier League","Manchester City","Tottenham","A",1.56019983580622
"36","2008/2009",12,"England","England Premier League","Blackburn","Chelsea","A",1.23271233945932
"37","2008/2009",12,"England","England Premier League","Fulham","Newcastle United","H",1.5687466761755
"38","2008/2009",12,"England","England Premier League","Hull","Bolton","A",1.55314508872285
"39","2008/2009",12,"England","England Premier League","Wigan","Stoke","D",1.4649852804946
"40","2008/2009",13,"England","England Premier League","Manchester United","Stoke","H",0.878036516551378
"41","2008/2009",13,"England","England Premier League","Arsenal","Aston Villa","A",1.31940269154007
"42","2008/2009",13,"England","England Premier League","West Ham","Portsmouth","D",1.56926633015184
"43","2008/2009",13,"England","England Premier League","Everton","Middlesbrough","D",1.49648028827107
"44","2008/2009",13,"England","England Premier League","Newcastle United","Wigan","D",1.53882962314919
"45","2008/2009",13,"England","England Premier League","Blackburn","Sunderland","A",1.54634770488188
"46","2008/2009",13,"England","England Premier League","Fulham","Tottenham","H",1.55792842573448
"47","2008/2009",13,"England","England Premier League","Bolton","Liverpool","A",1.32707255937978
"48","2008/2009",13,"England","England Premier League","West Bromwich Albion","Chelsea","A",1.08387180556927
"49","2008/2009",13,"England","England Premier League","Hull","Manchester City","D",1.56777500206693
"50","2008/2009",14,"England","England Premier League","Liverpool","Fulham","D",1.04590725056435
"51","2008/2009",14,"England","England Premier League","Sunderland","West Ham","A",1.55019072552821
"52","2008/2009",14,"England","England Premier League","Tottenham","Blackburn","H",1.45673496012338
"53","2008/2009",14,"England","England Premier League","Aston Villa","Manchester United","D",1.39520318312134
"54","2008/2009",14,"England","England Premier League","Middlesbrough","Bolton","A",1.49908133597371
"55","2008/2009",14,"England","England Premier League","Manchester City","Arsenal","H",1.54883800178962
"56","2008/2009",14,"England","England Premier League","Portsmouth","Hull","D",1.48469191305208
"57","2008/2009",14,"England","England Premier League","Stoke","West Bromwich Albion","H",1.55701532016524
"58","2008/2009",14,"England","England Premier League","Wigan","Everton","H",1.57048127790781
"59","2008/2009",14,"England","England Premier League","Chelsea","Newcastle United","D",0.967000210145102
"60","2008/2009",15,"England","England Premier League","Liverpool","West Ham","D",1.11815621552613
"61","2008/2009",15,"England","England Premier League","Sunderland","Bolton","A",1.56570733137229
"62","2008/2009",15,"England","England Premier League","Tottenham","Everton","A",1.52551863690971
"63","2008/2009",15,"England","England Premier League","Aston Villa","Fulham","D",1.40493925607955
"64","2008/2009",15,"England","England Premier League","Middlesbrough","Newcastle United","D",1.55806927555107
"65","2008/2009",15,"England","England Premier League","Manchester City","Manchester United","A",1.42229110405458
"66","2008/2009",15,"England","England Premier League","Portsmouth","Blackburn","H",1.53208874771688
"67","2008/2009",15,"England","England Premier League","Stoke","Hull","D",1.56866141644496
"68","2008/2009",15,"England","England Premier League","Wigan","West Bromwich Albion","H",1.47822739037451
"69","2008/2009",15,"England","England Premier League","Chelsea","Arsenal","A",1.44817844381102
"70","2008/2009",16,"England","England Premier League","Manchester United","Sunderland","H",0.881498614809968
"71","2008/2009",16,"England","England Premier League","Arsenal","Wigan","H",1.12526664083378
"72","2008/2009",16,"England","England Premier League","West Ham","Tottenham","A",1.57061008275493
"73","2008/2009",16,"England","England Premier League","Everton","Aston Villa","A",1.57101424169496
"74","2008/2009",16,"England","England Premier League","Newcastle United","Stoke","D",1.4748333667237
"75","2008/2009",16,"England","England Premier League","Blackburn","Liverpool","A",1.35444762769311
"76","2008/2009",16,"England","England Premier League","Fulham","Manchester City","D",1.57145432792528
"77","2008/2009",16,"England","England Premier League","Bolton","Chelsea","A",1.27863719242124
"78","2008/2009",16,"England","England Premier League","West Bromwich Albion","Portsmouth","D",1.57072194208923
"79","2008/2009",16,"England","England Premier League","Hull","Middlesbrough","H",1.56848966586196
"80","2008/2009",17,"England","England Premier League","Liverpool","Hull","D",1.15732029839588
"81","2008/2009",17,"England","England Premier League","Sunderland","West Bromwich Albion","H",1.54381010261918
"82","2008/2009",17,"England","England Premier League","Tottenham","Manchester United","D",1.40628845120319
"83","2008/2009",17,"England","England Premier League","Aston Villa","Bolton","H",1.42381201934615
"84","2008/2009",17,"England","England Premier League","Middlesbrough","Arsenal","D",1.38984559096063
"85","2008/2009",17,"England","England Premier League","Manchester City","Everton","A",1.5415941454972
"86","2008/2009",17,"England","England Premier League","Portsmouth","Newcastle United","A",1.54052996701634
"87","2008/2009",17,"England","England Premier League","Stoke","Fulham","D",1.56681649887627
"88","2008/2009",17,"England","England Premier League","Wigan","Blackburn","H",1.53683367653511
"89","2008/2009",17,"England","England Premier League","Chelsea","West Ham","D",1.00217506594902
"90","2008/2009",18,"England","England Premier League","Manchester United","Wigan","H",1.0055123246521
"91","2008/2009",18,"England","England Premier League","Arsenal","Liverpool","D",1.57270864782873
"92","2008/2009",18,"England","England Premier League","West Ham","Aston Villa","A",1.56394426772455
"93","2008/2009",18,"England","England Premier League","Everton","Chelsea","D",1.37585713678116
"94","2008/2009",18,"England","England Premier League","Newcastle United","Tottenham","H",1.56917162930129
"95","2008/2009",18,"England","England Premier League","Blackburn","Stoke","H",1.48872944030462
"96","2008/2009",18,"England","England Premier League","Fulham","Middlesbrough","H",1.5573431260073
"97","2008/2009",18,"England","England Premier League","Bolton","Portsmouth","H",1.55996893141988
"98","2008/2009",18,"England","England Premier League","West Bromwich Albion","Manchester City","H",1.55746264963488
"99","2008/2009",18,"England","England Premier League","Hull","Sunderland","A",1.54337819676806
"100","2008/2009",19,"England","England Premier League","Liverpool","Bolton","H",1.15495615422381
"101","2008/2009",19,"England","England Premier League","Sunderland","Blackburn","D",1.56148080479678
"102","2008/2009",19,"England","England Premier League","Tottenham","Fulham","D",1.46241763393379
"103","2008/2009",19,"England","England Premier League","Aston Villa","Arsenal","D",1.57130023917996
"104","2008/2009",19,"England","England Premier League","Middlesbrough","Everton","A",1.57073794195971
"105","2008/2009",19,"England","England Premier League","Manchester City","Hull","H",1.48060641149081
"106","2008/2009",19,"England","England Premier League","Portsmouth","West Ham","A",1.55685762666499
"107","2008/2009",19,"England","England Premier League","Stoke","Manchester United","A",1.0945990952929
"108","2008/2009",19,"England","England Premier League","Wigan","Newcastle United","H",1.56280589369538
"109","2008/2009",19,"England","England Premier League","Chelsea","West Bromwich Albion","H",0.890821169478592
"110","2008/2009",2,"England","England Premier League","Liverpool","Middlesbrough","H",1.21480440548089
"111","2008/2009",2,"England","England Premier League","Tottenham","Sunderland","A",1.31010156830197
"112","2008/2009",2,"England","England Premier League","Newcastle United","Bolton","H",1.47611077615764
"113","2008/2009",2,"England","England Premier League","Manchester City","West Ham","H",1.56257186938569
"114","2008/2009",2,"England","England Premier League","Blackburn","Hull","D",1.37226175731216
"115","2008/2009",2,"England","England Premier League","Fulham","Arsenal","H",1.30409040839179
"116","2008/2009",2,"England","England Premier League","West Bromwich Albion","Everton","A",1.56873637186132
"117","2008/2009",2,"England","England Premier League","Portsmouth","Manchester United","A",1.38642627675767
"118","2008/2009",2,"England","England Premier League","Stoke","Aston Villa","H",1.37430366098709
"119","2008/2009",2,"England","England Premier League","Wigan","Chelsea","A",1.18389890479061
"120","2008/2009",20,"England","England Premier League","Manchester United","Middlesbrough","H",0.968481569148193
"121","2008/2009",20,"England","England Premier League","Arsenal","Portsmouth","H",1.20790222980593
"122","2008/2009",20,"England","England Premier League","West Ham","Stoke","H",1.4471108792124
"123","2008/2009",20,"England","England Premier League","Everton","Sunderland","H",1.46723354933257
"124","2008/2009",20,"England","England Premier League","Newcastle United","Liverpool","A",1.39609182446663
"125","2008/2009",20,"England","England Premier League","Blackburn","Manchester City","D",1.56811311789491
"126","2008/2009",20,"England","England Premier League","Fulham","Chelsea","D",1.30376081276777
"127","2008/2009",20,"England","England Premier League","Bolton","Wigan","A",1.56126006307597
"128","2008/2009",20,"England","England Premier League","West Bromwich Albion","Tottenham","H",1.55066349336634
"129","2008/2009",20,"England","England Premier League","Hull","Aston Villa","A",1.4344976982113
"130","2008/2009",21,"England","England Premier League","Manchester United","Chelsea","H",1.56260142787584
"131","2008/2009",21,"England","England Premier League","Arsenal","Bolton","H",1.18142041721151
"132","2008/2009",21,"England","England Premier League","Aston Villa","West Bromwich Albion","H",1.21806885682711
"133","2008/2009",21,"England","England Premier League","Everton","Hull","H",1.39918223584241
"134","2008/2009",21,"England","England Premier League","Middlesbrough","Sunderland","D",1.56015336336429
"135","2008/2009",21,"England","England Premier League","Newcastle United","West Ham","D",1.55448308423532
"136","2008/2009",21,"England","England Premier League","Fulham","Blackburn","A",1.55723699994531
"137","2008/2009",21,"England","England Premier League","Portsmouth","Manchester City","H",1.5676359246056
"138","2008/2009",21,"England","England Premier League","Stoke","Liverpool","D",1.15103240591625
"139","2008/2009",21,"England","England Premier League","Wigan","Tottenham","H",1.56686841187244
"140","2008/2009",22,"England","England Premier League","Liverpool","Everton","D",1.38471114402207
"141","2008/2009",22,"England","England Premier League","Sunderland","Aston Villa","A",1.55513356452108
"142","2008/2009",22,"England","England Premier League","Tottenham","Portsmouth","D",1.43616426348514
"143","2008/2009",22,"England","England Premier League","West Ham","Fulham","H",1.55508825112356
"144","2008/2009",22,"England","England Premier League","Manchester City","Wigan","H",1.52960260572762
"145","2008/2009",22,"England","England Premier League","Blackburn","Newcastle United","H",1.54711088865929
"146","2008/2009",22,"England","England Premier League","Bolton","Manchester United","A",1.22420013064285
"147","2008/2009",22,"England","England Premier League","West Bromwich Albion","Middlesbrough","H",1.5700709086262
"148","2008/2009",22,"England","England Premier League","Hull","Arsenal","A",1.32681656918607
"149","2008/2009",22,"England","England Premier League","Chelsea","Stoke","H",0.967196881371635
"150","2008/2009",23,"England","England Premier League","Sunderland","Fulham","H",1.56320602784818
"151","2008/2009",23,"England","England Premier League","Tottenham","Stoke","H",1.38464147210966
"152","2008/2009",23,"England","England Premier League","West Ham","Hull","H",1.47409809619006
"153","2008/2009",23,"England","England Premier League","West Bromwich Albion","Manchester United","A",1.13153456174968
"154","2008/2009",23,"England","England Premier League","Portsmouth","Aston Villa","A",1.55920207133315
"155","2008/2009",23,"England","England Premier League","Wigan","Liverpool","D",1.3929169653299
"156","2008/2009",23,"England","England Premier League","Everton","Arsenal","D",1.56551682187481
"157","2008/2009",23,"England","England Premier League","Manchester City","Newcastle United","H",1.45577321421074
"158","2008/2009",23,"England","England Premier League","Blackburn","Bolton","D",1.51103964784049
"159","2008/2009",23,"England","England Premier League","Chelsea","Middlesbrough","H",1.02261666571658
"160","2008/2009",24,"England","England Premier League","Manchester United","Everton","H",1.19644537732344
"161","2008/2009",24,"England","England Premier League","Arsenal","West Ham","D",1.26771884882958
"162","2008/2009",24,"England","England Premier League","Liverpool","Chelsea","H",1.57475093432858
"163","2008/2009",24,"England","England Premier League","Aston Villa","Wigan","D",1.40062945786693
"164","2008/2009",24,"England","England Premier League","Middlesbrough","Blackburn","D",1.56906480876805
"165","2008/2009",24,"England","England Premier League","Newcastle United","Sunderland","D",1.57025537314499
"166","2008/2009",24,"England","England Premier League","Fulham","Portsmouth","H",1.52388286441066
"167","2008/2009",24,"England","England Premier League","Bolton","Tottenham","H",1.57030165613205
"168","2008/2009",24,"England","England Premier League","Hull","West Bromwich Albion","D",1.54962860635442
"169","2008/2009",24,"England","England Premier League","Stoke","Manchester City","H",1.55516870313821
"170","2008/2009",25,"England","England Premier League","Sunderland","Stoke","H",1.47627935914567
"171","2008/2009",25,"England","England Premier League","Tottenham","Arsenal","D",1.5657285479756
"172","2008/2009",25,"England","England Premier League","West Ham","Manchester United","A",1.29983147034899
"173","2008/2009",25,"England","England Premier League","Everton","Bolton","H",1.4366420941451
"174","2008/2009",25,"England","England Premier League","Manchester City","Middlesbrough","H",1.38850438900756
"175","2008/2009",25,"England","England Premier League","Blackburn","Aston Villa","A",1.56734383886159
"176","2008/2009",25,"England","England Premier League","West Bromwich Albion","Newcastle United","A",1.55983456820344
"177","2008/2009",25,"England","England Premier League","Portsmouth","Liverpool","A",1.36806161232441
"178","2008/2009",25,"England","England Premier League","Wigan","Fulham","D",1.52891483087451
"179","2008/2009",25,"England","England Premier League","Chelsea","Hull","D",0.971301305665129
"180","2008/2009",26,"England","England Premier League","Manchester United","Blackburn","H",1.03297754611929
"181","2008/2009",26,"England","England Premier League","Arsenal","Sunderland","D",1.23679499578121
"182","2008/2009",26,"England","England Premier League","Liverpool","Manchester City","D",1.34325525073001
"183","2008/2009",26,"England","England Premier League","Aston Villa","Chelsea","A",1.55831481812985
"184","2008/2009",26,"England","England Premier League","Middlesbrough","Wigan","D",1.57101299850141
"185","2008/2009",26,"England","England Premier League","Newcastle United","Everton","D",1.56825072945798
"186","2008/2009",26,"England","England Premier League","Fulham","West Bromwich Albion","H",1.47395486417641
"187","2008/2009",26,"England","England Premier League","Bolton","West Ham","H",1.56907602875223
"188","2008/2009",26,"England","England Premier League","Hull","Tottenham","A",1.56441177144236
"189","2008/2009",26,"England","England Premier League","Stoke","Portsmouth","D",1.57146514814956
"190","2008/2009",27,"England","England Premier League","Manchester United","Portsmouth","H",1.04389952054796
"191","2008/2009",27,"England","England Premier League","Arsenal","Fulham","D",1.24671573497766
"192","2008/2009",27,"England","England Premier League","Sunderland","Tottenham","D",1.56956760321456
"193","2008/2009",27,"England","England Premier League","West Ham","Manchester City","H",1.56891704741006
"194","2008/2009",27,"England","England Premier League","Aston Villa","Stoke","D",1.22330922101788
"195","2008/2009",27,"England","England Premier League","Everton","West Bromwich Albion","H",1.30430631615281
"196","2008/2009",27,"England","England Premier League","Middlesbrough","Liverpool","H",1.37222692063369
"197","2008/2009",27,"England","England Premier League","Bolton","Newcastle United","H",1.53789645538964
"198","2008/2009",27,"England","England Premier League","Hull","Blackburn","A",1.56865019771612
"199","2008/2009",27,"England","England Premier League","Chelsea","Wigan","H",1.11386890387119
"200","2008/2009",28,"England","England Premier League","Tottenham","Middlesbrough","H",1.47077814049906
"201","2008/2009",28,"England","England Premier League","West Bromwich Albion","Arsenal","A",1.30102526098827
"202","2008/2009",28,"England","England Premier League","Portsmouth","Chelsea","A",1.28884134592315
"203","2008/2009",28,"England","England Premier League","Stoke","Bolton","H",1.56992069939816
"204","2008/2009",28,"England","England Premier League","Wigan","West Ham","A",1.56106096850575
"205","2008/2009",28,"England","England Premier League","Liverpool","Sunderland","H",1.24257224941251
"206","2008/2009",28,"England","England Premier League","Newcastle United","Manchester United","A",1.23971958677087
"207","2008/2009",28,"England","England Premier League","Manchester City","Aston Villa","H",1.56983824287735
"208","2008/2009",28,"England","England Premier League","Blackburn","Everton","D",1.57008724882869
"209","2008/2009",28,"England","England Premier League","Fulham","Hull","A",1.42865781653784
"210","2008/2009",29,"England","England Premier League","Manchester United","Liverpool","A",1.50216146191323
"211","2008/2009",29,"England","England Premier League","Arsenal","Blackburn","H",1.25910225449975
"212","2008/2009",29,"England","England Premier League","Sunderland","Wigan","A",1.55763768166718
"213","2008/2009",29,"England","England Premier League","West Ham","West Bromwich Albion","D",1.42683376553159
"214","2008/2009",29,"England","England Premier League","Aston Villa","Tottenham","A",1.53894250451534
"215","2008/2009",29,"England","England Premier League","Everton","Stoke","H",1.29665393833643
"216","2008/2009",29,"England","England Premier League","Middlesbrough","Portsmouth","D",1.55506445941669
"217","2008/2009",29,"England","England Premier League","Bolton","Fulham","A",1.5489846969375
"218","2008/2009",29,"England","England Premier League","Hull","Newcastle United","D",1.56991911316819
"219","2008/2009",29,"England","England Premier League","Chelsea","Manchester City","H",1.24125938654055
"220","2008/2009",3,"England","England Premier League","Manchester United","Fulham","H",1.03604017877042
"221","2008/2009",3,"England","England Premier League","Arsenal","Newcastle United","H",1.26463305622902
"222","2008/2009",3,"England","England Premier League","Sunderland","Manchester City","A",1.56365943246537
"223","2008/2009",3,"England","England Premier League","West Ham","Blackburn","H",1.56870285271289
"224","2008/2009",3,"England","England Premier League","Aston Villa","Liverpool","D",1.56444182960136
"225","2008/2009",3,"England","England Premier League","Everton","Portsmouth","A",1.54420840266004
"226","2008/2009",3,"England","England Premier League","Middlesbrough","Stoke","H",1.37333141761892
"227","2008/2009",3,"England","England Premier League","Bolton","West Bromwich Albion","D",1.49853518729247
"228","2008/2009",3,"England","England Premier League","Hull","Wigan","A",1.56899256692466
"229","2008/2009",3,"England","England Premier League","Chelsea","Tottenham","D",1.2327681957796
"230","2008/2009",30,"England","England Premier League","Liverpool","Aston Villa","H",1.29578918397808
"231","2008/2009",30,"England","England Premier League","Tottenham","Chelsea","H",1.42856320566709
"232","2008/2009",30,"England","England Premier League","Newcastle United","Arsenal","A",1.37106695376149
"233","2008/2009",30,"England","England Premier League","Manchester City","Sunderland","H",1.39909669107492
"234","2008/2009",30,"England","England Premier League","Blackburn","West Ham","D",1.53036522107759
"235","2008/2009",30,"England","England Premier League","Fulham","Manchester United","H",1.23239977726488
"236","2008/2009",30,"England","England Premier League","West Bromwich Albion","Bolton","D",1.56934213807786
"237","2008/2009",30,"England","England Premier League","Portsmouth","Everton","H",1.5694357605097
"238","2008/2009",30,"England","England Premier League","Stoke","Middlesbrough","H",1.56678533813547
"239","2008/2009",30,"England","England Premier League","Wigan","Hull","H",1.45864615588198
"240","2008/2009",31,"England","England Premier League","Manchester United","Aston Villa","H",1.21882750480508
"241","2008/2009",31,"England","England Premier League","Arsenal","Manchester City","H",1.31512245247923
"242","2008/2009",31,"England","England Premier League","West Ham","Sunderland","H",1.53807588967308
"243","2008/2009",31,"England","England Premier League","Everton","Wigan","H",1.44352456340031
"244","2008/2009",31,"England","England Premier League","Newcastle United","Chelsea","A",1.34378700037494
"245","2008/2009",31,"England","England Premier League","Blackburn","Tottenham","H",1.57110030601201
"246","2008/2009",31,"England","England Premier League","Fulham","Liverpool","A",1.32218622584287
"247","2008/2009",31,"England","England Premier League","Bolton","Middlesbrough","H",1.5449990745494
"248","2008/2009",31,"England","England Premier League","West Bromwich Albion","Stoke","A",1.55946181027996
"249","2008/2009",31,"England","England Premier League","Hull","Portsmouth","D",1.57074853030702
"250","2008/2009",32,"England","England Premier League","Liverpool","Blackburn","H",1.13942877181848
"251","2008/2009",32,"England","England Premier League","Sunderland","Manchester United","A",1.23148229038556
"252","2008/2009",32,"England","England Premier League","Tottenham","West Ham","H",1.45430507531854
"253","2008/2009",32,"England","England Premier League","Aston Villa","Everton","D",1.55657446664843
"254","2008/2009",32,"England","England Premier League","Middlesbrough","Hull","H",1.54312987805799
"255","2008/2009",32,"England","England Premier League","Manchester City","Fulham","A",1.49787725006782
"256","2008/2009",32,"England","England Premier League","Portsmouth","West Bromwich Albion","D",1.43733420575651
"257","2008/2009",32,"England","England Premier League","Stoke","Newcastle United","D",1.57039634964969
"258","2008/2009",32,"England","England Premier League","Wigan","Arsenal","A",1.36725945197398
"259","2008/2009",32,"England","England Premier League","Chelsea","Bolton","H",1.06962290398072
"260","2008/2009",33,"England","England Premier League","Liverpool","Arsenal","D",1.46138799233501
"261","2008/2009",33,"England","England Premier League","Sunderland","Hull","H",1.51140311894762
"262","2008/2009",33,"England","England Premier League","Tottenham","Newcastle United","H",1.41546331618775
"263","2008/2009",33,"England","England Premier League","Aston Villa","West Ham","D",1.43078074528244
"264","2008/2009",33,"England","England Premier League","Middlesbrough","Fulham","D",1.56145585808467
"265","2008/2009",33,"England","England Premier League","Manchester City","West Bromwich Albion","H",1.39171175817263
"266","2008/2009",33,"England","England Premier League","Portsmouth","Bolton","H",1.53958180592462
"267","2008/2009",33,"England","England Premier League","Stoke","Blackburn","H",1.56855288550508
"268","2008/2009",33,"England","England Premier League","Wigan","Manchester United","A",1.09929682421117
"269","2008/2009",33,"England","England Premier League","Chelsea","Everton","D",1.25883623828466
"270","2008/2009",34,"England","England Premier League","Manchester United","Tottenham","H",1.25533998628817
"271","2008/2009",34,"England","England Premier League","Arsenal","Middlesbrough","H",1.28791420081543
"272","2008/2009",34,"England","England Premier League","West Ham","Chelsea","A",1.39671022023047
"273","2008/2009",34,"England","England Premier League","Everton","Manchester City","A",1.48659993687357
"274","2008/2009",34,"England","England Premier League","Newcastle United","Portsmouth","D",1.53772521131083
"275","2008/2009",34,"England","England Premier League","Blackburn","Wigan","H",1.51133970561309
"276","2008/2009",34,"England","England Premier League","Fulham","Stoke","H",1.46180745173929
"277","2008/2009",34,"England","England Premier League","Bolton","Aston Villa","D",1.56637149876882
"278","2008/2009",34,"England","England Premier League","West Bromwich Albion","Sunderland","H",1.56879755254627
"279","2008/2009",34,"England","England Premier League","Hull","Liverpool","A",1.16322498187737
"280","2008/2009",35,"England","England Premier League","Liverpool","Newcastle United","H",1.0718396793806
"281","2008/2009",35,"England","England Premier League","Sunderland","Everton","A",1.56918692347778
"282","2008/2009",35,"England","England Premier League","Tottenham","West Bromwich Albion","H",1.31322039875944
"283","2008/2009",35,"England","England Premier League","Aston Villa","Hull","H",1.35012245513366
"284","2008/2009",35,"England","England Premier League","Middlesbrough","Manchester United","A",1.26046907652164
"285","2008/2009",35,"England","England Premier League","Manchester City","Blackburn","H",1.49758569617987
"286","2008/2009",35,"England","England Premier League","Portsmouth","Arsenal","A",1.5210755996639
"287","2008/2009",35,"England","England Premier League","Stoke","West Ham","A",1.56875275300216
"288","2008/2009",35,"England","England Premier League","Wigan","Bolton","D",1.55259792586263
"289","2008/2009",35,"England","England Premier League","Chelsea","Fulham","H",1.30651082427761
"290","2008/2009",36,"England","England Premier League","Manchester United","Manchester City","H",1.1960170848791
"291","2008/2009",36,"England","England Premier League","Arsenal","Chelsea","A",1.57163788115173
"292","2008/2009",36,"England","England Premier League","West Ham","Liverpool","A",1.29240048467064
"293","2008/2009",36,"England","England Premier League","Everton","Tottenham","D",1.56443964773644
"294","2008/2009",36,"England","England Premier League","Newcastle United","Middlesbrough","H",1.53592904503818
"295","2008/2009",36,"England","England Premier League","Blackburn","Portsmouth","H",1.52879979462432
"296","2008/2009",36,"England","England Premier League","Fulham","Aston Villa","H",1.57085430274351
"297","2008/2009",36,"England","England Premier League","Bolton","Sunderland","D",1.55281556903866
"298","2008/2009",36,"England","England Premier League","West Bromwich Albion","Wigan","H",1.56754145110391
"299","2008/2009",36,"England","England Premier League","Hull","Stoke","A",1.54915076189598
"300","2008/2009",37,"England","England Premier League","Manchester United","Arsenal","D",1.40969209364021
"301","2008/2009",37,"England","England Premier League","Tottenham","Manchester City","H",1.49394281304408
"302","2008/2009",37,"England","England Premier League","Everton","West Ham","H",1.46228122206376
"303","2008/2009",37,"England","England Premier League","Middlesbrough","Aston Villa","D",1.56641214449417
"304","2008/2009",37,"England","England Premier League","Newcastle United","Fulham","A",1.51438768329204
"305","2008/2009",37,"England","England Premier League","Bolton","Hull","D",1.56144862621218
"306","2008/2009",37,"England","England Premier League","West Bromwich Albion","Liverpool","A",1.16306034359007
"307","2008/2009",37,"England","England Premier League","Portsmouth","Sunderland","H",1.55355054728229
"308","2008/2009",37,"England","England Premier League","Stoke","Wigan","H",1.55678509764031
"309","2008/2009",37,"England","England Premier League","Chelsea","Blackburn","H",1.11711066202454
"310","2008/2009",38,"England","England Premier League","Arsenal","Stoke","H",1.14489822998945
"311","2008/2009",38,"England","England Premier League","Liverpool","Tottenham","H",1.34639508030646
"312","2008/2009",38,"England","England Premier League","Sunderland","Chelsea","A",1.43724936884245
"313","2008/2009",38,"England","England Premier League","West Ham","Middlesbrough","H",1.56169759943378
"314","2008/2009",38,"England","England Premier League","Aston Villa","Newcastle United","H",1.56155269558185
"315","2008/2009",38,"England","England Premier League","Manchester City","Bolton","H",1.45170149795412
"316","2008/2009",38,"England","England Premier League","Blackburn","West Bromwich Albion","D",1.48251896250333
"317","2008/2009",38,"England","England Premier League","Fulham","Everton","A",1.55085241639342
"318","2008/2009",38,"England","England Premier League","Hull","Manchester United","A",1.55514111495958
"319","2008/2009",38,"England","England Premier League","Wigan","Portsmouth","H",1.54811670443056
"320","2008/2009",4,"England","England Premier League","Liverpool","Manchester United","H",1.57269136218028
"321","2008/2009",4,"England","England Premier League","Tottenham","Aston Villa","A",1.54540525559261
"322","2008/2009",4,"England","England Premier League","Newcastle United","Hull","A",1.42216332688071
"323","2008/2009",4,"England","England Premier League","Manchester City","Chelsea","A",1.42895861083365
"324","2008/2009",4,"England","England Premier League","Blackburn","Arsenal","A",1.40423790357077
"325","2008/2009",4,"England","England Premier League","Fulham","Bolton","H",1.55923445020445
"326","2008/2009",4,"England","England Premier League","West Bromwich Albion","West Ham","H",1.57187871584703
"327","2008/2009",4,"England","England Premier League","Portsmouth","Middlesbrough","H",1.53205853639384
"328","2008/2009",4,"England","England Premier League","Stoke","Everton","A",1.55224020282326
"329","2008/2009",4,"England","England Premier League","Wigan","Sunderland","D",1.54198559354446
"330","2008/2009",5,"England","England Premier League","Liverpool","Stoke","D",0.979704182703613
"331","2008/2009",5,"England","England Premier League","Sunderland","Middlesbrough","H",1.56868116123949
"332","2008/2009",5,"England","England Premier League","Tottenham","Wigan","D",1.43087581196108
