"","PUMA","Year","X","VAL","HINCP","HHT_MDC","HHT_OF","HHT_NFLA","HHT_NFNLA","SEX_M","SEX_F","RACE_W","RACE_B","RACE_AI","RACE_AN","RACE_AIAN","RACE_A","RACE_PI","RACE_O","RACE_2M","EDU_NO","EDU_NOHS","EDU_HS","EDU_ALT","EDU_SC","EDU_AD","EDU_BD","EDU_MD","EDU_PD","EDU_DD","AGEP","PINCP","EDU_NONE","EDU_HSDIP","EDU_HIED"
"11","00803",2005,1,0,36,17,13,13,14,47,51,49,0,21,0,5,NA,NA,0,5,32,49,2,0,0,0,0,0,0,0,83,38,49,1,0
"12","00804",2005,1,0,31,21,14,11,12,56,58,57,1,9,0,0,NA,NA,0,11,35,57,1,0,0,0,0,0,0,0,82,31,57,1,0
"13","00901",2005,1,0,19,4,16,10,8,24,24,11,21,3,0,0,NA,NA,3,11,28,23,1,0,0,0,0,0,0,0,71,22,24,0,0
"14","00902",2005,1,0,19,5,16,13,13,25,31,16,18,3,0,0,NA,NA,8,19,39,27,1,0,0,0,0,0,0,0,71,25,28,1,0
"15","01001",2005,1,0,39,14,11,11,10,40,40,40,3,0,0,0,NA,NA,1,5,30,41,1,0,0,0,0,0,0,0,85,40,41,1,0
"16","01002",2005,1,0,33,13,11,11,8,37,39,36,4,8,0,5,NA,NA,3,15,23,39,0,0,0,0,0,0,0,0,82,34,38,0,0
"17","01003",2005,1,0,33,16,8,8,10,41,42,40,2,1,0,25,NA,NA,2,17,35,41,1,0,0,0,0,0,0,0,79,32,41,0,0
"18","01004",2005,1,0,44,18,11,13,14,46,50,46,2,4,0,5,NA,NA,2,11,39,47,4,0,0,0,0,0,0,0,85,45,48,2,0
"19","01005",2005,1,0,42,12,7,6,8,32,34,33,1,0,0,0,NA,NA,1,1,25,32,1,0,0,0,0,0,0,0,75,37,32,0,0
"20","01100",2005,1,0,32,15,11,11,12,41,43,41,1,0,0,5,NA,NA,2,12,33,42,2,0,0,0,0,0,0,0,83,35,42,1,0
"21","01200",2005,1,0,32,19,14,11,16,54,55,55,1,3,0,5,NA,NA,2,10,39,55,1,0,0,0,0,0,0,0,79,30,55,0,0
"22","01300",2005,2,0,30,18,11,9,11,45,50,47,1,15,0,10,NA,NA,1,13,39,48,0,0,0,0,0,0,0,0,81,31,48,0,0
"23","01401",2005,2,0,17,8,28,16,15,38,46,21,40,8,0,5,NA,NA,3,7,39,42,1,0,0,0,0,0,0,0,79,22,42,0,0
"24","01402",2005,2,0,21,5,12,13,16,24,27,19,8,7,0,5,NA,NA,9,14,25,25,2,0,0,0,0,0,0,0,81,24,25,1,0
"25","01501",2005,2,0,35,14,9,8,13,38,38,37,1,11,0,0,NA,NA,1,4,34,38,0,0,0,0,0,0,0,0,83,34,38,0,0
"26","01502",2005,2,0,28,11,12,10,8,33,32,31,3,8,0,20,NA,NA,0,11,20,33,0,0,0,0,0,0,0,0,86,31,33,0,0
"27","01601",2005,2,0,33,11,10,10,9,33,34,34,1,11,0,10,NA,NA,0,7,28,34,1,0,0,0,0,0,0,0,84,35,34,0,0
"28","01602",2005,2,0,38,13,8,9,7,33,35,33,3,1,0,0,NA,NA,1,2,23,33,2,0,0,0,0,0,0,0,85,38,33,1,0
"29","01603",2005,2,0,40,13,7,6,8,32,34,34,0,1,0,0,NA,NA,1,3,20,34,1,0,0,0,0,0,0,0,81,39,34,0,0
"30","01604",2005,2,0,27,17,14,16,16,46,52,48,4,3,0,5,NA,NA,1,6,32,50,0,0,0,0,0,0,0,0,88,31,50,0,0
"31","01605",2005,2,0,39,22,11,12,12,57,57,57,0,17,100,30,NA,NA,0,9,45,57,2,0,0,0,0,0,0,0,83,37,57,1,0
"32","01700",2005,2,0,34,19,13,12,25,50,55,51,2,7,0,0,NA,NA,3,17,40,51,7,0,0,0,0,0,0,0,82,34,51,4,0
"33","01800",2005,2,0,29,21,16,13,18,59,60,61,1,3,0,20,NA,NA,0,10,47,60,2,0,0,0,0,0,0,0,81,29,60,1,0
"34","01900",2005,2,0,28,24,18,16,22,64,71,68,1,4,0,10,NA,NA,2,23,36,69,2,0,0,0,0,0,0,0,86,30,68,1,0
"35","02000",2005,2,0,26,15,17,12,15,46,49,48,1,3,0,0,NA,NA,3,5,37,48,1,0,0,0,0,0,0,0,83,28,48,0,0
"36","02100",2005,3,0,33,15,17,14,15,44,50,43,5,5,0,5,NA,NA,7,13,43,47,2,0,0,0,0,0,0,0,83,38,47,1,0
"37","02201",2005,3,0,36,15,10,9,11,40,41,41,0,3,0,0,NA,NA,0,7,35,41,1,0,0,0,0,0,0,0,82,37,41,1,0
"38","02202",2005,3,0,42,10,8,8,6,26,31,28,0,0,0,0,NA,NA,1,3,17,29,1,0,0,0,0,0,0,0,83,46,29,1,0
"39","02300",2005,3,0,33,17,15,14,17,47,53,47,3,1,33,0,NA,NA,4,24,35,51,2,0,0,0,0,0,0,0,82,38,51,1,0
"40","02401",2005,3,0,28,5,11,11,17,22,24,16,11,1,0,0,NA,NA,1,15,21,23,1,0,0,0,0,0,0,0,79,38,23,1,0
"41","02402",2005,3,0,41,22,14,17,17,61,62,58,3,5,0,0,NA,NA,3,15,51,61,4,0,0,0,0,0,0,0,83,46,61,2,0
"42","02500",2005,3,0,34,15,14,12,12,41,44,42,2,1,0,0,NA,NA,3,9,20,43,2,0,0,0,0,0,0,0,88,35,43,1,0
"43","02601",2005,3,0,33,19,13,10,10,52,51,52,0,3,0,5,NA,NA,0,11,52,51,1,0,0,0,0,0,0,0,81,31,52,1,0
"44","02602",2005,3,0,24,12,11,15,17,37,39,36,3,4,0,0,NA,NA,1,11,24,39,1,0,0,0,0,0,0,0,86,28,38,1,0
"45","02700",2005,3,0,27,16,14,12,14,44,47,45,3,7,0,15,NA,NA,1,12,30,46,0,0,0,0,0,0,0,0,84,29,46,0,0
"46","02800",2005,3,0,28,28,20,20,22,83,80,83,1,4,0,10,NA,NA,2,10,73,82,1,0,0,0,0,0,0,0,81,28,83,1,0
"47","02900",2005,3,0,27,35,27,23,30,98,100,99,1,60,0,20,NA,NA,2,25,66,100,2,0,0,0,0,0,0,0,82,28,100,1,0
"48","03000",2005,3,0,26,22,18,16,16,60,60,60,1,21,0,0,NA,NA,2,10,34,61,1,0,0,0,0,0,0,0,86,28,61,1,0
"49","03101",2005,3,0,33,12,10,9,13,34,36,33,3,1,0,25,NA,NA,3,18,25,36,1,0,0,0,0,0,0,0,84,32,36,0,0
"50","03102",2005,3,0,38,14,13,10,17,41,44,41,2,5,0,0,NA,NA,2,25,25,43,2,0,0,0,0,0,0,0,82,39,43,1,0
"51","03201",2005,4,0,45,14,9,9,12,37,40,38,2,0,0,0,NA,NA,3,9,30,39,2,0,0,0,0,0,0,0,83,43,39,1,0
"52","03202",2005,4,0,43,15,14,11,10,44,46,37,9,1,0,10,NA,NA,9,17,30,45,3,0,0,0,0,0,0,0,82,44,45,2,0
"53","03301",2005,4,0,45,10,9,6,5,31,31,25,7,0,0,0,NA,NA,13,11,33,30,1,0,0,0,0,0,0,0,77,40,31,0,0
"54","03302",2005,4,0,35,10,9,7,7,29,32,25,6,0,0,30,NA,NA,11,11,17,31,0,0,0,0,0,0,0,0,79,35,31,0,0
"55","03303",2005,4,0,57,12,7,4,6,35,35,33,3,1,0,20,NA,NA,2,17,29,34,1,0,0,0,0,0,0,0,68,46,34,1,0
"56","03400",2005,4,0,36,13,18,14,10,42,49,30,15,0,0,0,NA,NA,26,15,41,45,2,0,0,0,0,0,0,0,82,35,46,1,0
"57","03501",2005,4,0,82,16,7,5,3,39,39,37,1,0,0,0,NA,NA,4,3,29,38,5,0,0,0,0,0,0,0,75,62,38,3,0
"58","03502",2005,4,0,60,14,10,8,7,39,41,35,4,0,0,0,NA,NA,10,22,35,39,2,0,0,0,0,0,0,0,77,54,40,1,0
"59","03503",2005,4,0,64,16,11,11,13,45,47,35,10,0,0,0,NA,NA,14,16,34,46,3,0,0,0,0,0,0,0,82,54,46,2,0
"60","03504",2005,4,0,63,11,6,6,3,28,30,27,1,0,0,0,NA,NA,6,6,39,28,2,0,0,0,0,0,0,0,79,51,29,1,0
"61","03505",2005,4,0,47,15,16,13,10,48,53,33,27,1,0,0,NA,NA,11,21,41,50,2,0,0,0,0,0,0,0,80,42,51,1,0
"62","03506",2005,4,0,57,12,7,5,3,32,32,30,1,0,0,0,NA,NA,5,21,27,32,2,0,0,0,0,0,0,0,77,51,32,1,0
"63","03601",2005,4,0,67,15,8,7,8,38,41,35,3,0,0,0,NA,NA,4,15,27,40,2,0,0,0,0,0,0,0,82,54,40,1,0
