"","Name","Edition","City","Country","Owner","Seeker","Trader"
"63","[Mug Shot — «2016 Grey Sprinkled Roastery Mug»]","Limited Edition","Seattle","USA",3,1,0
"64","[Mug Shot — «2016 Grey Starbucks Roastery Maquette Mug»]","Limited Edition","Seattle","USA",2,6,0
"65","[Mug Shot — «Barcelona YAH»]","13 You Are Here Series","Barcelona","Spain",2,47,1
"66","[Mug Shot — «Madrid YAH»]","13 You Are Here Series","Madrid","Spain",2,47,2
"67","[Mug Shot — «Puebla»]","08 Icon Edition","Puebla","Mexico",23,85,3
"68","[Mug Shot — «Istanbul»]","13 You Are Here Series",NA,"Turkey",16,45,1
"69","[Mug Shot — «Kazan»]","08 Icon Edition","Kazan","Russia",60,65,12
"70","[Mug Shot — «2004 Holiday Pink Trees Latte 16oz»]","Holiday Mugs","Various","USA",2,0,0
"71","[Mug Shot — «2004 Holiday Poinsettia embossed reliefe 16oz»]","Holiday Mugs","Various","USA",2,0,0
"72","[Mug Shot — «2006 Holiday Red Latte 16oz»]","Holiday Mugs","Various","USA",2,0,0
"73","[Mug Shot — «Walking Girl Glass Cup»]","Limited Edition","Various","Japan",4,0,0
"74","[Mug Shot — «Walking Girl mug»]","Limited Edition","Various","Japan",5,0,0
"75","[Mug Shot — «Dubai»]","13 You Are Here Series","Dubai","United Arab Emirates",22,46,3
"76","[Mug Shot — «2016 Chinese New Year Mug»]","Holiday Mugs","Various","Malaysia",5,0,1
"77","[Mug Shot — «2016 Summer Seaside Glass»]","Limited Edition","Various","Taiwan",4,3,1
"78","[Mug Shot — «2016 Pride Reusable Cup»]","Limited Edition","Various","Taiwan",7,4,1
"79","[Mug Shot — «2016 Seashell Mug»]","Limited Edition","Various","China",0,3,0
"80","[Mug Shot — «2016 Father's Day Mug»]","Limited Edition","Various","China",1,2,0
"81","[Mug Shot — «2016 Summer Seaside Mug»]","Limited Edition","Shanghai","China",0,2,0
"82","[Mug Shot — «2016 Summer Octopus Glass»]","Limited Edition","Various","South Korea",5,0,0
"83","[Mug Shot — «2016 Summer Dolphin Glass»]","Limited Edition","Various","South Korea",5,0,0
"84","[Mug Shot — «2016 Submarine Mug»]","Limited Edition","Various","South Korea",7,1,2
"85","[Mug Shot — «2016 Summer Octopus Mug»]","Limited Edition","Various","South Korea",6,0,0
"86","[Mug Shot — «2016 Mint Dolphin Demimug»]","Limited Edition","Various","South Korea",8,2,0
