"OPEID","Name","Address","City","State","State Desc","Zip Code","Zip Ext","Program Length","Sch Type","Year 1","Num 1","Denom 1","DRate 1","PRate 1","Ethnic Code","Cong Dis","Region","Average or Greater Than 30","Year 2","Num 2","Denom 2","DRate 2","PRate 2","Year 3","Num 3","Denom 3","DRate 3","PRate 3"
"001020","JACKSONVILLE STATE UNIVERSITY","700 PELHAM ROAD, NORTH","JACKSONVILLE","AL","ALABAMA","36265","1602","8","1","2012","253","2631","9.6","A","5","03","04","0","2011","277","2448","11.3","A","2010","328","2464","13.3","A"
"001021","JEFFERSON DAVIS COMMUNITY COLLEGE","220 ALCO DRIVE","BREWTON","AL","ALABAMA","36427","2790","5","1","2012","N/A","N/A","N/A","A","5","01","04","0","2011","N/A","N/A","N/A","A","2010","N/A","N/A","N/A","A"
"001022","JEFFERSON STATE COMMUNITY COLLEGE","2601 CARSON ROAD","BIRMINGHAM","AL","ALABAMA","35215","3098","5","1","2012","245","1524","16","A","5","07","04","0","2011","185","1113","16.6","A","2010","150","934","16","A"
"001023","JUDSON COLLEGE","302 BIBB STREET","MARION","AL","ALABAMA","36756","2504","6","2","2012","11","83","13.2","A","5","07","04","0","2011","12","102","11.7","A","2010","13","74","17.5","A"
"001024","UNIVERSITY OF WEST ALABAMA","205 NORTH WASHINGTON","LIVINGSTON","AL","ALABAMA","35470","0000","8","1","2012","174","2220","7.8","A","5","07","04","0","2011","180","1868","9.6","A","2010","193","1633","11.8","A"
"001026","MARION MILITARY INSTITUTE","1101 WASHINGTON STREET","MARION","AL","ALABAMA","36756","3214","5","1","2012","22","161","13.6","A","5","07","04","0","2011","32","145","22","A","2010","27","91","29.6","A"
"001028","MILES COLLEGE","5500 MYRON MASSEY BOULEVARD","FAIRFIELD","AL","ALABAMA","35064","2697","6","2","2012","144","853","16.8","A","2","07","04","0","2011","169","766","22","A","2010","144","737","19.5","A"
"001029","UNIVERSITY OF MOBILE","5735 COLLEGE PARKWAY","MOBILE","AL","ALABAMA","36663","0220","8","2","2012","36","574","6.2","A","5","01","04","0","2011","19","532","3.5","A","2010","28","508","5.5","A"
"001030","BISHOP STATE COMMUNITY COLLEGE","351 NORTH BROAD STREET","MOBILE","AL","ALABAMA","36603","5898","5","1","2012","N/A","N/A","N/A","P","2","01","04","0","2011","N/A","N/A","N/A","P","2010","N/A","N/A","N/A","P"
"001031","NORTHEAST ALABAMA COMMUNITY COLLEGE","138  HIGHWAY 35                    138  ALABAMA HI","RAINSVILLE","AL","ALABAMA","35986","0159","5","1","2012","92","396","23.2","A","5","04","04","0","2011","91","402","22.6","A","2010","89","354","25.1","A"
