OPEID,SCHOOL,ADDR,CITY,STATE,ST_DESC,ZIP,ZIP_EXT,Country,LONGEST PROGRAM LENGTH,SCHOOL TYPE,COHORT YEAR,NUMBER IN DEFAULT,NUMBER ENTERING REPAYMENT,DEFAULT RATE,PRATE,ETH_CERT,PROGRAM,CON_DIST,REGION,AVGOR_GE30
001002,Alabama Agricultural & Mechanical University,4900 Meridian Street,Normal,AL,Alabama,35762,1357,,Master's Degree or Doctor's Degree,Pub,2009,217,1514,14.3,A,H,B,05,04,1
001020,Jacksonville State University,"700 Pelham Road, North",Jacksonville,AL,Alabama,36265,1602,,Master's Degree or Doctor's Degree,Pub,2009,288,2141,13.4,A,,B,03,04,1
033614,Fortis College,200 East Laurel Avenue,Foley,AL,Alabama,36535,0000,,Non-Degree 1 Year (900-1799 hours),Prop,2009,10,201,4.9,A,,B,01,04,1
001004,University of Montevallo,Palmer Circle,Montevallo,AL,Alabama,35115,6000,,Master's Degree or Doctor's Degree,Pub,2009,83,578,14.3,A,,B,06,04,1
001024,University of West Alabama,205 North Washington,Livingston,AL,Alabama,35470,0000,,Master's Degree or Doctor's Degree,Pub,2009,167,1423,11.7,A,,B,07,04,1
023410,Fortis College,3590 Pleasant Valley Road,Mobile,AL,Alabama,36609,2012,,Associate's Degree,Prop,2009,60,648,9.2,A,,B,01,04,1
026055,Remington College - Mobile Campus,828 Downtowner Loop West,Mobile,AL,Alabama,36609,5593,,Bachelor's Degree,Priv,2009,410,2578,15.9,P,,B,01,04,1
001012,Birmingham Southern College,900 Arkadelphia Road,Birmingham,AL,Alabama,35254,0002,,Bachelor's Degree,Priv,2009,13,180,7.2,A,,B,07,04,1
001044,Stillman College,3600 Stillman Boulevard,Tuscaloosa,AL,Alabama,35403,1430,,Bachelor's Degree,Priv,2009,38,337,11.2,A,H,B,07,04,1
001041,Spring Hill College,4000 Dauphin Street,Mobile,AL,Alabama,36608,1791,,Master's Degree or Doctor's Degree,Priv,2009,25,349,7.1,A,,B,01,04,1
001055,University of Alabama in Huntsville,212 University Center,Huntsville,AL,Alabama,35899,0001,,Master's Degree or Doctor's Degree,Pub,2009,73,1083,6.7,A,,B,05,04,1
001057,University of South Alabama,307 University Boulevard North,Mobile,AL,Alabama,36688,0002,,Master's Degree or Doctor's Degree,Pub,2009,242,3003,8,P,,B,01,04,1
025034,Amridge University,1200 Taylor Road,Montgomery,AL,Alabama,36117,3553,,Master's Degree or Doctor's Degree,Priv,2009,34,315,10.7,A,,D,03,04,1
001051,University of Alabama,Rose Administration Building,Tuscaloosa,AL,Alabama,35487,0120,,Master's Degree or Doctor's Degree,Pub,2009,206,3625,5.6,P,,B,07,04,1
001009,Auburn University,107 Samford Hall,Auburn,AL,Alabama,36849,5113,,Master's Degree or Doctor's Degree,Pub,2009,206,3016,6.8,P,,B,03,04,1
001008,Athens State University,300 North Beaty Street,Athens,AL,Alabama,35611,1999,,Bachelor's Degree,Pub,2009,48,744,6.4,A,,B,05,04,1
001052,University of Alabama at Birmingham,1530 3rd Avenue South,Birmingham,AL,Alabama,35294,1150,,Master's Degree or Doctor's Degree,Pub,2009,168,2836,5.9,P,,B,07,04,1
001029,University of Mobile,5735 College Parkway,Mobile,AL,Alabama,36663,0220,,Master's Degree or Doctor's Degree,Priv,2009,35,496,7,A,,B,01,04,1
021706,United States Sports Academy,One Academy Drive,Daphne,AL,Alabama,36526,7055,,Master's Degree or Doctor's Degree,Priv,2009,10,340,2.9,A,,B,01,04,1
022960,Prince Institute - Southeast,7735 Atlanta Highway,Montgomery,AL,Alabama,36117,4231,,Associate's Degree,Prop,2009,7,36,19.4,A,,B,03,04,1
001036,Samford University,800 Lakeshore Drive,Birmingham,AL,Alabama,35229,7000,,Master's Degree or Doctor's Degree,Priv,2009,9,757,1.1,A,,B,06,04,1
001018,George C. Wallace Community College,1141 Wallace Drive,Dothan,AL,Alabama,36303,0943,,Associate's Degree,Pub,2009,0,0,0,P,,B,02,04,1
001021,Jefferson Davis Community College,220 Alco Drive,Brewton,AL,Alabama,36427,2790,,Associate's Degree,Pub,2009,0,0,0,A,,B,01,04,1
001030,Bishop State Community College,351 North Broad Street,Mobile,AL,Alabama,36603,5898,,Associate's Degree,Pub,2009,0,0,0,P,H,B,01,04,1
001034,Alabama Southern Community College,2800 South Alabama Avenue,Monroeville,AL,Alabama,36460,5698,,Associate's Degree,Pub,2009,0,0,0,P,,B,01,04,1
001038,Snead State Community College,220 North Walnut Street,Boaz,AL,Alabama,35957,0734,,Associate's Degree,Pub,2009,0,0,0,A,,B,04,04,1
001059,Lawson State Community College,"3060 Wilson Road, Southwest",Birmingham,AL,Alabama,35221,1798,,Associate's Degree,Pub,2009,0,0,0,P,H,B,07,04,1
005260,J F Drake State Technical College,3421 Meridian Street North,Huntsville,AL,Alabama,35811,1584,,Associate's Degree,Pub,2009,0,0,0,A,H,B,05,04,1
005691,Shelton State Community College,9500 Old Greensboro Road #206,Tuscaloosa,AL,Alabama,35405,4017,,Associate's Degree,Pub,2009,0,0,0,P,H,B,07,04,1
005692,Reid State Technical College,Interstate 65 and Highway 83,Evergreen,AL,Alabama,36401,0000,,Associate's Degree,Pub,2009,0,0,0,A,,B,02,04,1
005699,George Corley Wallace State Community College - Selma,3000 Earl Goodwin Parkway,Selma,AL,Alabama,36703,2808,,Associate's Degree,Pub,2009,0,0,0,A,,B,07,04,1
