OPEID,SCHOOL,ADDR,CITY,STATE,ST_DESC,ZIP,ZIP_EXT,Country,LONGEST PROGRAM LENGTH,SCHOOL TYPE,COHORT YEAR,NUMBER IN DEFAULT,NUMBER ENTERING REPAYMENT,DEFAULT RATE,PRATE,ETH_CERT,PROGRAM,CON_DIST,REGION,AVGOR_GE30
001919,Garden City Community College,801 Campus Drive,Garden City,KS,Kansas,67846,6398,,Associate's Degree,Pub,2009,30,243,12.3,A,,B,01,07,1
001949,Washburn University - Topeka,1700 Southwest College Avenue,Topeka,KS,Kansas,66621,1110,,Master's Degree or Doctor's Degree,Pub,2009,204,1999,10.2,P,,B,02,07,1
001929,Kansas Wesleyan University,100 East Claflin Street,Salina,KS,Kansas,67401,6196,,Master's Degree or Doctor's Degree,Priv,2009,38,331,11.4,A,,B,01,07,1
034503,B-Street Design School of International Hair Styling - Topeka,White Lakes Shopping Mall,Topeka,KS,Kansas,66611,2373,,Non-Degree 1 Year (900-1799 hours),Prop,2009,15,227,6.6,A,,B,02,07,1
001925,Kansas City Kansas Community College,7250 State Avenue,Kansas City,KS,Kansas,66112,9978,,Associate's Degree,Pub,2009,81,656,12.3,P,,B,03,07,1
001921,Highland Community College,602 West Main,Highland,KS,Kansas,66035,4062,,Associate's Degree,Pub,2009,62,663,9.3,P,,B,02,07,1
022577,Hays Academy of Hair Design,1214 East 27th Street,Hays,KS,Kansas,67601,3685,,Non-Degree 1 Year (900-1799 hours),Prop,2009,3,37,8.1,A,,B,01,07,1
008332,B-Street Design School of International Hair Styling,512 Poyntz Avenue,Manhattan,KS,Kansas,66502,6082,,Non-Degree 1 Year (900-1799 hours),Prop,2009,10,43,23.2,A,,B,02,07,1
001914,Donnelly College,608 North 18th Street,Kansas City,KS,Kansas,66102,4298,,Bachelor's Degree,Priv,2009,21,153,13.7,A,,B,03,07,1
001908,Central Christian College of Kansas,1200 South Main Street,McPherson,KS,Kansas,67460,5799,,Bachelor's Degree,Priv,2009,10,128,7.8,A,,B,01,07,1
001938,Pratt Community College,348 Northeast State Road 61,Pratt,KS,Kansas,67124,8432,,Associate's Degree,Pub,2009,30,249,12,A,,B,01,07,1
001926,Pittsburg State University,1701 South Broadway,Pittsburg,KS,Kansas,66762,7500,,Master's Degree or Doctor's Degree,Pub,2009,141,1546,9.1,A,,B,02,07,1
001904,Bethany College,335 E Swensson St,Lindsborg,KS,Kansas,67456,1897,,Bachelor's Degree,Priv,2009,31,184,16.8,A,,B,01,07,1
001943,University of Saint Mary,4100 South 4th Street Trafficway,Leavenworth,KS,Kansas,66048,5023,,Master's Degree or Doctor's Degree,Priv,2009,16,237,6.7,A,,B,02,07,1
035293,Sidney's Hairdressing College,200 East 3rd,Hutchinson,KS,Kansas,67501,7094,,Non-Degree 1 Year (900-1799 hours),Prop,2009,4,38,10.5,A,,B,01,07,1
001905,Bethel College,300 East 27th Street,North Newton,KS,Kansas,67117,8061,,Bachelor's Degree,Priv,2009,15,158,9.4,A,,B,04,07,1
001918,Friends University,2100 W. University Street,Wichita,KS,Kansas,67213,3397,,Master's Degree or Doctor's Degree,Priv,2009,131,1162,11.2,A,,B,04,07,1
001911,Colby Community College,1255 South Range,Colby,KS,Kansas,67701,4099,,Associate's Degree,Pub,2009,23,305,7.5,A,,B,01,07,1
001937,Ottawa University,1001 South Cedar,Ottawa,KS,Kansas,66067,3399,,Master's Degree or Doctor's Degree,Priv,2009,119,1144,10.4,A,,B,02,07,1
001936,Neosho County Community College,800 West 14th  Street,Chanute,KS,Kansas,66720,2699,,Associate's Degree,Pub,2009,38,277,13.7,A,,B,02,07,1
005500,Manhattan Area Technical College,3136 Dickens Avenue,Manhattan,KS,Kansas,66503,2499,,Associate's Degree,Pub,2009,13,209,6.2,A,,B,02,07,1
026031,Xenon International Academy,3804 West Douglas Street,Wichita,KS,Kansas,67203,5428,,Non-Degree 1 Year (900-1799 hours),Prop,2009,20,148,13.5,A,,B,04,07,1
001940,Southwestern College,100 College Street,Winfield,KS,Kansas,67156,2499,,Master's Degree or Doctor's Degree,Priv,2009,41,475,8.6,A,,B,04,07,1
001923,Hutchinson Community College,1300 North Plum,Hutchinson,KS,Kansas,67501,5894,,Associate's Degree,Pub,2009,52,730,7.1,A,,B,01,07,1
001927,Emporia State University,1200 Commerical Street,Emporia,KS,Kansas,66801,5087,,Master's Degree or Doctor's Degree,Pub,2009,112,1490,7.5,A,,B,01,07,1
001928,Kansas State University,110 Anderson Hall,Manhattan,KS,Kansas,66506,1104,,Master's Degree or Doctor's Degree,Pub,2009,209,4559,4.5,P,,B,02,07,1
001950,Wichita State University,1845 Fairmount,Wichita,KS,Kansas,67208,0001,,Master's Degree or Doctor's Degree,Pub,2009,160,2652,6,A,,B,04,07,1
001915,Fort Hays State University,600 Park Street,Hays,KS,Kansas,67601,4099,,Master's Degree or Doctor's Degree,Pub,2009,123,1683,7.3,A,,B,01,07,1
007032,MidAmerica Nazarene University,2030 East College Way,Olathe,KS,Kansas,66062,1899,,Master's Degree or Doctor's Degree,Priv,2009,35,648,5.4,A,,B,03,07,1
001903,Baker University,618 Eighth Street,Baldwin City,KS,Kansas,66006,0065,,Master's Degree or Doctor's Degree,Priv,2009,89,1332,6.6,A,,B,02,07,1
001939,Newman University,3100 McCormick Avenue,Wichita,KS,Kansas,67213,2084,,Master's Degree or Doctor's Degree,Priv,2009,45,530,8.4,A,,B,04,07,1
020907,Cleveland Chiropractic College,10850 Lowell Avenue,Overland Park,KS,Kansas,66210,1613,,Master's Degree or Doctor's Degree,Priv,2009,12,140,8.5,A,,B,05,07,1
030313,Xenon International Academy IV,1215 East Santa Fe,Olathe,KS,Kansas,66061,3765,,Non-Degree 1 Year (900-1799 hours),Prop,2009,13,63,20.6,A,,B,03,07,1
001946,Tabor College,400 South Jefferson,Hillsboro,KS,Kansas,67063,1799,,Master's Degree or Doctor's Degree,Priv,2009,16,179,8.9,A,,B,01,07,1
010256,Benedictine College,1020 North 2nd Street,Atchison,KS,Kansas,66002,1499,,Master's Degree or Doctor's Degree,Priv,2009,15,362,4.1,P,,B,02,07,1
001948,University of Kansas,Strong Hall,Lawrence,KS,Kansas,66045,7535,,Master's Degree or Doctor's Degree,Pub,2009,217,4952,4.3,P,,B,03,07,1
001920,Hesston College,325 South College Drive,Hesston,KS,Kansas,67062,2093,,Associate's Degree,Priv,2009,13,196,6.6,A,,B,04,07,1
001907,Central Baptist Theological Seminary,6601 Monticello Road,Shawnee,KS,Kansas,66226,3513,,Master's Degree or Doctor's Degree,Priv,2009,0,11,0,A,,B,03,07,1
001931,Manhattan Christian College,1415 Anderson Avenue,Manhattan,KS,Kansas,66502,4081,,Bachelor's Degree,Priv,2009,8,116,6.8,A,,B,02,07,1
026130,Pinnacle Career Institute,1601 West 23rd Street Suite 200,Lawrence,KS,Kansas,66046,2703,,Associate's Degree,Prop,2009,6,129,4.6,A,,B,02,07,1
010438,Haskell Indian Nations University,155 Indian Avenue,Lawrence,KS,Kansas,66046,4800,,Bachelor's Degree,Pub,2009,0,0,0,A,T,B,03,07,1
041329,Z Hair Academy,"2429 Iowa Street, Suite E",Lawrence,KS,Kansas,66046,4040,,Non-Degree 1 Year (900-1799 hours),Prop,2009,1,6,16.6,A,,B,2,07,0
041627,Eric Fisher Academy,6727 West Central,Wichita,KS,Kansas,67212,3376,,Non-Degree 1 Year (900-1799 hours),Prop,2009,0,0,0,A,,B,4,07,0
021591,Appalachian Beauty School,609A Central Avenue,South Williamson,KY,Kentucky,41503,3945,,Non-Degree 2 Years (1800-2699 hours),Prop,2009,1,2,50,A,,B,05,04,1
038853,Employment Solutions,1165 Centre Parkway,Lexington,KY,Kentucky,40517,3260,,Non-Degree 2 Years (1800-2699 hours),Priv,2009,12,40,30,A,,B,06,04,1
035165,"Ezell's Cosmetology School, LLC",504 Maple Street,Murray,KY,Kentucky,42071,2530,,Non-Degree 1 Year (900-1799 hours),Prop,2009,5,14,35.7,A,,B,01,04,1
001997,Somerset Community College,808 Monticello Street,Somerset,KY,Kentucky,42501,2973,,Associate's Degree,Pub,2009,353,1242,28.4,P,,B,05,04,1
006960,Maysville Community and Technical College,1755 US Highway 68,Maysville,KY,Kentucky,41056,8910,,Associate's Degree,Pub,2009,149,460,32.3,P,,B,04,04,1
023408,Paul Mitchell The School Lexington,3644 Boston Rd.,Lexington,KY,Kentucky,40514,1545,,Non-Degree 2 Years (1800-2699 hours),Prop,2009,0,0,0,A,,B,06,04,1
006962,Hazard Community and Technical College,One Community College Drive,Hazard,KY,Kentucky,41701,2402,,Associate's Degree,Pub,2009,93,392,23.7,P,,B,05,04,1
001990,Ashland Community and Technical College,1400 College Drive,Ashland,KY,Kentucky,41101,3683,,Associate's Degree,Pub,2009,149,530,28.1,P,,B,04,04,1
001991,Elizabethtown Community  and Technical College,600 College Street Road,Elizabethtown,KY,Kentucky,42701,3081,,Associate's Degree,Pub,2009,203,971,20.9,P,,B,02,04,1
001996,Big Sandy Community and Technical College,One Bert T Combs Drive,Prestonburg,KY,Kentucky,41653,1815,,Associate's Degree,Pub,2009,100,431,23.2,P,,B,05,04,1
005273,Gateway Community and Technical College,1025 Amsterdam Road,Covington,KY,Kentucky,41011,2031,,Associate's Degree,Pub,2009,163,588,27.7,P,,B,04,04,1
023517,Paul Mitchell the School - Louisville,156 North Hurstbourne,Louisville,KY,Kentucky,40222,0000,,Non-Degree 2 Years (1800-2699 hours),Prop,2009,11,21,52.3,A,,B,03,04,1
004618,Spencerian College,4627 Dixie Highway,Louisville,KY,Kentucky,40216,2605,,Associate's Degree,Prop,2009,315,1158,27.2,A,,B,03,04,1
001998,Southeast Kentucky Community and Technical College,700 College Road,Cumberland,KY,Kentucky,40823,1099,,Associate's Degree,Pub,2009,77,285,27,P,,B,05,04,1
005244,Bluegrass Community & Technical College,470 Cooper Drive,Lexington,KY,Kentucky,40506,0235,,Associate's Degree,Pub,2009,637,3001,21.2,P,,B,06,04,1
004619,Sullivan University,3101 Bardstown Road,Louisville,KY,Kentucky,40205,3000,,Master's Degree or Doctor's Degree,Prop,2009,558,2195,25.4,A,,B,03,04,1
006961,Jefferson Community and Technical College,109 East Broadway,Louisville,KY,Kentucky,40202,2005,,Associate's Degree,Pub,2009,389,1832,21.2,P,,B,03,04,1
008425,Daymar College,509 South 30th Street,Paducah,KY,Kentucky,42001,4181,,Bachelor's Degree,Prop,2009,31,67,46.2,A,,B,01,04,1
012088,Sullivan College of Technology and Design,3901 Atkinson Square Drive,Louisville,KY,Kentucky,40218,4528,,Bachelor's Degree,Prop,2009,68,269,25.2,A,,B,03,04,1
001994,Hopkinsville Community College,720 North Drive,Hopkinsville,KY,Kentucky,42241,2621,,Associate's Degree,Pub,2009,118,534,22,A,,B,01,04,1
030345,Owensboro Community & Technical College,4800 New Hartford Road,Owensboro,KY,Kentucky,42303,1899,,Associate's Degree,Pub,2009,79,389,20.3,P,,B,02,04,1
009313,Daymar College,3361 Buckland Square,Owensboro,KY,Kentucky,42301,5830,,Bachelor's Degree,Prop,2009,245,829,29.5,A,,B,02,04,1
005271,Bowling Green Technical College,1845 Loop Drive,Bowling Green,KY,Kentucky,42101,3601,,Associate's Degree,Pub,2009,65,280,23.2,P,,B,02,04,1
001968,Kentucky State University,400 East Main Street,Frankfort,KY,Kentucky,40601,2355,,Master's Degree or Doctor's Degree,Pub,2009,156,752,20.7,A,H,B,06,04,1
001983,St. Catharine College,2735 Bardstown Road,St. Catharine,KY,Kentucky,40061,9499,,Bachelor's Degree,Priv,2009,28,205,13.6,A,,B,02,04,1
031035,Mr Jim's Beauty College,2855 West Parrish Avenue,Owensboro,KY,Kentucky,42301,2646,,Non-Degree 2 Years (1800-2699 hours),Prop,2009,3,8,37.5,A,,B,02,04,1
022515,Trend Setters' Academy of Beauty Culture,7283 Dixie Highway,Louisville,KY,Kentucky,40258,3755,,Non-Degree 2 Years (1800-2699 hours),Prop,2009,27,94,28.7,A,,B,03,04,1
009010,Madisonville Community College,2000 College Drive,Madisonville,KY,Kentucky,42431,9199,,Associate's Degree,Pub,2009,61,405,15,P,,B,01,04,1
025511,PJ's College of Cosmetology,920 Happy Valley Road,Glasgow,KY,Kentucky,42141,2434,,Non-Degree 2 Years (1800-2699 hours),Prop,2009,4,37,10.8,A,,B,02,04,1
038043,Bellefonte Academy of Beauty,420 Belfont Street,Russell,KY,Kentucky,41169,2015,,Non-Degree 2 Years (1800-2699 hours),Prop,2009,5,37,13.5,A,,B,04,04,1
040383,ATA College,10180 Linn Station Road,Louisville,KY,Kentucky,40223,3832,,Associate's Degree,Prop,2009,99,410,24.1,P,,B,3,04,1
024911,Beckfield College,16 Spiral Drive,Florence,KY,Kentucky,41042,1466,,Bachelor's Degree,Prop,2009,94,406,23.1,A,,B,04,04,1
001979,West Kentucky Community and Technical College,4810 Alben Barkley Drive,Paducah,KY,Kentucky,42002,7380,,Associate's Degree,Pub,2009,61,364,16.7,P,,B,01,04,1
001993,Henderson Community College,2660 South Green Street,Henderson,KY,Kentucky,42420,4699,,Associate's Degree,Pub,2009,33,170,19.4,A,,B,01,04,1
001959,Campbellsville University,1 University Drive,Campbellsville,KY,Kentucky,42718,2799,,Master's Degree or Doctor's Degree,Priv,2009,60,625,9.6,A,,B,02,04,1
001965,Kentucky Christian University,100 Academic Parkway,Grayson,KY,Kentucky,41143,2205,,Master's Degree or Doctor's Degree,Priv,2009,28,207,13.5,A,,B,04,04,1
012915,Empire Beauty School,7285 Turfway Road,Florence,KY,Kentucky,41042,5113,,Non-Degree 2 Years (1800-2699 hours),Prop,2009,14,109,12.8,A,,B,04,04,1
001972,Lindsey Wilson College,210 Lindsey Wilson Street,Columbia,KY,Kentucky,42728,1223,,Master's Degree or Doctor's Degree,Priv,2009,97,676,14.3,A,,B,01,04,1
001988,Union College,310 College Street,Barbourville,KY,Kentucky,40906,1499,,Master's Degree or Doctor's Degree,Priv,2009,70,676,10.3,A,,B,05,04,1
001980,University of Pikeville,147 Sycamore Street,Pikeville,KY,Kentucky,41501,1194,,Master's Degree or Doctor's Degree,Priv,2009,42,297,14.1,A,,B,05,04,1
012916,Empire Beauty School,5120 Dixie Highway,Louisville,KY,Kentucky,40216,4212,,Non-Degree 2 Years (1800-2699 hours),Prop,2009,20,70,28.5,A,,B,03,04,1
010424,Salon Professional Academy The,701 East High Street,Lexington,KY,Kentucky,40502,1776,,Non-Degree 2 Years (1800-2699 hours),Prop,2009,7,39,17.9,A,,B,06,04,1
025762,Mid-Continent University,99 Powell Road East,Mayfield,KY,Kentucky,42066,9007,,Master's Degree or Doctor's Degree,Priv,2009,59,554,10.6,A,,B,01,04,1
001969,Kentucky Wesleyan College,3000 Frederica Street,Owensboro,KY,Kentucky,42301,6057,,Bachelor's Degree,Priv,2009,43,234,18.3,A,,B,02,04,1
030837,Galen Health Institutes,1031 Zorn Avenue,Louisville,KY,Kentucky,40207,1047,,Associate's Degree,Prop,2009,164,991,16.5,A,,B,03,04,1
001963,Eastern Kentucky University,521 Lancaster Avenue,Richmond,KY,Kentucky,40475,3102,,Master's Degree or Doctor's Degree,Pub,2009,419,3399,12.3,A,,B,06,04,1
001976,Morehead State University,202 Howell McDowell Building,Morehead,KY,Kentucky,40351,1689,,Master's Degree or Doctor's Degree,Pub,2009,261,2102,12.4,A,,B,05,04,1
001955,Berea College,101 Chestnut Street,Berea,KY,Kentucky,40404,2182,,Bachelor's Degree,Priv,2009,12,257,4.6,A,,B,6,04,1
002002,Western Kentucky University,1906 College Heights Blvd,Bowling Green,KY,Kentucky,42101,3576,,Master's Degree or Doctor's Degree,Pub,2009,486,3993,12.1,A,,B,02,04,1
011725,Collins School of Cosmetology,111 West Chester Avenue,Middlesboro,KY,Kentucky,40965,2809,,Non-Degree 2 Years (1800-2699 hours),Prop,2009,1,9,11.1,A,,B,05,04,1
012968,Empire Beauty School,151 Chenoweth Lane,Louisville,KY,Kentucky,40207,2695,,Non-Degree 2 Years (1800-2699 hours),Prop,2009,15,81,18.5,A,,B,03,04,1
041239,Lexington Healing Arts Academy,272 Southland Drive,Lexington,KY,Kentucky,40503,1932,,Non-Degree (600-899 hours),Prop,2009,3,22,13.6,A,,B,6,04,1
012917,Empire Beauty School,554 Westport Road,Elizabethtown,KY,Kentucky,42701,2949,,Non-Degree 2 Years (1800-2699 hours),Prop,2009,16,131,12.2,A,,B,02,04,1
023372,PJ's College of Cosmetology,Western Gateway Shopping Center,Bowling Green,KY,Kentucky,42101,3759,,Non-Degree 2 Years (1800-2699 hours),Prop,2009,26,189,13.7,A,,B,02,04,1
001962,University of the Cumberlands,6191 College Station Drive,Williamsburg,KY,Kentucky,40769,1372,,Master's Degree or Doctor's Degree,Priv,2009,65,567,11.4,A,,B,05,04,1
001975,Midway College,512 East Stephens Street,Midway,KY,Kentucky,40347,1120,,Master's Degree or Doctor's Degree,Priv,2009,55,516,10.6,A,,B,06,04,1
001999,University of Louisville,2301 South Third Street,Louisville,KY,Kentucky,40208,1415,,Master's Degree or Doctor's Degree,Pub,2009,273,3518,7.7,P,,B,03,04,1
009275,Northern Kentucky University,Nunn Drive,Highland Heights,KY,Kentucky,41099,0001,,Master's Degree or Doctor's Degree,Pub,2009,322,2944,10.9,A,,B,04,04,1
001958,Brescia University,717 Frederica Street,Owensboro,KY,Kentucky,42301,3023,,Master's Degree or Doctor's Degree,Priv,2009,20,143,13.9,A,,B,02,04,1
001977,Murray State University,Student Financial Aid,Murray,KY,Kentucky,42071,0009,,Master's Degree or Doctor's Degree,Pub,2009,152,1898,8,A,,B,01,04,1
012914,Empire Beauty School,5314 Bardstown Road,Louisville,KY,Kentucky,40291,1931,,Non-Degree 2 Years (1800-2699 hours),Prop,2009,20,200,10,A,,B,03,04,1
001960,Spalding University,851 South Fourth Street,Louisville,KY,Kentucky,40203,2188,,Master's Degree or Doctor's Degree,Priv,2009,40,579,6.9,A,,B,03,04,1
030021,Kentucky Mountain Bible College,855 Kentucky Highway 541,Vancleve,KY,Kentucky,41385,0010,,Bachelor's Degree,Priv,2009,1,13,7.6,A,,B,05,04,1
030070,Frontier Nursing University,195 School Street,Hyden,KY,Kentucky,41749,0000,,Master's Degree or Doctor's Degree,Priv,2009,5,164,3,A,,B,05,04,1
001974,Louisville Presbyterian Theological Seminary,1044 Alta Vista Road,Louisville,KY,Kentucky,40205,1798,,Master's Degree or Doctor's Degree,Priv,2009,1,19,5.2,A,,B,03,04,1
002001,Thomas More College,333 Thomas More Parkway,Crestview Hills,KY,Kentucky,41017,3495,,Master's Degree or Doctor's Degree,Priv,2009,35,450,7.7,A,,B,04,04,1
001952,Asbury College,1 Macklem Drive,Wilmore,KY,Kentucky,40390,1198,,Master's Degree or Doctor's Degree,Priv,2009,19,307,6.1,A,,B,06,04,1
001954,Bellarmine University,2001 Newburg Road,Louisville,KY,Kentucky,40205,1877,,Master's Degree or Doctor's Degree,Priv,2009,34,605,5.6,P,,B,03,04,1
001951,Alice Lloyd College,100 Purpose Road,Pippa Passes,KY,Kentucky,41844,9703,,Bachelor's Degree,Priv,2009,6,67,8.9,A,,B,05,04,1
001989,University of Kentucky,South Limestone,Lexington,KY,Kentucky,40506,0032,,Master's Degree or Doctor's Degree,Pub,2009,164,3731,4.3,P,,B,06,04,1
001964,Georgetown College,400 East College Street,Georgetown,KY,Kentucky,40324,1628,,Master's Degree or Doctor's Degree,Priv,2009,20,469,4.2,A,,B,06,04,1
001971,Lexington Theological Seminary,631 South Limestone Street,Lexington,KY,Kentucky,40508,3218,,Master's Degree or Doctor's Degree,Priv,2009,0,11,0,A,,B,06,04,1
001953,Asbury Theological Seminary,204 North Lexington Avenue,Wilmore,KY,Kentucky,40390,1199,,Master's Degree or Doctor's Degree,Priv,2009,10,266,3.7,A,,B,06,04,1
021771,Empire Beauty School,1049 Bardstown Road,Louisville,KY,Kentucky,40204,1317,,Non-Degree 2 Years (1800-2699 hours),Prop,2009,12,56,21.4,A,,B,03,04,1
001961,Centre College of Kentucky,600 West Walnut Street,Danville,KY,Kentucky,40422,1394,,Bachelor's Degree,Priv,2009,1,163,0.6,A,,B,06,04,1
001987,Transylvania University,300 North Broadway,Lexington,KY,Kentucky,40508,1797,,Bachelor's Degree,Priv,2009,4,220,1.8,A,,B,06,04,1
023237,Pat Wilson's Beauty College,326 North Main Street,Henderson,KY,Kentucky,42420,4241,,Non-Degree 2 Years (1800-2699 hours),Prop,2009,0,0,0,A,,B,01,04,1
025189,Barrett & Company School of Hair Design,973 Kimberly Square,Nicholasville,KY,Kentucky,40356,2152,,Non-Degree 2 Years (1800-2699 hours),Prop,2009,0,3,0,A,,B,06,04,1
025261,Jenny Lea Academy of Cosmetology,74 Parkway Plaza Loop,Whitesburg,KY,Kentucky,41858,1352,,Non-Degree 2 Years (1800-2699 hours),Prop,2009,0,0,0,A,,,05,04,1
025356,Clear Creek Baptist Bible College,300 Clear Creek Road,Pineville,KY,Kentucky,40977,9754,,Bachelor's Degree,Priv,2009,0,0,0,A,,B,05,04,1
025608,Southeast School of Cosmetology,356 Manchester Square,Manchester,KY,Kentucky,40962,0000,,Non-Degree 2 Years (1800-2699 hours),Prop,2009,0,0,0,A,,,05,04,1
030262,Head's West Kentucky Beauty College,Briarwood Shopping Center,Madisonville,KY,Kentucky,42431,0000,,Non-Degree 2 Years (1800-2699 hours),Prop,2009,0,0,0,A,,,01,04,1
022340,Cameron College,2740 Canal Street,New Orleans,LA,Louisiana,70119,5500,,Associate's Degree,Prop,2009,0,1,0,A,,D,02,06,1
025183,South Louisiana Beauty College,300 Howard Avenue,Houma,LA,Louisiana,70363,5173,,Non-Degree 1 Year (900-1799 hours),Prop,2009,8,30,26.6,A,,B,03,06,1
020555,Delta School of Business and Technology,517 Broad Street,Lake Charles,LA,Louisiana,70601,4334,,Associate's Degree,Prop,2009,53,208,25.4,A,,B,07,06,1
037893,Unitech Training Academy,3605 Ambassador Caffery,Lafayette,LA,Louisiana,70503,5132,,Non-Degree 2 Years (1800-2699 hours),Prop,2009,99,510,19.4,A,,B,07,06,1
021975,Baton Rouge School of Computers,9352 Interline Avenue,Baton Rouge,LA,Louisiana,70809,8188,,Associate's Degree,Prop,2009,11,40,27.5,A,,B,06,06,1
011631,"D-Jay's School of Beauty, Arts & Sciences",10120 Red Oak Drive,Baton Rouge,LA,Louisiana,70815,1628,,Non-Degree 1 Year (900-1799 hours),Prop,2009,13,31,41.9,A,,B,06,06,1
020554,Bossier Parish Community College,6220 East Texas,Bossier City,LA,Louisiana,71111,0000,,Associate's Degree,Pub,2009,218,884,24.6,A,,B,04,06,1
030951,Gretna Career College,1415 Whitney Avenue,Gretna,LA,Louisiana,70053,2436,,Associate's Degree,Prop,2009,31,142,21.8,A,,B,02,06,1
025364,Louisiana Academy of Beauty,550 East Laurel Avenue,Eunice,LA,Louisiana,70535,3512,,Non-Degree 1 Year (900-1799 hours),Prop,2009,7,29,24.1,A,,B,07,06,1
002012,Louisiana State University at Eunice,2048 Johnson Highway,Eunice,LA,Louisiana,70535,6726,,Associate's Degree,Pub,2009,125,689,18.1,A,,B,07,06,1
021662,ITI Technical College,13944 Airline Highway,Baton Rouge,LA,Louisiana,70817,5927,,Associate's Degree,Prop,2009,64,302,21.1,A,,B,06,06,1
025548,Vanguard College of Cosmetology,740 Oak Harbor Boulevard,Slidell,LA,Louisiana,70458,8823,,Non-Degree 1 Year (900-1799 hours),Prop,2009,13,70,18.5,A,,B,01,06,1
026010,American School of Business,702 Professional Drive North,Shreveport,LA,Louisiana,71105,5646,,Non-Degree 1 Year (900-1799 hours),Prop,2009,10,43,23.2,A,,B,04,06,1
002017,McNeese State University,4205 Ryan Street,Lake Charles,LA,Louisiana,70609,4510,,Master's Degree or Doctor's Degree,Pub,2009,267,1523,17.5,A,,B,07,06,1
007686,Southern University at Shreveport - Bossier City,3050 Martin Luther King Jr Drive,Shreveport,LA,Louisiana,71107,4795,,Associate's Degree,Pub,2009,156,618,25.2,P,H,B,04,06,1
002006,Grambling State University,100 Main Street,Grambling,LA,Louisiana,71245,2215,,Master's Degree or Doctor's Degree,Pub,2009,372,1632,22.7,A,H,B,05,06,1
002021,Northwestern State University,140 Central Avenue,Natchitoches,LA,Louisiana,71497,0001,,Master's Degree or Doctor's Degree,Pub,2009,305,2174,14,A,,B,04,06,1
004625,Delgado Community College,615 City Park Avenue,New Orleans,LA,Louisiana,70119,4399,,Associate's Degree,Pub,2009,599,3161,18.9,P,,B,01,06,1
037894,River Parishes Community College,7384 John LeBlanc Boulevard,Sorrento,LA,Louisiana,70778,0310,,Associate's Degree,Pub,2009,82,406,20.1,P,,B,03,06,1
002020,University of Louisiana at Monroe,700 University Avenue,Monroe,LA,Louisiana,71209,9001,,Master's Degree or Doctor's Degree,Pub,2009,227,1746,13,P,,B,05,06,1
025383,Delta College of Arts & Technology,7380 Exchange Place,Baton Rouge,LA,Louisiana,70806,1529,,Associate's Degree,Prop,2009,35,293,11.9,A,,B,06,06,1
002011,Louisiana State University at Alexandria,8100 Highway 71 South,Alexandria,LA,Louisiana,71302,9121,,Bachelor's Degree,Pub,2009,128,746,17.1,A,,B,05,06,1
002026,Southern University at New Orleans,6400 Press Drive,New Orleans,LA,Louisiana,70126,0002,,Master's Degree or Doctor's Degree,Pub,2009,135,794,17,A,H,B,02,06,1
038105,Court Reporting Institute of Louisiana,12090 South Harrell's Ferry Road,Baton Rouge,LA,Louisiana,70816,0000,,Non-Degree 3 Plus Years (>= 2700 hours),Prop,2009,3,21,14.2,A,,D,06,06,1
034226,Blue Cliff College,120 James Comeaux Road,Lafayette,LA,Louisiana,70508,3256,,Associate's Degree,Prop,2009,41,191,21.4,A,,B,07,06,1
005467,SOWELA Technical Community College,3820 J Bennett Johnston Avenue,Lake Charles,LA,Louisiana,70616,6950,,Associate's Degree,Pub,2009,53,211,25.1,P,,B,07,06,1
005471,Northeast Louisiana Technical College,609 Vocational Parkway,West Monroe,LA,Louisiana,71292,9064,,Associate's Degree,Pub,2009,53,211,25.1,P,,,05,06,1
005489,Central Louisiana Technical College,4311 South MacArthur Drive,Alexandria,LA,Louisiana,71302,3137,,Associate's Degree,Pub,2009,53,211,25.1,P,,,05,06,1
005526,South Central Louisiana Technical College,900 Youngs Road,Morgan City,LA,Louisiana,70381,2148,,Associate's Degree,Pub,2009,53,211,25.1,P,,,03,06,1
006756,Northshore Technical College,1710 Sullivan Drive,Bogalusa,LA,Louisiana,70427,5866,,Associate's Degree,Pub,2009,53,211,25.1,P,,,01,06,1
009975,Northwest Louisiana Technical College,814 Constable Street,Minden,LA,Louisiana,71055,2422,,Associate's Degree,Pub,2009,53,211,25.1,P,,,04,06,1
022148,Acadiana Technical College,1101 Bertrand Drive,Lafayette,LA,Louisiana,70506,4109,,Associate's Degree,Pub,2009,53,211,25.1,P,,,04,06,1
032943,Blue Cliff College,3200 Cleary Avenue,Metairie,LA,Louisiana,70002,3458,,Associate's Degree,Prop,2009,45,283,15.9,A,,B,01,06,1
032533,Jonesville Beauty School,208 Westside Drive,Vidalia,LA,Louisiana,71373,0518,,Non-Degree 1 Year (900-1799 hours),Prop,2009,2,11,18.1,A,,B,05,06,1
034225,Blue Cliff College,8731 Park Plaza Drive,Shreveport,LA,Louisiana,71105,6520,,Associate's Degree,Prop,2009,35,215,16.2,A,,B,04,06,1
026011,Opelousas School of Cosmetology,529 East Vine Street,Opelousas,LA,Louisiana,70570,6156,,Non-Degree 1 Year (900-1799 hours),Prop,2009,3,8,37.5,A,,B,07,06,1
002013,Louisiana State University in Shreveport,One University Place,Shreveport,LA,Louisiana,71115,2399,,Master's Degree or Doctor's Degree,Pub,2009,98,839,11.6,A,,B,04,06,1
